teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,5.556601,0.000257,5.556706,0.0,0.0,0.0
3500,0.5,-2.0,0.05,5.552313,0.000258,5.552416,0.0,0.0,0.0
3500,0.5,-2.0,0.1,5.548059,0.00026,5.548161,0.0,0.0,0.0
3500,0.5,-2.0,0.15,5.54384,0.000261,5.543946,0.0,0.0,0.0
3500,0.5,-2.0,0.2,5.539655,0.000263,5.539762,0.0,0.0,0.0
3500,0.5,-2.0,0.25,5.535504,0.000264,5.535607,0.0,0.0,0.0
3500,0.5,-2.0,0.3,5.531388,0.000266,5.531493,0.0,0.0,0.0
3500,0.5,-2.0,0.4,5.523258,0.000269,5.523364,0.0,0.0,0.0
3500,0.5,-2.0,0.6,5.507408,0.000274,5.507519,0.0,0.0,0.0
3500,0.5,-2.0,0.8,5.492103,0.00028,5.492215,0.0,0.0,0.0
3500,0.5,-2.0,1.0,5.477338,0.000285,5.477448,0.0,0.0,0.0
3500,0.5,-2.0,1.25,5.459635,0.000292,5.459746,0.0,0.0,0.0
3500,0.5,-2.0,1.5,5.442757,0.000299,5.442867,0.0,0.0,0.0
3500,0.5,-1.5,0.0,5.775695,0.000122,5.775756,0.0,0.0,0.0
3500,0.5,-1.5,0.05,5.769271,0.000125,5.769338,0.0,0.0,0.0
3500,0.5,-1.5,0.1,5.762906,0.000128,5.762971,0.0,0.0,0.0
3500,0.5,-1.5,0.15,5.756599,0.00013,5.756669,0.0,0.0,0.0
3500,0.5,-1.5,0.2,5.750352,0.000133,5.750422,0.0,0.0,0.0
3500,0.5,-1.5,0.25,5.744163,0.000136,5.744235,0.0,0.0,0.0
3500,0.5,-1.5,0.3,5.738033,0.000138,5.738104,0.0,0.0,0.0
3500,0.5,-1.5,0.4,5.725948,0.000144,5.726017,0.0,0.0,0.0
3500,0.5,-1.5,0.6,5.702471,0.000154,5.702549,0.0,0.0,0.0
3500,0.5,-1.5,0.8,5.67991,0.000164,5.67999,0.0,0.0,0.0
3500,0.5,-1.5,1.0,5.658251,0.000174,5.658335,0.0,0.0,0.0
3500,0.5,-1.5,1.25,5.632421,0.000187,5.632504,0.0,0.0,0.0
3500,0.5,-1.5,1.5,5.607943,0.000198,5.608034,0.0,0.0,0.0
3500,0.5,-1.0,0.0,6.164338,3.5e-05,6.164351,0.0,0.0,0.0
3500,0.5,-1.0,0.05,6.155312,3.1e-05,6.155325,0.0,0.0,0.0
3500,0.5,-1.0,0.1,6.146379,2.7e-05,6.146394,0.0,0.0,0.0
3500,0.5,-1.0,0.15,6.137537,2.3e-05,6.137553,0.0,0.0,0.0
3500,0.5,-1.0,0.2,6.128786,1.9e-05,6.128807,0.0,0.0,0.0
3500,0.5,-1.0,0.25,6.120126,1.5e-05,6.120147,0.0,0.0,0.0
3500,0.5,-1.0,0.3,6.111557,1.1e-05,6.111577,0.0,0.0,0.0
3500,0.5,-1.0,0.4,6.094688,6e-06,6.094713,0.0,0.0,0.0
3500,0.5,-1.0,0.6,6.062016,1.5e-05,6.062049,0.0,0.0,0.0
3500,0.5,-1.0,0.8,6.030744,3e-05,6.030779,0.0,0.0,0.0
3500,0.5,-1.0,1.0,6.00084,4.6e-05,6.000885,0.0,0.0,0.0
3500,0.5,-1.0,1.25,5.965336,6.4e-05,5.965386,0.0,0.0,0.0
3500,0.5,-1.0,1.5,5.931855,8.2e-05,5.931909,0.0,0.0,0.0
3500,0.5,-0.5,0.0,6.625901,0.000154,6.625857,0.0,0.0,0.0
3500,0.5,-0.5,0.05,6.615305,0.000149,6.61527,0.0,0.0,0.0
3500,0.5,-0.5,0.1,6.604833,0.000143,6.604798,0.0,0.0,0.0
3500,0.5,-0.5,0.15,6.594483,0.000138,6.594447,0.0,0.0,0.0
3500,0.5,-0.5,0.2,6.584255,0.000132,6.584222,0.0,0.0,0.0
3500,0.5,-0.5,0.25,6.574148,0.000127,6.574121,0.0,0.0,0.0
3500,0.5,-0.5,0.3,6.564161,0.000122,6.564131,0.0,0.0,0.0
3500,0.5,-0.5,0.4,6.544546,0.000111,6.544518,0.0,0.0,0.0
3500,0.5,-0.5,0.6,6.506725,9.1e-05,6.506706,0.0,0.0,0.0
3500,0.5,-0.5,0.8,6.470743,7e-05,6.470735,0.0,0.0,0.0
3500,0.5,-0.5,1.0,6.436548,5.1e-05,6.436546,0.0,0.0,0.0
3500,0.5,-0.5,1.25,6.396233,2.8e-05,6.396235,0.0,0.0,0.0
3500,0.5,-0.5,1.5,6.358517,8e-06,6.358528,0.0,0.0,0.0
3500,0.5,-0.0,0.0,7.194514,0.000218,7.194415,0.0,0.0,0.0
3500,0.5,-0.0,0.05,7.183956,0.000211,7.183864,0.0,0.0,0.0
3500,0.5,-0.0,0.1,7.173556,0.000205,7.173462,0.0,0.0,0.0
3500,0.5,-0.0,0.15,7.163311,0.000198,7.163222,0.0,0.0,0.0
3500,0.5,-0.0,0.2,7.153222,0.000191,7.153131,0.0,0.0,0.0
3500,0.5,-0.0,0.25,7.143286,0.000184,7.143202,0.0,0.0,0.0
3500,0.5,-0.0,0.3,7.133502,0.000177,7.133423,0.0,0.0,0.0
3500,0.5,-0.0,0.4,7.114386,0.000164,7.114306,0.0,0.0,0.0
3500,0.5,-0.0,0.6,7.077928,0.000138,7.077859,0.0,0.0,0.0
3500,0.5,-0.0,0.8,7.043765,0.000112,7.043705,0.0,0.0,0.0
3500,0.5,-0.0,1.0,7.011813,8.8e-05,7.011759,0.0,0.0,0.0
3500,0.5,-0.0,1.25,6.97485,5.9e-05,6.974806,0.0,0.0,0.0
3500,0.5,-0.0,1.5,6.941038,3.2e-05,6.940998,0.0,0.0,0.0
3500,1.0,-2.0,0.0,5.469573,0.000242,5.469669,0.0,0.0,0.0
3500,1.0,-2.0,0.05,5.465307,0.000244,5.465404,0.0,0.0,0.0
3500,1.0,-2.0,0.1,5.461074,0.000245,5.461169,0.0,0.0,0.0
3500,1.0,-2.0,0.15,5.456875,0.000247,5.456974,0.0,0.0,0.0
3500,1.0,-2.0,0.2,5.45271,0.000248,5.452809,0.0,0.0,0.0
3500,1.0,-2.0,0.25,5.448579,0.00025,5.448675,0.0,0.0,0.0
3500,1.0,-2.0,0.3,5.444481,0.000251,5.444581,0.0,0.0,0.0
3500,1.0,-2.0,0.4,5.436388,0.000254,5.436487,0.0,0.0,0.0
3500,1.0,-2.0,0.6,5.420605,0.00026,5.420707,0.0,0.0,0.0
