teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,6.404625,0.000624,6.404923,0.0,0.0,0.0
3500,0.5,-2.0,0.05,6.369596,0.000616,6.369893,0.0,0.0,0.0
3500,0.5,-2.0,0.1,6.335707,0.000609,6.335998,0.0,0.0,0.0
3500,0.5,-2.0,0.15,6.302913,0.000603,6.303207,0.0,0.0,0.0
3500,0.5,-2.0,0.2,6.27117,0.000596,6.271459,0.0,0.0,0.0
3500,0.5,-2.0,0.25,6.240437,0.00059,6.240725,0.0,0.0,0.0
3500,0.5,-2.0,0.3,6.210672,0.000584,6.21096,0.0,0.0,0.0
3500,0.5,-2.0,0.4,6.153893,0.000573,6.154179,0.0,0.0,0.0
3500,0.5,-2.0,0.6,6.050301,0.000552,6.050587,0.0,0.0,0.0
3500,0.5,-2.0,0.8,5.958232,0.000535,5.958526,0.0,0.0,0.0
3500,0.5,-2.0,1.0,5.875851,0.000519,5.876149,0.0,0.0,0.0
3500,0.5,-2.0,1.25,5.784186,0.000502,5.7845,0.0,0.0,0.0
3500,0.5,-2.0,1.5,5.702854,0.000488,5.703182,0.0,0.0,0.0
3500,0.5,-1.5,0.0,6.571476,0.000667,6.571796,0.0,0.0,0.0
3500,0.5,-1.5,0.05,6.540114,0.00066,6.540439,0.0,0.0,0.0
3500,0.5,-1.5,0.1,6.50974,0.000654,6.510062,0.0,0.0,0.0
3500,0.5,-1.5,0.15,6.480309,0.000647,6.480632,0.0,0.0,0.0
3500,0.5,-1.5,0.2,6.451776,0.000641,6.452096,0.0,0.0,0.0
3500,0.5,-1.5,0.25,6.424099,0.000635,6.424423,0.0,0.0,0.0
3500,0.5,-1.5,0.3,6.397237,0.000629,6.397562,0.0,0.0,0.0
3500,0.5,-1.5,0.4,6.345804,0.000618,6.34613,0.0,0.0,0.0
3500,0.5,-1.5,0.6,6.251112,0.000597,6.251439,0.0,0.0,0.0
3500,0.5,-1.5,0.8,6.16566,0.000579,6.165996,0.0,0.0,0.0
3500,0.5,-1.5,1.0,6.087795,0.000562,6.088141,0.0,0.0,0.0
3500,0.5,-1.5,1.25,5.999141,0.000544,5.999502,0.0,0.0,0.0
