teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,5.664256,0.000341,5.664556,0.0,0.0,0.0
3500,0.5,-2.0,0.05,5.65317,0.000345,5.653472,0.0,0.0,0.0
3500,0.5,-2.0,0.1,5.642132,0.000348,5.642429,0.0,0.0,0.0
3500,0.5,-2.0,0.15,5.631144,0.000351,5.631445,0.0,0.0,0.0
3500,0.5,-2.0,0.2,5.620207,0.000354,5.620507,0.0,0.0,0.0
3500,0.5,-2.0,0.25,5.609322,0.000358,5.609618,0.0,0.0,0.0
3500,0.5,-2.0,0.3,5.598493,0.00036,5.59879,0.0,0.0,0.0
3500,0.5,-2.0,0.4,5.577004,0.000366,5.5773,0.0,0.0,0.0
3500,0.5,-2.0,0.6,5.534753,0.000376,5.535047,0.0,0.0,0.0
3500,0.5,-2.0,0.8,5.493548,0.000384,5.493837,0.0,0.0,0.0
3500,0.5,-2.0,1.0,5.453473,0.000391,5.453756,0.0,0.0,0.0
3500,0.5,-2.0,1.25,5.40507,0.000398,5.405346,0.0,0.0,0.0
3500,0.5,-2.0,1.5,5.358646,0.000404,5.358912,0.0,0.0,0.0
3500,0.5,-1.5,0.0,5.931464,0.000286,5.931821,0.0,0.0,0.0
3500,0.5,-1.5,0.05,5.917813,0.000292,5.918173,0.0,0.0,0.0
3500,0.5,-1.5,0.1,5.904224,0.000299,5.90458,0.0,0.0,0.0
3500,0.5,-1.5,0.15,5.890698,0.000305,5.891058,0.0,0.0,0.0
3500,0.5,-1.5,0.2,5.877238,0.000311,5.877596,0.0,0.0,0.0
3500,0.5,-1.5,0.25,5.863845,0.000316,5.864199,0.0,0.0,0.0
3500,0.5,-1.5,0.3,5.850521,0.000322,5.850877,0.0,0.0,0.0
3500,0.5,-1.5,0.4,5.82409,0.000332,5.824445,0.0,0.0,0.0
3500,0.5,-1.5,0.6,5.772144,0.00035,5.772493,0.0,0.0,0.0
3500,0.5,-1.5,0.8,5.721508,0.000366,5.721845,0.0,0.0,0.0
3500,0.5,-1.5,1.0,5.672279,0.000379,5.672612,0.0,0.0,0.0
3500,0.5,-1.5,1.25,5.612847,0.000393,5.613168,0.0,0.0,0.0
3500,0.5,-1.5,1.5,5.55587,0.000403,5.556178,0.0,0.0,0.0
3500,0.5,-1.0,0.0,6.392691,0.000293,6.393084,0.0,0.0,0.0
3500,0.5,-1.0,0.05,6.374301,0.000301,6.37469,0.0,0.0,0.0
3500,0.5,-1.0,0.1,6.356031,0.000309,6.356421,0.0,0.0,0.0
3500,0.5,-1.0,0.15,6.337882,0.000316,6.338272,0.0,0.0,0.0
3500,0.5,-1.0,0.2,6.319857,0.000324,6.320249,0.0,0.0,0.0
3500,0.5,-1.0,0.25,6.301958,0.000331,6.302346,0.0,0.0,0.0
3500,0.5,-1.0,0.3,6.284186,0.000337,6.284574,0.0,0.0,0.0
3500,0.5,-1.0,0.4,6.249033,0.00035,6.249416,0.0,0.0,0.0
3500,0.5,-1.0,0.6,6.180333,0.000373,6.180705,0.0,0.0,0.0
3500,0.5,-1.0,0.8,6.113856,0.000392,6.114226,0.0,0.0,0.0
3500,0.5,-1.0,1.0,6.049679,0.000407,6.050035,0.0,0.0,0.0
3500,0.5,-1.0,1.25,5.972779,0.000423,5.97312,0.0,0.0,0.0
3500,0.5,-1.0,1.5,5.899634,0.000435,5.899957,0.0,0.0,0.0
3500,0.5,-0.5,0.0,7.003704,0.000435,7.004144,0.0,0.0,0.0
3500,0.5,-0.5,0.05,6.980164,0.000441,6.980607,0.0,0.0,0.0
3500,0.5,-0.5,0.1,6.956828,0.000448,6.957264,0.0,0.0,0.0
3500,0.5,-0.5,0.15,6.933697,0.000454,6.934133,0.0,0.0,0.0
3500,0.5,-0.5,0.2,6.910773,0.000459,6.911207,0.0,0.0,0.0
