teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,31.159798,0.019843,31.162750898628214,0.0,0.0,0.0
3500,0.5,-2.0,0.05,31.110486,0.019884,31.113486252518793,0.0,0.0,0.0
3500,0.5,-2.0,0.1,31.061122,0.019926,31.064166370392662,0.0,0.0,0.0
3500,0.5,-2.0,0.15,31.01171,0.019969,31.014801910966938,0.0,0.0,0.0
3500,0.5,-2.0,0.2,30.96225,0.020014,30.96538723259549,0.0,0.0,0.0
3500,0.5,-2.0,0.25,30.912744,0.020059,30.915937701891806,0.0,0.0,0.0
3500,0.5,-2.0,0.3,30.863195,0.020104,30.86643825994483,0.0,0.0,0.0
3500,0.5,-2.0,0.4,30.763976,0.020199,30.76732978927945,0.0,0.0,0.0
3500,0.5,-2.0,0.6,30.5651,0.020399,30.568693923197436,0.41667,0.0,0.0
3500,0.5,-2.0,0.8,30.365745,0.020614,30.369605331075437,0.83333,0.0,0.0
3500,0.5,-2.0,1.0,30.166025,0.020843,30.17017434271951,2.08333,0.0,0.0
3500,0.5,-2.0,1.25,29.916033,0.021151,29.92058966158443,2.91667,0.0,0.0
3500,0.5,-2.0,1.5,29.665851,0.021483,29.670855074003164,5.0,0.0,0.0
3500,0.5,-1.5,0.0,32.514669,0.022999,32.505657974528404,4.16667,0.0,0.0
3500,0.5,-1.5,0.05,32.469976,0.023067,32.461035386687094,4.58333,0.0,0.0
3500,0.5,-1.5,0.1,32.425098,0.023135,32.41623204635909,5.41667,0.0,0.0
3500,0.5,-1.5,0.15,32.380041,0.023204,32.371247953213334,5.41667,0.0,0.0
3500,0.5,-1.5,0.2,32.334808,0.023274,32.32609379248432,5.41667,0.0,0.0
3500,0.5,-1.5,0.25,32.289403,0.023345,32.28077393467177,5.41667,0.0,0.0
3500,0.5,-1.5,0.3,32.243832,0.023416,32.235283682539034,5.83333,0.0,0.0
3500,0.5,-1.5,0.4,32.152206,0.023563,32.14383214380323,6.25,0.0,0.0
3500,0.5,-1.5,0.6,31.967133,0.023867,31.95913897134307,6.66667,0.0,0.0
3500,0.5,-1.5,0.8,31.779838,0.024185,31.77225575753537,7.91667,0.0,0.0
3500,0.5,-1.5,1.0,31.590553,0.02452,31.583423338866922,9.58333,0.0,0.0
3500,0.5,-1.5,1.25,31.351471,0.02496,31.344967021013844,10.41667,0.0,0.0
3500,0.5,-1.5,1.5,31.109997,0.025425,31.10417126035559,11.25,0.0,0.0
3500,0.5,-1.0,0.0,31.39711,0.021203,31.378436335692726,1.66667,0.0,0.0
3500,0.5,-1.0,0.05,31.360529,0.021271,31.341866338675832,2.08333,0.0,0.0
3500,0.5,-1.0,0.1,31.323742,0.021341,31.30510085602489,2.5,0.0,0.0
3500,0.5,-1.0,0.15,31.286754,0.021411,31.268129534922167,2.5,0.0,0.0
3500,0.5,-1.0,0.2,31.249567,0.021482,31.230962725922048,2.5,0.0,0.0
3500,0.5,-1.0,0.25,31.212186,0.021554,31.193605446788766,3.33333,0.0,0.0
3500,0.5,-1.0,0.3,31.174613,0.021627,31.15606271528861,3.33333,0.0,0.0
3500,0.5,-1.0,0.4,31.098906,0.021775,31.080420267297345,4.16667,0.0,0.0
3500,0.5,-1.0,0.6,30.945347,0.02208,30.92701436200192,5.41667,0.0,0.0
3500,0.5,-1.0,0.8,30.789101,0.0224,30.770976130930705,5.83333,0.0,0.0
3500,0.5,-1.0,1.0,30.63037,0.022733,30.612491209411562,7.08333,0.0,0.0
3500,0.5,-1.0,1.25,30.428748,0.02317,30.411244297323393,7.5,0.0,0.0
3500,0.5,-1.0,1.5,30.223882,0.02363,30.206809777682228,9.16667,0.0,0.0
3500,0.5,-0.5,0.0,30.091454,0.017573,30.082453438866114,0.0,0.0,0.0
3500,0.5,-0.5,0.05,30.058605,0.017614,30.049603405701145,0.0,0.0,0.0
3500,0.5,-0.5,0.1,30.025644,0.017655,30.01663821721001,0.0,0.0,0.0
3500,0.5,-0.5,0.15,29.992572,0.017697,29.98356791020108,0.0,0.0,0.0
3500,0.5,-0.5,0.2,29.95939,0.01774,29.950382445673107,0.0,0.0,0.0
3500,0.5,-0.5,0.25,29.926098,0.017783,29.917096580121875,0.0,0.0,0.0
3500,0.5,-0.5,0.3,29.892698,0.017827,29.88370529449076,0.0,0.0,0.0
3500,0.5,-0.5,0.4,29.825579,0.017917,29.816602636636002,0.0,0.0,0.0
3500,0.5,-0.5,0.6,29.690092,0.018105,29.68117448915533,0.0,0.0,0.0
3500,0.5,-0.5,0.8,29.553009,0.018305,29.54418327384979,0.0,0.0,0.0
3500,0.5,-0.5,1.0,29.414408,0.018515,29.40570953598967,0.0,0.0,0.0
3500,0.5,-0.5,1.25,29.239144,0.018795,29.230643749351167,0.0,0.0,0.0
3500,0.5,-0.5,1.5,29.061785,0.019093,29.05352489293397,0.0,0.0,0.0
3500,0.5,-0.0,0.0,30.019962,0.016746,30.014121003286782,0.0,0.0,0.0
3500,0.5,-0.0,0.05,29.987044,0.016776,29.981192825446826,0.0,0.0,0.0
3500,0.5,-0.0,0.1,29.954038,0.016806,29.94818965012002,0.0,0.0,0.0
3500,0.5,-0.0,0.15,29.920944,0.016837,29.915091101322574,0.0,0.0,0.0
3500,0.5,-0.0,0.2,29.887761,0.016869,29.881912534685227,0.0,0.0,0.0
3500,0.5,-0.0,0.25,29.854492,0.016901,29.84864893023037,0.0,0.0,0.0
3500,0.5,-0.0,0.3,29.821136,0.016934,29.81528995079968,0.0,0.0,0.0
3500,0.5,-0.0,0.4,29.754167,0.017002,29.74833665121426,0.0,0.0,0.0
3500,0.5,-0.0,0.6,29.619227,0.017144,29.613448221023216,0.0,0.0,0.0
3500,0.5,-0.0,0.8,29.482993,0.017297,29.477292668974254,0.0,0.0,0.0
3500,0.5,-0.0,1.0,29.345524,0.01746,29.339920139405983,0.0,0.0,0.0
3500,0.5,-0.0,1.25,29.172036,0.017678,29.1665948566058,0.0,0.0,0.0
3500,0.5,-0.0,1.5,28.996817,0.017913,28.99157692720438,0.0,0.0,0.0
3500,1.0,-2.0,0.0,30.44089,0.018591,30.443135846821807,0.0,0.0,0.0
3500,1.0,-2.0,0.05,30.387573,0.018627,30.389849207959,0.0,0.0,0.0
3500,1.0,-2.0,0.1,30.33425,0.018665,30.336552815295985,0.0,0.0,0.0
3500,1.0,-2.0,0.15,30.280923,0.018703,30.283261421411346,0.0,0.0,0.0
3500,1.0,-2.0,0.2,30.227593,0.018743,30.229960573984556,0.0,0.0,0.0
3500,1.0,-2.0,0.25,30.174261,0.018783,30.176660006027127,0.0,0.0,0.0
3500,1.0,-2.0,0.3,30.120929,0.018824,30.12336945269143,0.0,0.0,0.0
3500,1.0,-2.0,0.4,30.014269,0.01891,30.016784457666393,0.0,0.0,0.0
3500,1.0,-2.0,0.6,29.801002,0.019093,29.80368830294726,0.0,0.0,0.0
3500,1.0,-2.0,0.8,29.587872,0.019292,29.590756733304083,0.0,0.0,0.0
3500,1.0,-2.0,1.0,29.374962,0.019506,29.37807025236539,0.0,0.0,0.0
3500,1.0,-2.0,1.25,29.109255,0.019797,29.112685076360616,0.83333,0.0,0.0
3500,1.0,-2.0,1.5,28.844168,0.020112,28.84795351969483,2.08333,0.0,0.0
3500,1.0,-1.5,0.0,32.292983,0.022059,32.281821203729486,2.91667,0.0,0.0
3500,1.0,-1.5,0.05,32.242186,0.022119,32.23107692629868,3.33333,0.0,0.0
3500,1.0,-1.5,0.1,32.191238,0.02218,32.18019237697369,3.33333,0.0,0.0
3500,1.0,-1.5,0.15,32.140143,0.022243,32.12915751528579,3.75,0.0,0.0
3500,1.0,-1.5,0.2,32.088907,0.022306,32.07798739755631,3.75,0.0,0.0
3500,1.0,-1.5,0.25,32.037533,0.02237,32.02668202203039,4.16667,0.0,0.0
3500,1.0,-1.5,0.3,31.986027,0.022435,31.975246406314504,4.16667,0.0,0.0
3500,1.0,-1.5,0.4,31.882632,0.022568,31.87199416716283,5.0,0.0,0.0
3500,1.0,-1.5,0.6,31.67443,0.022847,31.664122174162053,5.41667,0.0,0.0
3500,1.0,-1.5,0.8,31.464552,0.023142,31.454607544206922,6.66667,0.0,0.0
3500,1.0,-1.5,1.0,31.253226,0.023454,31.24368137604088,7.91667,0.0,0.0
3500,1.0,-1.5,1.25,30.987357,0.023868,30.97836604009468,9.16667,0.0,0.0
3500,1.0,-1.5,1.5,30.719936,0.024309,30.71155597117361,10.0,0.0,0.0
3500,1.0,-1.0,0.0,31.897166,0.021727,31.871209687098144,2.91667,0.0,0.0
3500,1.0,-1.0,0.05,31.859149,0.021798,31.833205781167365,3.33333,0.0,0.0
3500,1.0,-1.0,0.1,31.820887,0.02187,31.794955873265543,3.75,0.0,0.0
3500,1.0,-1.0,0.15,31.782386,0.021942,31.756475656290554,3.75,0.0,0.0
3500,1.0,-1.0,0.2,31.74365,0.022016,31.7177594734766,4.16667,0.0,0.0
3500,1.0,-1.0,0.25,31.704686,0.022091,31.678817363022333,4.58333,0.0,0.0
3500,1.0,-1.0,0.3,31.665497,0.022166,31.639654976829252,5.41667,0.0,0.0
3500,1.0,-1.0,0.4,31.586467,0.022319,31.56068786465023,5.41667,0.0,0.0
3500,1.0,-1.0,0.6,31.425928,0.022636,31.400316016879213,5.83333,0.0,0.0
3500,1.0,-1.0,0.8,31.262322,0.022967,31.2369199135525,6.66667,0.0,0.0
3500,1.0,-1.0,1.0,31.095921,0.023313,31.070781491454415,7.5,0.0,0.0
3500,1.0,-1.0,1.25,30.884371,0.023766,30.859623713514303,9.58333,0.0,0.0
3500,1.0,-1.0,1.5,30.669295,0.024243,30.645011816193556,10.41667,0.0,0.0
3500,1.0,-0.5,0.0,30.258522,0.017747,30.24443928024429,0.0,0.0,0.0
3500,1.0,-0.5,0.05,30.228203,0.017791,30.21410596619137,0.0,0.0,0.0
