teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,5.592034,0.0005,5.592215,0.0,0.0,0.0
3500,0.5,-2.0,0.05,5.577598,0.000495,5.577779,0.0,0.0,0.0
3500,0.5,-2.0,0.1,5.563244,0.000489,5.563423,0.0,0.0,0.0
3500,0.5,-2.0,0.15,5.548979,0.000484,5.549162,0.0,0.0,0.0
3500,0.5,-2.0,0.2,5.534808,0.00048,5.534987,0.0,0.0,0.0
3500,0.5,-2.0,0.25,5.520734,0.000475,5.520912,0.0,0.0,0.0
3500,0.5,-2.0,0.3,5.506764,0.00047,5.506942,0.0,0.0,0.0
3500,0.5,-2.0,0.4,5.479149,0.000461,5.47933,0.0,0.0,0.0
3500,0.5,-2.0,0.6,5.425342,0.000444,5.425519,0.0,0.0,0.0
3500,0.5,-2.0,0.8,5.37361,0.000429,5.373786,0.0,0.0,0.0
3500,0.5,-2.0,1.0,5.324126,0.000415,5.324301,0.0,0.0,0.0
3500,0.5,-2.0,1.25,5.265602,0.0004,5.265779,0.0,0.0,0.0
3500,0.5,-2.0,1.5,5.210887,0.000386,5.21106,0.0,0.0,0.0
3500,0.5,-1.5,0.0,5.791172,0.00058,5.791357,0.0,0.0,0.0
3500,0.5,-1.5,0.05,5.77517,0.000572,5.77536,0.0,0.0,0.0
3500,0.5,-1.5,0.1,5.759235,0.000564,5.759423,0.0,0.0,0.0
3500,0.5,-1.5,0.15,5.743374,0.000556,5.743562,0.0,0.0,0.0
3500,0.5,-1.5,0.2,5.727592,0.000548,5.727781,0.0,0.0,0.0
3500,0.5,-1.5,0.25,5.711895,0.000541,5.71208,0.0,0.0,0.0
3500,0.5,-1.5,0.3,5.69629,0.000534,5.69648,0.0,0.0,0.0
3500,0.5,-1.5,0.4,5.665375,0.00052,5.665565,0.0,0.0,0.0
3500,0.5,-1.5,0.6,5.604871,0.000494,5.60506,0.0,0.0,0.0
3500,0.5,-1.5,0.8,5.546369,0.00047,5.546557,0.0,0.0,0.0
3500,0.5,-1.5,1.0,5.490097,0.000449,5.490288,0.0,0.0,0.0
3500,0.5,-1.5,1.25,5.42315,0.000426,5.42334,0.0,0.0,0.0
3500,0.5,-1.5,1.5,5.360167,0.000406,5.360357,0.0,0.0,0.0
3500,0.5,-1.0,0.0,6.174431,0.0007,6.174623,0.0,0.0,0.0
3500,0.5,-1.0,0.05,6.154252,0.000687,6.154441,0.0,0.0,0.0
3500,0.5,-1.0,0.1,6.134183,0.000675,6.134374,0.0,0.0,0.0
3500,0.5,-1.0,0.15,6.114232,0.000663,6.114428,0.0,0.0,0.0
3500,0.5,-1.0,0.2,6.094405,0.000651,6.094597,0.0,0.0,0.0
