teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,6.544429,0.00061,6.54462,0.0,0.0,0.0
3500,0.5,-2.0,0.05,6.515574,0.000605,6.515758,0.0,0.0,0.0
3500,0.5,-2.0,0.1,6.487474,0.000599,6.487658,0.0,0.0,0.0
3500,0.5,-2.0,0.15,6.460114,0.000594,6.460296,0.0,0.0,0.0
3500,0.5,-2.0,0.2,6.433478,0.000588,6.433651,0.0,0.0,0.0
3500,0.5,-2.0,0.25,6.407548,0.000583,6.407719,0.0,0.0,0.0
3500,0.5,-2.0,0.3,6.382309,0.000578,6.38248,0.0,0.0,0.0
3500,0.5,-2.0,0.4,6.333834,0.000568,6.333993,0.0,0.0,0.0
3500,0.5,-2.0,0.6,6.244428,0.000549,6.244576,0.0,0.0,0.0
3500,0.5,-2.0,0.8,6.164202,0.000531,6.164336,0.0,0.0,0.0
3500,0.5,-2.0,1.0,6.092144,0.000514,6.092271,0.0,0.0,0.0
3500,0.5,-2.0,1.25,6.012127,0.000495,6.012242,0.0,0.0,0.0
3500,0.5,-2.0,1.5,5.94174,0.000477,5.941842,0.0,0.0,0.0
3500,0.5,-1.5,0.0,6.705754,0.000621,6.705926,0.0,0.0,0.0
3500,0.5,-1.5,0.05,6.681727,0.000615,6.681896,0.0,0.0,0.0
3500,0.5,-1.5,0.1,6.658297,0.00061,6.658463,0.0,0.0,0.0
3500,0.5,-1.5,0.15,6.635449,0.000604,6.635612,0.0,0.0,0.0
3500,0.5,-1.5,0.2,6.613169,0.000599,6.613332,0.0,0.0,0.0
3500,0.5,-1.5,0.25,6.591439,0.000593,6.5916,0.0,0.0,0.0
3500,0.5,-1.5,0.3,6.570245,0.000587,6.5704,0.0,0.0,0.0
3500,0.5,-1.5,0.4,6.529401,0.000576,6.529555,0.0,0.0,0.0
3500,0.5,-1.5,0.6,6.453468,0.000554,6.45361,0.0,0.0,0.0
3500,0.5,-1.5,0.8,6.384431,0.000532,6.384564,0.0,0.0,0.0
3500,0.5,-1.5,1.0,6.321424,0.000511,6.321545,0.0,0.0,0.0
3500,0.5,-1.5,1.25,6.249965,0.000486,6.250076,0.0,0.0,0.0
3500,0.5,-1.5,1.5,6.185395,0.000461,6.185496,0.0,0.0,0.0
3500,0.5,-1.0,0.0,7.051623,0.000636,7.051827,0.0,0.0,0.0
3500,0.5,-1.0,0.05,7.034087,0.000629,7.034289,0.0,0.0,0.0
3500,0.5,-1.0,0.1,7.016867,0.000622,7.017073,0.0,0.0,0.0
3500,0.5,-1.0,0.15,6.999952,0.000615,7.000152,0.0,0.0,0.0
3500,0.5,-1.0,0.2,6.98333,0.000608,6.983528,0.0,0.0,0.0
3500,0.5,-1.0,0.25,6.966988,0.000601,6.967184,0.0,0.0,0.0
3500,0.5,-1.0,0.3,6.950915,0.000594,6.951107,0.0,0.0,0.0
3500,0.5,-1.0,0.4,6.919535,0.000579,6.91973,0.0,0.0,0.0
3500,0.5,-1.0,0.6,6.859553,0.000549,6.859731,0.0,0.0,0.0
3500,0.5,-1.0,0.8,6.802793,0.000519,6.802963,0.0,0.0,0.0
3500,0.5,-1.0,1.0,6.748766,0.000488,6.748929,0.0,0.0,0.0
3500,0.5,-1.0,1.25,6.684479,0.000451,6.68463,0.0,0.0,0.0
3500,0.5,-1.0,1.5,6.623257,0.000413,6.623396,0.0,0.0,0.0
3500,0.5,-0.5,0.0,7.62454,0.000637,7.624782,0.0,0.0,0.0
3500,0.5,-0.5,0.05,7.613703,0.000627,7.613937,0.0,0.0,0.0
3500,0.5,-0.5,0.1,7.602793,0.000617,7.603028,0.0,0.0,0.0
3500,0.5,-0.5,0.15,7.591808,0.000607,7.592038,0.0,0.0,0.0
3500,0.5,-0.5,0.2,7.580747,0.000596,7.580983,0.0,0.0,0.0
3500,0.5,-0.5,0.25,7.569609,0.000586,7.569843,0.0,0.0,0.0
3500,0.5,-0.5,0.3,7.558394,0.000575,7.558622,0.0,0.0,0.0
3500,0.5,-0.5,0.4,7.535732,0.000553,7.535955,0.0,0.0,0.0
3500,0.5,-0.5,0.6,7.48951,0.000508,7.489723,0.0,0.0,0.0
3500,0.5,-0.5,0.8,7.442191,0.000461,7.442397,0.0,0.0,0.0
3500,0.5,-0.5,1.0,7.393951,0.000415,7.394143,0.0,0.0,0.0
3500,0.5,-0.5,1.25,7.33269,0.000356,7.332866,0.0,0.0,0.0
3500,0.5,-0.5,1.5,7.270797,0.000298,7.270953,0.0,0.0,0.0
3500,0.5,-0.0,0.0,8.324338,0.000603,8.324602,0.0,0.0,0.0
3500,0.5,-0.0,0.05,8.318618,0.000588,8.31888,0.0,0.0,0.0
3500,0.5,-0.0,0.1,8.312464,0.000573,8.312722,0.0,0.0,0.0
3500,0.5,-0.0,0.15,8.305889,0.000557,8.306142,0.0,0.0,0.0
3500,0.5,-0.0,0.2,8.29891,0.000542,8.299161,0.0,0.0,0.0
3500,0.5,-0.0,0.25,8.291542,0.000526,8.291789,0.0,0.0,0.0
3500,0.5,-0.0,0.3,8.283799,0.00051,8.28404,0.0,0.0,0.0
3500,0.5,-0.0,0.4,8.267256,0.000477,8.267493,0.0,0.0,0.0
3500,0.5,-0.0,0.6,8.230366,0.000411,8.230587,0.0,0.0,0.0
3500,0.5,-0.0,0.8,8.189205,0.000343,8.18941,0.0,0.0,0.0
3500,0.5,-0.0,1.0,8.144679,0.000275,8.144867,0.0,0.0,0.0
3500,0.5,-0.0,1.25,8.085534,0.00019,8.085695,0.0,0.0,0.0
3500,0.5,-0.0,1.5,8.023817,0.000106,8.023955,0.0,0.0,0.0
3500,1.0,-2.0,0.0,6.421036,0.000584,6.421227,0.0,0.0,0.0
3500,1.0,-2.0,0.05,6.393953,0.000579,6.394141,0.0,0.0,0.0
3500,1.0,-2.0,0.1,6.367563,0.000574,6.367742,0.0,0.0,0.0
3500,1.0,-2.0,0.15,6.341851,0.000569,6.342031,0.0,0.0,0.0
3500,1.0,-2.0,0.2,6.316805,0.000565,6.316982,0.0,0.0,0.0
3500,1.0,-2.0,0.25,6.292409,0.00056,6.292586,0.0,0.0,0.0
3500,1.0,-2.0,0.3,6.268649,0.000555,6.268822,0.0,0.0,0.0
3500,1.0,-2.0,0.4,6.222977,0.000546,6.22314,0.0,0.0,0.0
3500,1.0,-2.0,0.6,6.138604,0.000529,6.138756,0.0,0.0,0.0
3500,1.0,-2.0,0.8,6.062734,0.000512,6.062877,0.0,0.0,0.0
3500,1.0,-2.0,1.0,5.994448,0.000496,5.994579,0.0,0.0,0.0
3500,1.0,-2.0,1.25,5.918439,0.000478,5.918565,0.0,0.0,0.0
3500,1.0,-2.0,1.5,5.851395,0.000461,5.851507,0.0,0.0,0.0
