teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,8.022359,0.000641,8.022648336536696,0.0,0.0,0.0
3500,0.5,-2.0,0.05,7.990882,0.000623,7.991160092444958,0.0,0.0,0.0
3500,0.5,-2.0,0.1,7.960315,0.000604,7.960580140253454,0.0,0.0,0.0
3500,0.5,-2.0,0.15,7.93063,0.000586,7.9308783723920815,0.0,0.0,0.0
3500,0.5,-2.0,0.2,7.9018,0.000568,7.90203965525637,0.0,0.0,0.0
3500,0.5,-2.0,0.25,7.873797,0.00055,7.874023847015997,0.0,0.0,0.0
3500,0.5,-2.0,0.3,7.846594,0.000532,7.846810954881147,0.0,0.0,0.0
3500,0.5,-2.0,0.4,7.794481,0.000497,7.794668238381035,0.0,0.0,0.0
3500,0.5,-2.0,0.6,7.698719,0.000427,7.69886330606845,0.0,0.0,0.0
3500,0.5,-2.0,0.8,7.612973,0.000358,7.6130690317739536,0.0,0.0,0.0
3500,0.5,-2.0,1.0,7.535863,0.000291,7.535920734066771,0.0,0.0,0.0
3500,0.5,-2.0,1.25,7.449784,0.000207,7.44979452637054,0.0,0.0,0.0
3500,0.5,-2.0,1.5,7.373285,0.000124,7.373247491584448,0.0,0.0,0.0
3500,0.5,-1.5,0.0,7.996018,0.000424,7.996091970212905,0.0,0.0,0.0
3500,0.5,-1.5,0.05,7.967507,0.000398,7.967573842213496,0.0,0.0,0.0
3500,0.5,-1.5,0.1,7.939908,0.000373,7.939958907688646,0.0,0.0,0.0
3500,0.5,-1.5,0.15,7.91319,0.000348,7.913237209526341,0.0,0.0,0.0
3500,0.5,-1.5,0.2,7.88732,0.000323,7.887353473255867,0.0,0.0,0.0
3500,0.5,-1.5,0.25,7.862267,0.000298,7.86228762749651,0.0,0.0,0.0
3500,0.5,-1.5,0.3,7.838,0.000273,7.838014661662869,0.0,0.0,0.0
3500,0.5,-1.5,0.4,7.791706,0.000222,7.791691583791701,0.0,0.0,0.0
3500,0.5,-1.5,0.6,7.70727,0.000121,7.707214440254386,0.0,0.0,0.0
3500,0.5,-1.5,0.8,7.632296,2.3e-05,7.632191069419145,0.0,0.0,0.0
3500,0.5,-1.5,1.0,7.565268,8.8e-05,7.565125876812203,0.0,0.0,0.0
3500,0.5,-1.5,1.25,7.490674,0.000219,7.49047202289291,0.0,0.0,0.0
3500,0.5,-1.5,1.5,7.424297,0.000351,7.424037350655245,0.0,0.0,0.0
3500,0.5,-1.0,0.0,7.989568,0.000198,7.989550916858936,0.0,0.0,0.0
3500,0.5,-1.0,0.05,7.965794,0.000166,7.9657690860365165,0.0,0.0,0.0
3500,0.5,-1.0,0.1,7.942945,0.000134,7.942910515870682,0.0,0.0,0.0
3500,0.5,-1.0,0.15,7.920984,0.000102,7.920940161138521,0.0,0.0,0.0
3500,0.5,-1.0,0.2,7.899872,7e-05,7.899817721220097,0.0,0.0,0.0
3500,0.5,-1.0,0.25,7.879574,3.8e-05,7.879508230033595,0.0,0.0,0.0
3500,0.5,-1.0,0.3,7.860054,1.5e-05,7.859976484138195,0.0,0.0,0.0
3500,0.5,-1.0,0.4,7.82321,6.6e-05,7.823115766794505,0.0,0.0,0.0
3500,0.5,-1.0,0.6,7.757384,0.000201,7.757242026987645,0.0,0.0,0.0
3500,0.5,-1.0,0.8,7.700428,0.00034,7.700239667948993,0.0,0.0,0.0
3500,0.5,-1.0,1.0,7.650619,0.000482,7.650387539698375,0.0,0.0,0.0
3500,0.5,-1.0,1.25,7.596177,0.000665,7.595881098797647,0.0,0.0,0.0
3500,0.5,-1.0,1.5,7.548199,0.000851,7.547842434080366,0.0,0.0,0.0
3500,0.5,-0.5,0.0,7.933849,2.7e-05,7.9338691339181775,0.0,0.0,0.0
3500,0.5,-0.5,0.05,7.916465,2.7e-05,7.916479644838479,0.0,0.0,0.0
3500,0.5,-0.5,0.1,7.900018,5.8e-05,7.900028541610978,0.0,0.0,0.0
3500,0.5,-0.5,0.15,7.884465,9.4e-05,7.884465567686385,0.0,0.0,0.0
3500,0.5,-0.5,0.2,7.869762,0.00013,7.869755520035811,0.0,0.0,0.0
3500,0.5,-0.5,0.25,7.855868,0.000168,7.855858414334772,0.0,0.0,0.0
3500,0.5,-0.5,0.3,7.842742,0.000206,7.84271889873223,0.0,0.0,0.0
3500,0.5,-0.5,0.4,7.818633,0.000283,7.8185925259800735,0.0,0.0,0.0
3500,0.5,-0.5,0.6,7.777929,0.000441,7.777861181168893,0.0,0.0,0.0
3500,0.5,-0.5,0.8,7.745385,0.000605,7.74527326468348,0.0,0.0,0.0
