teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,6.436211,0.000287,6.437740892972235,0.0,0.0,0.0
3500,0.5,-2.0,0.05,6.435082,0.000287,6.436611935694441,0.0,0.0,0.0
3500,0.5,-2.0,0.1,6.433934,0.000288,6.435452872889292,0.0,0.0,0.0
3500,0.5,-2.0,0.15,6.432767,0.000288,6.434283774908192,0.0,0.0,0.0
3500,0.5,-2.0,0.2,6.431581,0.000289,6.433094606575687,0.0,0.0,0.0
3500,0.5,-2.0,0.25,6.430377,0.000289,6.431885432212293,0.0,0.0,0.0
3500,0.5,-2.0,0.3,6.429154,0.00029,6.43065612316406,0.0,0.0,0.0
3500,0.5,-2.0,0.4,6.426652,0.000291,6.428147264904922,0.0,0.0,0.0
3500,0.5,-2.0,0.6,6.421425,0.000291,6.422898803729276,0.0,0.0,0.0
3500,0.5,-2.0,0.8,6.415905,0.000292,6.417364275978401,0.0,0.0,0.0
3500,0.5,-2.0,1.0,6.410096,0.000291,6.411533710777472,0.0,0.0,0.0
3500,0.5,-2.0,1.25,6.402439,0.00029,6.403846446295159,0.0,0.0,0.0
3500,0.5,-2.0,1.5,6.394355,0.000287,6.395732687674182,0.0,0.0,0.0
3500,0.5,-1.5,0.0,7.340786,0.000261,7.34452133446231,0.0,0.0,0.0
3500,0.5,-1.5,0.05,7.33886,0.00026,7.342589638673253,0.0,0.0,0.0
3500,0.5,-1.5,0.1,7.336922,0.000258,7.340642890098154,0.0,0.0,0.0
3500,0.5,-1.5,0.15,7.334972,0.000256,7.3386861063190265,0.0,0.0,0.0
3500,0.5,-1.5,0.2,7.33301,0.000255,7.336719287335649,0.0,0.0,0.0
3500,0.5,-1.5,0.25,7.331036,0.000254,7.334737415565003,0.0,0.0,0.0
3500,0.5,-1.5,0.3,7.329049,0.000252,7.332745508589384,0.0,0.0,0.0
3500,0.5,-1.5,0.4,7.32504,0.00025,7.328721480567035,0.0,0.0,0.0
3500,0.5,-1.5,0.6,7.316876,0.000245,7.320522823588507,0.0,0.0,0.0
3500,0.5,-1.5,0.8,7.30852,0.000241,7.312133498298472,0.0,0.0,0.0
3500,0.5,-1.5,1.0,7.299973,0.000238,7.303553358615693,0.0,0.0,0.0
3500,0.5,-1.5,1.25,7.289028,0.000235,7.292559688882181,0.0,0.0,0.0
3500,0.5,-1.5,1.5,7.277802,0.000233,7.281279871751562,0.0,0.0,0.0
3500,0.5,-1.0,0.0,8.714687,0.001308,8.72260750777128,0.0,0.0,0.0
3500,0.5,-1.0,0.05,8.711971,0.001305,8.719878043613402,0.0,0.0,0.0
3500,0.5,-1.0,0.1,8.709263,0.001303,8.717163719248015,0.0,0.0,0.0
3500,0.5,-1.0,0.15,8.706564,0.001301,8.714454325185132,0.0,0.0,0.0
3500,0.5,-1.0,0.2,8.703872,0.001298,8.711749948626167,0.0,0.0,0.0
3500,0.5,-1.0,0.25,8.701188,0.001296,8.709055607128962,0.0,0.0,0.0
3500,0.5,-1.0,0.3,8.698512,0.001294,8.70636628313584,0.0,0.0,0.0
3500,0.5,-1.0,0.4,8.693183,0.00129,8.701012635766515,0.0,0.0,0.0
3500,0.5,-1.0,0.6,8.682615,0.001283,8.690390726101029,0.0,0.0,0.0
3500,0.5,-1.0,0.8,8.672166,0.001277,8.679884132839454,0.0,0.0,0.0
3500,0.5,-1.0,1.0,8.661831,0.001272,8.669482734490023,0.0,0.0,0.0
3500,0.5,-1.0,1.25,8.649069,0.001266,8.656632767691843,0.0,0.0,0.0
3500,0.5,-1.0,1.5,8.636476,0.001262,8.643943189876099,0.0,0.0,0.0
3500,0.5,-0.5,0.0,10.445387,0.003237,10.460075156826793,0.0,0.0,0.0
