teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,14.563831,0.004344,14.565159018511414,0.0,0.0,0.0
3500,0.5,-2.0,0.05,14.536376,0.004353,14.537720314245824,0.0,0.0,0.0
3500,0.5,-2.0,0.1,14.50937,0.004362,14.510733229033317,0.0,0.0,0.0
3500,0.5,-2.0,0.15,14.482815,0.004372,14.484187726891392,0.0,0.0,0.0
3500,0.5,-2.0,0.2,14.45671,0.004382,14.45809398831815,0.0,0.0,0.0
3500,0.5,-2.0,0.25,14.431056,0.004392,14.432462048445426,0.0,0.0,0.0
3500,0.5,-2.0,0.3,14.405855,0.004402,14.407271690518716,0.0,0.0,0.0
3500,0.5,-2.0,0.4,14.356811,0.004424,14.358256007814292,0.0,0.0,0.0
3500,0.5,-2.0,0.6,14.264161,0.00447,14.26566512426986,0.0,0.0,0.0
3500,0.5,-2.0,0.8,14.178759,0.004521,14.18032117472964,0.0,0.0,0.0
3500,0.5,-2.0,1.0,14.100576,0.004575,14.102194036043016,0.0,0.0,0.0
3500,0.5,-2.0,1.25,14.012915,0.004647,14.01460479165371,0.0,0.0,0.0
3500,0.5,-2.0,1.5,13.936287,0.004724,13.938041238596561,0.0,0.0,0.0
3500,0.5,-1.5,0.0,15.792231,0.005493,15.792256409504116,0.0,0.0,0.0
3500,0.5,-1.5,0.05,15.7708,0.00551,15.77084519045387,0.0,0.0,0.0
3500,0.5,-1.5,0.1,15.749868,0.005526,15.749926052980097,0.0,0.0,0.0
3500,0.5,-1.5,0.15,15.729436,0.005543,15.72951357813347,0.0,0.0,0.0
3500,0.5,-1.5,0.2,15.709502,0.005561,15.709598201865786,0.0,0.0,0.0
3500,0.5,-1.5,0.25,15.690068,0.005578,15.690179452338834,0.0,0.0,0.0
3500,0.5,-1.5,0.3,15.671134,0.005596,15.671262818483637,0.0,0.0,0.0
3500,0.5,-1.5,0.4,15.634761,0.005633,15.634919901489669,0.0,0.0,0.0
3500,0.5,-1.5,0.6,15.567991,0.00571,15.568211618187629,0.0,0.0,0.0
3500,0.5,-1.5,0.8,15.509148,0.005791,15.509433044674982,0.0,0.0,0.0
3500,0.5,-1.5,1.0,15.458159,0.005875,15.458508753503738,0.0,0.0,0.0
