teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,6.508091,0.000456,6.506024731366397,0.0,0.0,0.0
3500,0.5,-2.0,0.05,6.496738,0.000459,6.494634432154892,0.0,0.0,0.0
3500,0.5,-2.0,0.1,6.485403,0.000461,6.48325416964186,0.0,0.0,0.0
3500,0.5,-2.0,0.15,6.474087,0.000464,6.471893978928612,0.0,0.0,0.0
3500,0.5,-2.0,0.2,6.46279,0.000467,6.460553860011135,0.0,0.0,0.0
3500,0.5,-2.0,0.25,6.451513,0.00047,6.44923381288464,0.0,0.0,0.0
3500,0.5,-2.0,0.3,6.440256,0.000473,6.437933773164721,0.0,0.0,0.0
3500,0.5,-2.0,0.4,6.417803,0.000479,6.415389020506382,0.0,0.0,0.0
3500,0.5,-2.0,0.6,6.373154,0.000492,6.370565273072496,0.0,0.0,0.0
3500,0.5,-2.0,0.8,6.328863,0.000507,6.326097735983773,0.0,0.0,0.0
3500,0.5,-2.0,1.0,6.284952,0.000524,6.282001462867118,0.0,0.0,0.0
3500,0.5,-2.0,1.25,6.230626,0.000546,6.227437938406229,0.0,0.0,0.0
3500,0.5,-2.0,1.5,6.176959,0.000571,6.173536715582842,0.0,0.0,0.0
3500,0.5,-1.5,0.0,7.187235,0.000815,7.185069474730769,0.0,0.0,0.0
3500,0.5,-1.5,0.05,7.169217,0.00082,7.1670054394849085,0.0,0.0,0.0
3500,0.5,-1.5,0.1,7.151248,0.000825,7.148981548953991,0.0,0.0,0.0
3500,0.5,-1.5,0.15,7.133327,0.00083,7.131012855764407,0.0,0.0,0.0
3500,0.5,-1.5,0.2,7.115455,0.000836,7.1130942712176495,0.0,0.0,0.0
3500,0.5,-1.5,0.25,7.097633,0.000841,7.095220920193357,0.0,0.0,0.0
3500,0.5,-1.5,0.3,7.07986,0.000846,7.077397678133251,0.0,0.0,0.0
3500,0.5,-1.5,0.4,7.044463,0.000857,7.041901734224944,0.0,0.0,0.0
3500,0.5,-1.5,0.6,6.974272,0.000881,6.971512006707306,0.0,0.0,0.0
3500,0.5,-1.5,0.8,6.904897,0.000906,6.90193512460095,0.0,0.0,0.0
3500,0.5,-1.5,1.0,6.836348,0.000934,6.8331810554390255,0.0,0.0,0.0
3500,0.5,-1.5,1.25,6.751837,0.00097,6.748415102278825,0.0,0.0,0.0
3500,0.5,-1.5,1.5,6.668644,0.001008,6.664958709454407,0.0,0.0,0.0
3500,0.5,-1.0,0.0,7.768043,0.001203,7.765979807588324,0.0,0.0,0.0
3500,0.5,-1.0,0.05,7.742928,0.001213,7.7408152124298155,0.0,0.0,0.0
3500,0.5,-1.0,0.1,7.717886,0.001224,7.715725890928521,0.0,0.0,0.0
3500,0.5,-1.0,0.15,7.69292,0.001235,7.690706825498638,0.0,0.0,0.0
3500,0.5,-1.0,0.2,7.668027,0.001246,7.66576805117006,0.0,0.0,0.0
3500,0.5,-1.0,0.25,7.643209,0.001257,7.640899456409692,0.0,0.0,0.0
3500,0.5,-1.0,0.3,7.618466,0.001268,7.616106211777319,0.0,0.0,0.0
3500,0.5,-1.0,0.4,7.569204,0.00129,7.566745467059948,0.0,0.0,0.0
3500,0.5,-1.0,0.6,7.471578,0.001337,7.468917225041081,0.0,0.0,0.0
3500,0.5,-1.0,0.8,7.375149,0.001385,7.372288192107497,0.0,0.0,0.0
3500,0.5,-1.0,1.0,7.279916,0.001434,7.276858443661056,0.0,0.0,0.0
3500,0.5,-1.0,1.25,7.162545,0.001498,7.159229660060637,0.0,0.0,0.0
