teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,5.69762,0.000163,5.698129293121796,0.0,0.0,0.0
3500,0.5,-2.0,0.05,5.683085,0.000163,5.683603039876575,0.0,0.0,0.0
3500,0.5,-2.0,0.1,5.668492,0.000162,5.669016634565595,0.0,0.0,0.0
3500,0.5,-2.0,0.15,5.653841,0.000161,5.654369963671902,0.0,0.0,0.0
3500,0.5,-2.0,0.2,5.639133,0.000161,5.639668101610744,0.0,0.0,0.0
3500,0.5,-2.0,0.25,5.62437,0.000161,5.624916122209353,0.0,0.0,0.0
3500,0.5,-2.0,0.3,5.60955,0.000161,5.610098916237492,0.0,0.0,0.0
3500,0.5,-2.0,0.4,5.579747,0.00016,5.580313926901498,0.0,0.0,0.0
3500,0.5,-2.0,0.6,5.519506,0.000161,5.520096816277177,0.0,0.0,0.0
3500,0.5,-2.0,0.8,5.458457,0.000164,5.459071961730957,0.0,0.0,0.0
3500,0.5,-2.0,1.0,5.396657,0.000169,5.397299572715815,0.0,0.0,0.0
3500,0.5,-2.0,1.25,5.318435,0.000177,5.319114667532544,0.0,0.0,0.0
3500,0.5,-2.0,1.5,5.239249,0.000188,5.239966533516402,0.0,0.0,0.0
3500,0.5,-1.5,0.0,5.401222,0.000152,5.4019149721398785,0.0,0.0,0.0
3500,0.5,-1.5,0.05,5.383053,0.000151,5.383750867086401,0.0,0.0,0.0
3500,0.5,-1.5,0.1,5.364767,0.000149,5.365476433027233,0.0,0.0,0.0
3500,0.5,-1.5,0.15,5.346365,0.000148,5.347081580854793,0.0,0.0,0.0
3500,0.5,-1.5,0.2,5.327847,0.000147,5.328571328159565,0.0,0.0,0.0
3500,0.5,-1.5,0.25,5.309215,0.000146,5.309955763188711,0.0,0.0,0.0
3500,0.5,-1.5,0.3,5.290469,0.000145,5.291214709353205,0.0,0.0,0.0
3500,0.5,-1.5,0.4,5.252643,0.000144,5.253411540738441,0.0,0.0,0.0
3500,0.5,-1.5,0.6,5.175685,0.000144,5.176490694534342,0.0,0.0,0.0
3500,0.5,-1.5,0.8,5.097055,0.000146,5.0978991559178075,0.0,0.0,0.0
3500,0.5,-1.5,1.0,5.016842,0.000152,5.017727287834482,0.0,0.0,0.0
3500,0.5,-1.5,1.25,4.914498,0.000162,4.91543288889251,0.0,0.0,0.0
3500,0.5,-1.5,1.5,4.810038,0.000178,4.811031329400468,0.0,0.0,0.0
3500,0.5,-1.0,0.0,5.510882,0.000465,5.511759054759131,0.0,0.0,0.0
3500,0.5,-1.0,0.05,5.492411,0.000463,5.493298836630084,0.0,0.0,0.0
3500,0.5,-1.0,0.1,5.473767,0.000461,5.474668079329851,0.0,0.0,0.0
3500,0.5,-1.0,0.15,5.454954,0.00046,5.455866727785243,0.0,0.0,0.0
3500,0.5,-1.0,0.2,5.435972,0.000459,5.436894727671919,0.0,0.0,0.0
3500,0.5,-1.0,0.25,5.416824,0.000457,5.417757205543782,0.0,0.0,0.0
3500,0.5,-1.0,0.3,5.397511,0.000457,5.39845912446025,0.0,0.0,0.0
3500,0.5,-1.0,0.4,5.358397,0.000456,5.359361268899215,0.0,0.0,0.0
3500,0.5,-1.0,0.6,5.27827,0.000456,5.279289078357222,0.0,0.0,0.0
3500,0.5,-1.0,0.8,5.195718,0.000461,5.1967835747138835,0.0,0.0,0.0
3500,0.5,-1.0,1.0,5.110876,0.00047,5.111990262253222,0.0,0.0,0.0
3500,0.5,-1.0,1.25,5.001822,0.000486,5.002997163695233,0.0,0.0,0.0
3500,0.5,-1.0,1.5,4.889712,0.000509,4.890953692338964,0.0,0.0,0.0
3500,0.5,-0.5,0.0,5.943072,0.00084,5.944091437801088,0.0,0.0,0.0
3500,0.5,-0.5,0.05,5.925719,0.000838,5.926750118643481,0.0,0.0,0.0
3500,0.5,-0.5,0.1,5.908175,0.000837,5.9092130565787455,0.0,0.0,0.0
3500,0.5,-0.5,0.15,5.890441,0.000836,5.891490405228326,0.0,0.0,0.0
3500,0.5,-0.5,0.2,5.872519,0.000835,5.873582105367025,0.0,0.0,0.0
3500,0.5,-0.5,0.25,5.854411,0.000835,5.855488157039519,0.0,0.0,0.0
3500,0.5,-0.5,0.3,5.836121,0.000835,5.83720856029037,0.0,0.0,0.0
3500,0.5,-0.5,0.4,5.798998,0.000835,5.800107532515814,0.0,0.0,0.0
3500,0.5,-0.5,0.6,5.722659,0.000839,5.723818302865013,0.0,0.0,0.0
3500,0.5,-0.5,0.8,5.643658,0.000848,5.644870013955621,0.0,0.0,0.0
3500,0.5,-0.5,1.0,5.562165,0.000861,5.563428183351859,0.0,0.0,0.0
3500,0.5,-0.5,1.25,5.457063,0.000884,5.45838862503799,0.0,0.0,0.0
3500,0.5,-0.5,1.5,5.348703,0.000915,5.350098029240206,0.0,0.0,0.0
3500,0.5,-0.0,0.0,6.434299,0.001048,6.435381747263466,0.0,0.0,0.0
3500,0.5,-0.0,0.05,6.417992,0.001047,6.419084047566626,0.0,0.0,0.0
3500,0.5,-0.0,0.1,6.401502,0.001047,6.402605651600457,0.0,0.0,0.0
3500,0.5,-0.0,0.15,6.384834,0.001047,6.385951705251259,0.0,0.0,0.0
3500,0.5,-0.0,0.2,6.367989,0.001047,6.3691171904314965,0.0,0.0,0.0
3500,0.5,-0.0,0.25,6.350969,0.001048,6.352106997246336,0.0,0.0,0.0
3500,0.5,-0.0,0.3,6.333777,0.001048,6.334931288194945,0.0,0.0,0.0
3500,0.5,-0.0,0.4,6.298887,0.001051,6.300063061036454,0.0,0.0,0.0
3500,0.5,-0.0,0.6,6.227151,0.001059,6.228369883632969,0.0,0.0,0.0
3500,0.5,-0.0,0.8,6.152946,0.001072,6.154213270266796,0.0,0.0,0.0
3500,0.5,-0.0,1.0,6.076446,0.001089,6.077768893176476,0.0,0.0,0.0
3500,0.5,-0.0,1.25,5.977873,0.001117,5.979257165342201,0.0,0.0,0.0
3500,0.5,-0.0,1.5,5.876368,0.001152,5.877815525978291,0.0,0.0,0.0
3500,1.0,-2.0,0.0,5.542236,9.2e-05,5.542717681287542,0.0,0.0,0.0
3500,1.0,-2.0,0.05,5.52747,9e-05,5.527955578102408,0.0,0.0,0.0
3500,1.0,-2.0,0.1,5.512637,8.9e-05,5.513128249012477,0.0,0.0,0.0
3500,1.0,-2.0,0.15,5.49774,8.8e-05,5.498240766575413,0.0,0.0,0.0
3500,1.0,-2.0,0.2,5.482778,8.7e-05,5.4832829855725,0.0,0.0,0.0
3500,1.0,-2.0,0.25,5.467753,8.5e-05,5.468265050952564,0.0,0.0,0.0
3500,1.0,-2.0,0.3,5.452664,8.4e-05,5.453181890187185,0.0,0.0,0.0
3500,1.0,-2.0,0.4,5.4223,8.3e-05,5.4228298711586085,0.0,0.0,0.0
3500,1.0,-2.0,0.6,5.360844,8.1e-05,5.361403439688302,0.0,0.0,0.0
3500,1.0,-2.0,0.8,5.29846,8e-05,5.2990438305688015,0.0,0.0,0.0
3500,1.0,-2.0,1.0,5.235202,8.1e-05,5.235811305676952,0.0,0.0,0.0
3500,1.0,-2.0,1.25,5.154989,8.5e-05,5.15563428312138,0.0,0.0,0.0
3500,1.0,-2.0,1.5,5.073624,9.2e-05,5.074308442009023,0.0,0.0,0.0
3500,1.0,-1.5,0.0,5.351018,0.000156,5.351683270650215,0.0,0.0,0.0
3500,1.0,-1.5,0.05,5.333381,0.000154,5.334051034908669,0.0,0.0,0.0
3500,1.0,-1.5,0.1,5.315615,0.000151,5.316298381301906,0.0,0.0,0.0
3500,1.0,-1.5,0.15,5.297722,0.000149,5.298415274750897,0.0,0.0,0.0
3500,1.0,-1.5,0.2,5.279704,0.000147,5.2804017680999715,0.0,0.0,0.0
3500,1.0,-1.5,0.25,5.26156,0.000146,5.262272860889994,0.0,0.0,0.0
3500,1.0,-1.5,0.3,5.243292,0.000144,5.244013448042293,0.0,0.0,0.0
3500,1.0,-1.5,0.4,5.206389,0.000141,5.207128455926601,0.0,0.0,0.0
3500,1.0,-1.5,0.6,5.13115,0.000138,5.131923542585628,0.0,0.0,0.0
3500,1.0,-1.5,0.8,5.054071,0.000137,5.0548873766286455,0.0,0.0,0.0
3500,1.0,-1.5,1.0,4.975244,0.000139,4.976100186287504,0.0,0.0,0.0
3500,1.0,-1.5,1.25,4.874405,0.000146,4.87531094966162,0.0,0.0,0.0
3500,1.0,-1.5,1.5,4.771202,0.000158,4.772158662282891,0.0,0.0,0.0
3500,1.0,-1.0,0.0,5.568175,0.000529,5.569034588833097,0.0,0.0,0.0
3500,1.0,-1.0,0.05,5.55058,0.000526,5.5514524255336335,0.0,0.0,0.0
3500,1.0,-1.0,0.1,5.532806,0.000524,5.533684615245141,0.0,0.0,0.0
3500,1.0,-1.0,0.15,5.514855,0.000522,5.515751283505684,0.0,0.0,0.0
3500,1.0,-1.0,0.2,5.496729,0.00052,5.497632249544306,0.0,0.0,0.0
3500,1.0,-1.0,0.25,5.47843,0.000519,5.4793426762894715,0.0,0.0,0.0
3500,1.0,-1.0,0.3,5.459959,0.000517,5.460887526207672,0.0,0.0,0.0
3500,1.0,-1.0,0.4,5.422509,0.000515,5.423455407849405,0.0,0.0,0.0
3500,1.0,-1.0,0.6,5.345633,0.000514,5.346624481912522,0.0,0.0,0.0
3500,1.0,-1.0,0.8,5.266232,0.000516,5.267269871729965,0.0,0.0,0.0
3500,1.0,-1.0,1.0,5.184444,0.000523,5.18553211881066,0.0,0.0,0.0
3500,1.0,-1.0,1.25,5.07908,0.000536,5.080226772276179,0.0,0.0,0.0
3500,1.0,-1.0,1.5,4.970527,0.000557,4.971740597606876,0.0,0.0,0.0
3500,1.0,-0.5,0.0,6.115698,0.000919,6.116691254615462,0.0,0.0,0.0
3500,1.0,-0.5,0.05,6.099552,0.000917,6.100554122532602,0.0,0.0,0.0
3500,1.0,-0.5,0.1,6.083216,0.000916,6.084236358985606,0.0,0.0,0.0
3500,1.0,-0.5,0.15,6.066692,0.000914,6.0677178935702125,0.0,0.0,0.0
3500,1.0,-0.5,0.2,6.049983,0.000914,6.0510187967806495,0.0,0.0,0.0
3500,1.0,-0.5,0.25,6.033091,0.000913,6.034144086271795,0.0,0.0,0.0
3500,1.0,-0.5,0.3,6.016017,0.000913,6.0170787694259955,0.0,0.0,0.0
3500,1.0,-0.5,0.4,5.981337,0.000913,5.982421234012238,0.0,0.0,0.0
3500,1.0,-0.5,0.6,5.909908,0.000916,5.9110391760942536,0.0,0.0,0.0
3500,1.0,-0.5,0.8,5.835855,0.000923,5.837038080941201,0.0,0.0,0.0
3500,1.0,-0.5,1.0,5.759347,0.000935,5.7605736070144795,0.0,0.0,0.0
3500,1.0,-0.5,1.25,5.660529,0.000957,5.661820959760208,0.0,0.0,0.0
3500,1.0,-0.5,1.5,5.558508,0.000985,5.559862436297018,0.0,0.0,0.0
