teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,5.025459,0.000811,5.025572986341895,0.0,0.0,0.0
3500,0.5,-2.0,0.05,5.023668,0.000805,5.023781407064419,0.0,0.0,0.0
3500,0.5,-2.0,0.1,5.021843,0.000799,5.021954654690288,0.0,0.0,0.0
3500,0.5,-2.0,0.15,5.019984,0.000793,5.020097797068105,0.0,0.0,0.0
3500,0.5,-2.0,0.2,5.018092,0.000787,5.018205866803734,0.0,0.0,0.0
3500,0.5,-2.0,0.25,5.016167,0.000781,5.016283781101817,0.0,0.0,0.0
3500,0.5,-2.0,0.3,5.014209,0.000776,5.014326572588216,0.0,0.0,0.0
3500,0.5,-2.0,0.4,5.010196,0.000764,5.01031687242417,0.0,0.0,0.0
3500,0.5,-2.0,0.6,5.001793,0.000741,5.00192617422777,0.0,0.0,0.0
3500,0.5,-2.0,0.8,4.992908,0.000719,4.993048775161579,0.0,0.0,0.0
3500,0.5,-2.0,1.0,4.983573,0.000697,4.983724816232606,0.0,0.0,0.0
3500,0.5,-2.0,1.25,4.971333,0.00067,4.971500453998973,0.0,0.0,0.0
3500,0.5,-2.0,1.5,4.958548,0.000645,4.9587342012114455,0.0,0.0,0.0
3500,0.5,-1.5,0.0,5.243323,0.001302,5.243271514866974,0.0,0.0,0.0
3500,0.5,-1.5,0.05,5.241505,0.00129,5.241454457061219,0.0,0.0,0.0
3500,0.5,-1.5,0.1,5.239623,0.001278,5.239577240769008,0.0,0.0,0.0
3500,0.5,-1.5,0.15,5.237676,0.001266,5.237639761199314,0.0,0.0,0.0
3500,0.5,-1.5,0.2,5.235664,0.001255,5.23563203556841,0.0,0.0,0.0
3500,0.5,-1.5,0.25,5.233588,0.001243,5.233554116241009,0.0,0.0,0.0
3500,0.5,-1.5,0.3,5.231447,0.001231,5.231420951379961,0.0,0.0,0.0
3500,0.5,-1.5,0.4,5.226973,0.001208,5.226954023495141,0.0,0.0,0.0
3500,0.5,-1.5,0.6,5.217256,0.001163,5.217252375951234,0.0,0.0,0.0
3500,0.5,-1.5,0.8,5.206526,0.001118,5.206542251710242,0.0,0.0,0.0
3500,0.5,-1.5,1.0,5.194804,0.001074,5.19483865278905,0.0,0.0,0.0
3500,0.5,-1.5,1.25,5.1788,0.00102,5.178864466729042,0.0,0.0,0.0
3500,0.5,-1.5,1.5,5.161369,0.000968,5.161465406189282,0.0,0.0,0.0
3500,0.5,-1.0,0.0,5.647213,0.002063,5.6469510794217905,0.0,0.0,0.0
3500,0.5,-1.0,0.05,5.644858,0.002042,5.644606533366077,0.0,0.0,0.0
3500,0.5,-1.0,0.1,5.642382,0.00202,5.642136603342411,0.0,0.0,0.0
3500,0.5,-1.0,0.15,5.639785,0.001999,5.639541232962084,0.0,0.0,0.0
3500,0.5,-1.0,0.2,5.637067,0.001978,5.636835475277404,0.0,0.0,0.0
3500,0.5,-1.0,0.25,5.634227,0.001957,5.6339992597394986,0.0,0.0,0.0
3500,0.5,-1.0,0.3,5.631264,0.001936,5.631047639397225,0.0,0.0,0.0
3500,0.5,-1.0,0.4,5.624972,0.001895,5.624768022441994,0.0,0.0,0.0
3500,0.5,-1.0,0.6,5.610909,0.001813,5.610733729293407,0.0,0.0,0.0
3500,0.5,-1.0,0.8,5.594867,0.001732,5.5947225653165065,0.0,0.0,0.0
3500,0.5,-1.0,1.0,5.576843,0.001653,5.576734479421388,0.0,0.0,0.0
3500,0.5,-1.0,1.25,5.55154,0.001556,5.551469744222359,0.0,0.0,0.0
3500,0.5,-1.0,1.5,5.523203,0.001462,5.523184506092554,0.0,0.0,0.0
3500,0.5,-0.5,0.0,6.246405,0.002901,6.245937103772145,0.0,0.0,0.0
3500,0.5,-0.5,0.05,6.242336,0.002869,6.2418806671251295,0.0,0.0,0.0
3500,0.5,-0.5,0.1,6.238067,0.002836,6.237618507032551,0.0,0.0,0.0
3500,0.5,-0.5,0.15,6.233598,0.002804,6.233160659125585,0.0,0.0,0.0
3500,0.5,-0.5,0.2,6.228927,0.002772,6.228502105894574,0.0,0.0,0.0
3500,0.5,-0.5,0.25,6.224054,0.00274,6.223642847544734,0.0,0.0,0.0
3500,0.5,-0.5,0.3,6.218977,0.002709,6.218572848869644,0.0,0.0,0.0
3500,0.5,-0.5,0.4,6.208211,0.002645,6.207830737615705,0.0,0.0,0.0
3500,0.5,-0.5,0.6,6.184197,0.002521,6.183857905786062,0.0,0.0,0.0
3500,0.5,-0.5,0.8,6.156834,0.002399,6.15653833990413,0.0,0.0,0.0
3500,0.5,-0.5,1.0,6.126081,0.002279,6.125837052174434,0.0,0.0,0.0
3500,0.5,-0.5,1.25,6.082838,0.002132,6.0826498618302836,0.0,0.0,0.0
3500,0.5,-0.5,1.5,6.034261,0.00199,6.03413925202503,0.0,0.0,0.0
3500,0.5,-0.0,0.0,6.936358,0.003562,6.935682794424789,0.0,0.0,0.0
3500,0.5,-0.0,0.05,6.929499,0.00352,6.928845482727691,0.0,0.0,0.0
3500,0.5,-0.0,0.1,6.922358,0.003479,6.921717216400856,0.0,0.0,0.0
3500,0.5,-0.0,0.15,6.914932,0.003437,6.914302875076342,0.0,0.0,0.0
3500,0.5,-0.0,0.2,6.90722,0.003396,6.906607615257894,0.0,0.0,0.0
3500,0.5,-0.0,0.25,6.899219,0.003355,6.8986212636001785,0.0,0.0,0.0
3500,0.5,-0.0,0.3,6.890929,0.003314,6.8903439585510995,0.0,0.0,0.0
3500,0.5,-0.0,0.4,6.873472,0.003232,6.8729162138712105,0.0,0.0,0.0
3500,0.5,-0.0,0.6,6.835009,0.003072,6.834513414622835,0.0,0.0,0.0
3500,0.5,-0.0,0.8,6.791732,0.002915,6.79129881761335,0.0,0.0,0.0
3500,0.5,-0.0,1.0,6.743563,0.002761,6.743187213021863,0.0,0.0,0.0
3500,0.5,-0.0,1.25,6.676388,0.002574,6.676090972400792,0.0,0.0,0.0
3500,0.5,-0.0,1.5,6.60144,0.002392,6.601222804941569,0.0,0.0,0.0
3500,1.0,-2.0,0.0,4.97424,0.000842,4.974338923446883,0.0,0.0,0.0
3500,1.0,-2.0,0.05,4.972451,0.000836,4.972547297337352,0.0,0.0,0.0
3500,1.0,-2.0,0.1,4.970624,0.000829,4.970720548385276,0.0,0.0,0.0
3500,1.0,-2.0,0.15,4.968757,0.000823,4.968853659013541,0.0,0.0,0.0
