teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,6.97877,0.000759,6.979007,0.0,0.0,0.0
3500,0.5,-2.0,0.05,6.983724,0.000763,6.983965,0.0,0.0,0.0
3500,0.5,-2.0,0.1,6.988661,0.000767,6.988898,0.0,0.0,0.0
3500,0.5,-2.0,0.15,6.993577,0.000771,6.99382,0.0,0.0,0.0
3500,0.5,-2.0,0.2,6.998468,0.000774,6.998713,0.0,0.0,0.0
3500,0.5,-2.0,0.25,7.003329,0.000778,7.003576,0.0,0.0,0.0
3500,0.5,-2.0,0.3,7.008156,0.000781,7.008403,0.0,0.0,0.0
3500,0.5,-2.0,0.4,7.017691,0.000787,7.017942,0.0,0.0,0.0
3500,0.5,-2.0,0.6,7.03616,0.000798,7.036413,0.0,0.0,0.0
3500,0.5,-2.0,0.8,7.053597,0.000807,7.053856,0.0,0.0,0.0
3500,0.5,-2.0,1.0,7.069734,0.000814,7.069998,0.0,0.0,0.0
3500,0.5,-2.0,1.25,7.087692,0.000819,7.087962,0.0,0.0,0.0
3500,0.5,-2.0,1.5,7.102773,0.000821,7.103041,0.0,0.0,0.0
3500,0.5,-1.5,0.0,7.918161,0.001118,7.918446,0.0,0.0,0.0
3500,0.5,-1.5,0.05,7.928637,0.00112,7.928928,0.0,0.0,0.0
3500,0.5,-1.5,0.1,7.938974,0.001123,7.939265,0.0,0.0,0.0
3500,0.5,-1.5,0.15,7.949163,0.001125,7.949457,0.0,0.0,0.0
3500,0.5,-1.5,0.2,7.959199,0.001128,7.959498,0.0,0.0,0.0
3500,0.5,-1.5,0.25,7.969074,0.00113,7.969378,0.0,0.0,0.0
3500,0.5,-1.5,0.3,7.978783,0.001132,7.979092,0.0,0.0,0.0
3500,0.5,-1.5,0.4,7.997675,0.001135,7.997985,0.0,0.0,0.0
3500,0.5,-1.5,0.6,8.033187,0.001139,8.033511,0.0,0.0,0.0
3500,0.5,-1.5,0.8,8.065369,0.001141,8.065696,0.0,0.0,0.0
3500,0.5,-1.5,1.0,8.093898,0.00114,8.094237,0.0,0.0,0.0
3500,0.5,-1.5,1.25,8.124018,0.001134,8.124364,0.0,0.0,0.0
3500,0.5,-1.5,1.5,8.147607,0.001124,8.147952,0.0,0.0,0.0
3500,0.5,-1.0,0.0,9.124455,0.001577,9.124879,0.0,0.0,0.0
3500,0.5,-1.0,0.05,9.136687,0.001576,9.137113,0.0,0.0,0.0
3500,0.5,-1.0,0.1,9.148597,0.001575,9.149025,0.0,0.0,0.0
3500,0.5,-1.0,0.15,9.160179,0.001574,9.160612,0.0,0.0,0.0
3500,0.5,-1.0,0.2,9.171427,0.001572,9.171867,0.0,0.0,0.0
3500,0.5,-1.0,0.25,9.182334,0.001571,9.182775,0.0,0.0,0.0
3500,0.5,-1.0,0.3,9.192896,0.001569,9.193338,0.0,0.0,0.0
3500,0.5,-1.0,0.4,9.212961,0.001565,9.213409,0.0,0.0,0.0
3500,0.5,-1.0,0.6,9.248731,0.001555,9.249186,0.0,0.0,0.0
3500,0.5,-1.0,0.8,9.278492,0.001542,9.278956,0.0,0.0,0.0
3500,0.5,-1.0,1.0,9.302082,0.001526,9.302554,0.0,0.0,0.0
3500,0.5,-1.0,1.25,9.322781,0.001502,9.32325,0.0,0.0,0.0
3500,0.5,-1.0,1.5,9.333749,0.001474,9.334217,0.0,0.0,0.0
3500,0.5,-0.5,0.0,10.196751,0.001944,10.197357,0.0,0.0,0.0
3500,0.5,-0.5,0.05,10.207854,0.001941,10.208462,0.0,0.0,0.0
3500,0.5,-0.5,0.1,10.218493,0.001937,10.219104,0.0,0.0,0.0
3500,0.5,-0.5,0.15,10.228662,0.001934,10.229275,0.0,0.0,0.0
3500,0.5,-0.5,0.2,10.238358,0.00193,10.238975,0.0,0.0,0.0
3500,0.5,-0.5,0.25,10.247578,0.001926,10.248197,0.0,0.0,0.0
3500,0.5,-0.5,0.3,10.256319,0.001922,10.256938,0.0,0.0,0.0
3500,0.5,-0.5,0.4,10.272357,0.001913,10.27298,0.0,0.0,0.0
3500,0.5,-0.5,0.6,10.298617,0.001893,10.299242,0.0,0.0,0.0
3500,0.5,-0.5,0.8,10.317112,0.00187,10.317741,0.0,0.0,0.0
3500,0.5,-0.5,1.0,10.327917,0.001844,10.328542,0.0,0.0,0.0
