teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,10.499803,0.001914,10.50022425135219,0.0,0.0,0.0
3500,0.5,-2.0,0.05,10.528071,0.001923,10.528486563628382,0.0,0.0,0.0
3500,0.5,-2.0,0.1,10.557194,0.001933,10.55760180147432,0.0,0.0,0.0
3500,0.5,-2.0,0.15,10.587153,0.001942,10.587560034920244,0.0,0.0,0.0
3500,0.5,-2.0,0.2,10.617926,0.001951,10.618326246372753,0.0,0.0,0.0
3500,0.5,-2.0,0.25,10.649494,0.001959,10.649885170995308,0.0,0.0,0.0
3500,0.5,-2.0,0.3,10.681834,0.001967,10.682221861886038,0.0,0.0,0.0
3500,0.5,-2.0,0.4,10.748747,0.001982,10.74912327889686,0.0,0.0,0.0
3500,0.5,-2.0,0.6,10.890868,0.002008,10.89122054686181,0.0,0.0,0.0
3500,0.5,-2.0,0.8,11.042805,0.002028,11.043137505011593,0.0,0.0,0.0
3500,0.5,-2.0,1.0,11.203019,0.00204,11.203328576821038,0.0,0.0,0.0
3500,0.5,-2.0,1.25,11.412544,0.002044,11.412826086006643,0.0,0.0,0.0
3500,0.5,-2.0,1.5,11.629518,0.002035,11.629769206321091,0.0,0.0,0.0
3500,0.5,-1.5,0.0,10.284351,0.001911,10.284486450579033,0.0,0.0,0.0
3500,0.5,-1.5,0.05,10.320154,0.001926,10.32028105675497,0.0,0.0,0.0
3500,0.5,-1.5,0.1,10.356767,0.00194,10.356893681046829,0.0,0.0,0.0
3500,0.5,-1.5,0.15,10.394166,0.001954,10.394294010861156,0.0,0.0,0.0
3500,0.5,-1.5,0.2,10.432321,0.001968,10.432452147886819,0.0,0.0,0.0
3500,0.5,-1.5,0.25,10.471207,0.001981,10.471327742448253,0.0,0.0,0.0
3500,0.5,-1.5,0.3,10.510795,0.001994,10.510915881359857,0.0,0.0,0.0
3500,0.5,-1.5,0.4,10.591966,0.002019,10.592084279614006,0.0,0.0,0.0
3500,0.5,-1.5,0.6,10.761502,0.002061,10.7616164072739,0.0,0.0,0.0
3500,0.5,-1.5,0.8,10.939107,0.002096,10.939207021055225,0.0,0.0,0.0
3500,0.5,-1.5,1.0,11.122963,0.002122,11.123049391843393,0.0,0.0,0.0
3500,0.5,-1.5,1.25,11.35886,0.002141,11.358933381652214,0.0,0.0,0.0
3500,0.5,-1.5,1.5,11.598406,0.002144,11.598459099062183,0.0,0.0,0.0
3500,0.5,-1.0,0.0,9.765404,0.001673,9.765350042403178,0.0,0.0,0.0
3500,0.5,-1.0,0.05,9.801523,0.00169,9.801470681040106,0.0,0.0,0.0
3500,0.5,-1.0,0.1,9.83825,0.001706,9.838198585822179,0.0,0.0,0.0
3500,0.5,-1.0,0.15,9.875556,0.001722,9.87550345452076,0.0,0.0,0.0
3500,0.5,-1.0,0.2,9.913407,0.001737,9.913350261559293,0.0,0.0,0.0
3500,0.5,-1.0,0.25,9.951772,0.001752,9.951718936501589,0.0,0.0,0.0
3500,0.5,-1.0,0.3,9.990621,0.001767,9.99056923802911,0.0,0.0,0.0
