teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,5.071,0.000587,5.071162402555716,0.0,0.0,0.0
3500,0.5,-2.0,0.05,5.070874,0.000586,5.07103686176464,0.0,0.0,0.0
3500,0.5,-2.0,0.1,5.070717,0.000584,5.07087619795711,0.0,0.0,0.0
3500,0.5,-2.0,0.15,5.070531,0.000582,5.070685428709401,0.0,0.0,0.0
3500,0.5,-2.0,0.2,5.070314,0.00058,5.070469622304062,0.0,0.0,0.0
3500,0.5,-2.0,0.25,5.070067,0.000578,5.070223659753559,0.0,0.0,0.0
3500,0.5,-2.0,0.3,5.06979,0.000577,5.0699475917678924,0.0,0.0,0.0
3500,0.5,-2.0,0.4,5.069147,0.000573,5.0692951043508225,0.0,0.0,0.0
3500,0.5,-2.0,0.6,5.067512,0.000566,5.067658969818844,0.0,0.0,0.0
3500,0.5,-2.0,0.8,5.065419,0.000559,5.065556201245705,0.0,0.0,0.0
3500,0.5,-2.0,1.0,5.062882,0.000552,5.063011886607387,0.0,0.0,0.0
3500,0.5,-2.0,1.25,5.059107,0.000544,5.059233148391582,0.0,0.0,0.0
3500,0.5,-2.0,1.5,5.05469,0.000535,5.054802126604673,0.0,0.0,0.0
3500,0.5,-1.5,0.0,5.286032,0.000707,5.28626684359311,0.0,0.0,0.0
3500,0.5,-1.5,0.05,5.286995,0.000704,5.2872249908695474,0.0,0.0,0.0
3500,0.5,-1.5,0.1,5.287905,0.0007,5.288138032689114,0.0,0.0,0.0
3500,0.5,-1.5,0.15,5.288762,0.000696,5.28898584585307,0.0,0.0,0.0
3500,0.5,-1.5,0.2,5.289566,0.000692,5.28979346539029,0.0,0.0,0.0
3500,0.5,-1.5,0.25,5.290317,0.000689,5.290545944342593,0.0,0.0,0.0
3500,0.5,-1.5,0.3,5.291016,0.000685,5.29124317690986,0.0,0.0,0.0
3500,0.5,-1.5,0.4,5.292258,0.000677,5.292482202633797,0.0,0.0,0.0
3500,0.5,-1.5,0.6,5.294125,0.000663,5.294337967424882,0.0,0.0,0.0
3500,0.5,-1.5,0.8,5.295184,0.000648,5.295395883134116,0.0,0.0,0.0
3500,0.5,-1.5,1.0,5.295457,0.000634,5.295661073586766,0.0,0.0,0.0
3500,0.5,-1.5,1.25,5.294724,0.000616,5.294922535966691,0.0,0.0,0.0
3500,0.5,-1.5,1.5,5.292842,0.000599,5.293029955241881,0.0,0.0,0.0
3500,0.5,-1.0,0.0,5.649285,0.000839,5.649621172477692,0.0,0.0,0.0
3500,0.5,-1.0,0.05,5.65162,0.000832,5.651954017043609,0.0,0.0,0.0
3500,0.5,-1.0,0.1,5.653866,0.000825,5.6542015621510275,0.0,0.0,0.0
3500,0.5,-1.0,0.15,5.656027,0.000818,5.6563587902168155,0.0,0.0,0.0
3500,0.5,-1.0,0.2,5.658101,0.000811,5.658430718855244,0.0,0.0,0.0
3500,0.5,-1.0,0.25,5.660089,0.000804,5.660417348081963,0.0,0.0,0.0
3500,0.5,-1.0,0.3,5.661992,0.000798,5.662323695509628,0.0,0.0,0.0
3500,0.5,-1.0,0.4,5.665543,0.000784,5.665870400380902,0.0,0.0,0.0
3500,0.5,-1.0,0.6,5.671639,0.000757,5.671965419279226,0.0,0.0,0.0
3500,0.5,-1.0,0.8,5.676423,0.00073,5.676740751136144,0.0,0.0,0.0
3500,0.5,-1.0,1.0,5.679926,0.000704,5.68023659434683,0.0,0.0,0.0
3500,0.5,-1.0,1.25,5.682564,0.000671,5.682869069017667,0.0,0.0,0.0
3500,0.5,-1.0,1.5,5.683338,0.00064,5.683640016144438,0.0,0.0,0.0
3500,0.5,-0.5,0.0,6.156391,0.000943,6.1568695615553635,0.0,0.0,0.0
3500,0.5,-0.5,0.05,6.160024,0.000932,6.160506777999617,0.0,0.0,0.0
3500,0.5,-0.5,0.1,6.163533,0.000921,6.164008456565145,0.0,0.0,0.0
3500,0.5,-0.5,0.15,6.166917,0.00091,6.167394729317768,0.0,0.0,0.0
3500,0.5,-0.5,0.2,6.170176,0.000899,6.170650605161243,0.0,0.0,0.0
3500,0.5,-0.5,0.25,6.173313,0.000888,6.173791013586744,0.0,0.0,0.0
3500,0.5,-0.5,0.3,6.176328,0.000877,6.176801025238793,0.0,0.0,0.0
3500,0.5,-0.5,0.4,6.181992,0.000855,6.182469690473955,0.0,0.0,0.0
3500,0.5,-0.5,0.6,6.191887,0.000812,6.192356987015046,0.0,0.0,0.0
3500,0.5,-0.5,0.8,6.199912,0.00077,6.200382743546849,0.0,0.0,0.0
3500,0.5,-0.5,1.0,6.206126,0.000728,6.206592120695068,0.0,0.0,0.0
3500,0.5,-0.5,1.25,6.211435,0.000678,6.211892747703553,0.0,0.0,0.0
3500,0.5,-0.5,1.5,6.214129,0.000628,6.214589234966031,0.0,0.0,0.0
3500,0.5,-0.0,0.0,6.759462,0.000967,6.760110715920208,0.0,0.0,0.0
3500,0.5,-0.0,0.05,6.764058,0.000952,6.764705984406525,0.0,0.0,0.0
3500,0.5,-0.0,0.1,6.768497,0.000937,6.769150722874913,0.0,0.0,0.0
3500,0.5,-0.0,0.15,6.77278,0.000922,6.77342981076662,0.0,0.0,0.0
3500,0.5,-0.0,0.2,6.776909,0.000907,6.777558436457165,0.0,0.0,0.0
3500,0.5,-0.0,0.25,6.780885,0.000892,6.781536532311374,0.0,0.0,0.0
3500,0.5,-0.0,0.3,6.784708,0.000877,6.785353995282052,0.0,0.0,0.0
3500,0.5,-0.0,0.4,6.791901,0.000847,6.792552520643178,0.0,0.0,0.0
3500,0.5,-0.0,0.6,6.804511,0.000788,6.805158133395295,0.0,0.0,0.0
3500,0.5,-0.0,0.8,6.814815,0.000731,6.81546071402446,0.0,0.0,0.0
3500,0.5,-0.0,1.0,6.822895,0.000674,6.823540480110761,0.0,0.0,0.0
3500,0.5,-0.0,1.25,6.829996,0.000606,6.830640915134103,0.0,0.0,0.0
3500,0.5,-0.0,1.5,6.833925,0.000539,6.834570280386549,0.0,0.0,0.0
3500,1.0,-2.0,0.0,5.024583,0.000573,5.024738092930702,0.0,0.0,0.0
3500,1.0,-2.0,0.05,5.024573,0.000571,5.024722939714647,0.0,0.0,0.0
3500,1.0,-2.0,0.1,5.024531,0.000569,5.0246826986351385,0.0,0.0,0.0
3500,1.0,-2.0,0.15,5.024458,0.000567,5.024607384795792,0.0,0.0,0.0
3500,1.0,-2.0,0.2,5.024354,0.000565,5.024501915275303,0.0,0.0,0.0
3500,1.0,-2.0,0.25,5.024218,0.000563,5.02436634032383,0.0,0.0,0.0
3500,1.0,-2.0,0.3,5.024053,0.000561,5.024200659943041,0.0,0.0,0.0
3500,1.0,-2.0,0.4,5.023629,0.000557,5.023773965328883,0.0,0.0,0.0
3500,1.0,-2.0,0.6,5.02242,0.00055,5.022559260802971,0.0,0.0,0.0
3500,1.0,-2.0,0.8,5.020738,0.000542,5.020867937428143,0.0,0.0,0.0
3500,1.0,-2.0,1.0,5.018597,0.000535,5.018725032934788,0.0,0.0,0.0
3500,1.0,-2.0,1.25,5.015295,0.000526,5.015412934525974,0.0,0.0,0.0
3500,1.0,-2.0,1.5,5.011325,0.000517,5.011433449855394,0.0,0.0,0.0
3500,1.0,-1.5,0.0,5.27402,0.000693,5.274243654594202,0.0,0.0,0.0
3500,1.0,-1.5,0.05,5.275143,0.000689,5.27536743518675,0.0,0.0,0.0
3500,1.0,-1.5,0.1,5.276211,0.000685,5.276430951939419,0.0,0.0,0.0
3500,1.0,-1.5,0.15,5.277223,0.00068,5.277439275187084,0.0,0.0,0.0
3500,1.0,-1.5,0.2,5.27818,0.000676,5.278397475305007,0.0,0.0,0.0
3500,1.0,-1.5,0.25,5.279082,0.000672,5.279295411571131,0.0,0.0,0.0
3500,1.0,-1.5,0.3,5.279928,0.000668,5.280143224737427,0.0,0.0,0.0
3500,1.0,-1.5,0.4,5.281458,0.00066,5.2816681474647105,0.0,0.0,0.0
3500,1.0,-1.5,0.6,5.283872,0.000645,5.284080812124623,0.0,0.0,0.0
3500,1.0,-1.5,0.8,5.285439,0.000629,5.2856404872519045,0.0,0.0,0.0
3500,1.0,-1.5,1.0,5.286181,0.000613,5.286377278713207,0.0,0.0,0.0
3500,1.0,-1.5,1.25,5.285982,0.000594,5.286170553513285,0.0,0.0,0.0
3500,1.0,-1.5,1.5,5.284577,0.000576,5.28475459195669,0.0,0.0,0.0
3500,1.0,-1.0,0.0,5.721966,0.000836,5.722312621990968,0.0,0.0,0.0
3500,1.0,-1.0,0.05,5.724572,0.000828,5.724916413220491,0.0,0.0,0.0
3500,1.0,-1.0,0.1,5.727084,0.00082,5.727424812460486,0.0,0.0,0.0
3500,1.0,-1.0,0.15,5.729502,0.000812,5.729842894555742,0.0,0.0,0.0
