teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,5.578795,0.000425,5.579004074729167,0.0,0.0,0.0
3500,0.5,-2.0,0.05,5.568073,0.000425,5.568281289271873,0.0,0.0,0.0
3500,0.5,-2.0,0.1,5.557424,0.000426,5.5576288063271635,0.0,0.0,0.0
3500,0.5,-2.0,0.15,5.54685,0.000427,5.547056549778496,0.0,0.0,0.0
3500,0.5,-2.0,0.2,5.536352,0.000427,5.53655454014744,0.0,0.0,0.0
3500,0.5,-2.0,0.25,5.525932,0.000428,5.526132867841172,0.0,0.0,0.0
3500,0.5,-2.0,0.3,5.515591,0.000428,5.515791422220999,0.0,0.0,0.0
3500,0.5,-2.0,0.4,5.495153,0.00043,5.495349377101476,0.0,0.0,0.0
3500,0.5,-2.0,0.6,5.45528,0.000431,5.455468920788139,0.0,0.0,0.0
3500,0.5,-2.0,0.8,5.416799,0.000433,5.416983307154685,0.0,0.0,0.0
3500,0.5,-2.0,1.0,5.379758,0.000434,5.379932784917802,0.0,0.0,0.0
3500,0.5,-2.0,1.25,5.335531,0.000435,5.3356969485178345,0.0,0.0,0.0
3500,0.5,-2.0,1.5,5.293633,0.000436,5.293784262969197,0.0,0.0,0.0
3500,0.5,-1.5,0.0,5.538842,0.00041,5.5390574245780995,0.0,0.0,0.0
3500,0.5,-1.5,0.05,5.528684,0.000411,5.528896667795851,0.0,0.0,0.0
3500,0.5,-1.5,0.1,5.518586,0.000413,5.518801140104157,0.0,0.0,0.0
3500,0.5,-1.5,0.15,5.50855,0.000414,5.508760806346725,0.0,0.0,0.0
3500,0.5,-1.5,0.2,5.498577,0.000415,5.498780684093598,0.0,0.0,0.0
3500,0.5,-1.5,0.25,5.488669,0.000416,5.488870808489253,0.0,0.0,0.0
3500,0.5,-1.5,0.3,5.478826,0.000417,5.479026161952732,0.0,0.0,0.0
3500,0.5,-1.5,0.4,5.459345,0.00042,5.459542591208428,0.0,0.0,0.0
3500,0.5,-1.5,0.6,5.421235,0.000424,5.421428498521542,0.0,0.0,0.0
3500,0.5,-1.5,0.8,5.384322,0.000427,5.384503525281437,0.0,0.0,0.0
3500,0.5,-1.5,1.0,5.348666,0.00043,5.348832954102979,0.0,0.0,0.0
3500,0.5,-1.5,1.25,5.305932,0.000433,5.306087455502724,0.0,0.0,0.0
3500,0.5,-1.5,1.5,5.265293,0.000435,5.265434296955541,0.0,0.0,0.0
3500,0.5,-1.0,0.0,5.597302,0.000386,5.597532252466806,0.0,0.0,0.0
3500,0.5,-1.0,0.05,5.586669,0.000389,5.586894880117879,0.0,0.0,0.0
3500,0.5,-1.0,0.1,5.57609,0.000391,5.576312757290445,0.0,0.0,0.0
3500,0.5,-1.0,0.15,5.565568,0.000394,5.565790789921913,0.0,0.0,0.0
3500,0.5,-1.0,0.2,5.555103,0.000396,5.555324016303598,0.0,0.0,0.0
3500,0.5,-1.0,0.25,5.544698,0.000399,5.544912436432433,0.0,0.0,0.0
3500,0.5,-1.0,0.3,5.534353,0.000401,5.534566140802605,0.0,0.0,0.0
3500,0.5,-1.0,0.4,5.513854,0.000406,5.514064107735377,0.0,0.0,0.0
3500,0.5,-1.0,0.6,5.473653,0.000414,5.473852768576946,0.0,0.0,0.0
3500,0.5,-1.0,0.8,5.434589,0.000421,5.434775408415239,0.0,0.0,0.0
3500,0.5,-1.0,1.0,5.396737,0.000427,5.396912308123272,0.0,0.0,0.0
3500,0.5,-1.0,1.25,5.351217,0.000434,5.351372113514585,0.0,0.0,0.0
3500,0.5,-1.0,1.5,5.307776,0.000439,5.307914276371604,0.0,0.0,0.0
3500,0.5,-0.5,0.0,5.782543,0.000345,5.782788364563118,0.0,0.0,0.0
3500,0.5,-0.5,0.05,5.770068,0.00035,5.770309648909869,0.0,0.0,0.0
3500,0.5,-0.5,0.1,5.757653,0.000356,5.757891144188444,0.0,0.0,0.0
3500,0.5,-0.5,0.15,5.7453,0.000361,5.745537867976907,0.0,0.0,0.0
3500,0.5,-0.5,0.2,5.733011,0.000365,5.733239727785615,0.0,0.0,0.0
3500,0.5,-0.5,0.25,5.720788,0.00037,5.721016908715565,0.0,0.0,0.0
3500,0.5,-0.5,0.3,5.708632,0.000374,5.708854243486694,0.0,0.0,0.0
3500,0.5,-0.5,0.4,5.684532,0.000383,5.684749744016169,0.0,0.0,0.0
3500,0.5,-0.5,0.6,5.637223,0.000398,5.637423727395175,0.0,0.0,0.0
3500,0.5,-0.5,0.8,5.59119,0.000412,5.591377084893418,0.0,0.0,0.0
3500,0.5,-0.5,1.0,5.546524,0.000424,5.546695173314669,0.0,0.0,0.0
3500,0.5,-0.5,1.25,5.492735,0.000436,5.4928861868222105,0.0,0.0,0.0
3500,0.5,-0.5,1.5,5.441331,0.000446,5.441460395252508,0.0,0.0,0.0
3500,0.5,-0.0,0.0,6.197131,0.000319,6.197359900734786,0.0,0.0,0.0
3500,0.5,-0.0,0.05,6.180473,0.000328,6.180696562288468,0.0,0.0,0.0
3500,0.5,-0.0,0.1,6.163915,0.000335,6.164133575213521,0.0,0.0,0.0
3500,0.5,-0.0,0.15,6.147459,0.000343,6.147675957098645,0.0,0.0,0.0
3500,0.5,-0.0,0.2,6.131107,0.00035,6.131318629046363,0.0,0.0,0.0
3500,0.5,-0.0,0.25,6.114862,0.000358,6.1150717490230875,0.0,0.0,0.0
3500,0.5,-0.0,0.3,6.098725,0.000364,6.098930176976923,0.0,0.0,0.0
3500,0.5,-0.0,0.4,6.066784,0.000378,6.066983211102631,0.0,0.0,0.0
3500,0.5,-0.0,0.6,6.004288,0.000401,6.004468995230454,0.0,0.0,0.0
3500,0.5,-0.0,0.8,5.943731,0.000422,5.943891391401377,0.0,0.0,0.0
3500,0.5,-0.0,1.0,5.885206,0.000439,5.885350815324548,0.0,0.0,0.0
3500,0.5,-0.0,1.25,5.815025,0.000457,5.815144189513239,0.0,0.0,0.0
3500,0.5,-0.0,1.5,5.748252,0.000472,5.748344344577463,0.0,0.0,0.0
3500,1.0,-2.0,0.0,5.510666,0.000419,5.51084844833414,0.0,0.0,0.0
3500,1.0,-2.0,0.05,5.500531,0.00042,5.500712780580465,0.0,0.0,0.0
3500,1.0,-2.0,0.1,5.49046,0.00042,5.49064228700587,0.0,0.0,0.0
3500,1.0,-2.0,0.15,5.480455,0.00042,5.48063702271256,0.0,0.0,0.0
3500,1.0,-2.0,0.2,5.470518,0.00042,5.470696987692959,0.0,0.0,0.0
3500,1.0,-2.0,0.25,5.460649,0.000421,5.460827199513654,0.0,0.0,0.0
3500,1.0,-2.0,0.3,5.45085,0.000421,5.451027658166455,0.0,0.0,0.0
3500,1.0,-2.0,0.4,5.431469,0.000421,5.43164433350817,0.0,0.0,0.0
3500,1.0,-2.0,0.6,5.393604,0.000422,5.393770875473166,0.0,0.0,0.0
3500,1.0,-2.0,0.8,5.356992,0.000422,5.3571518219372845,0.0,0.0,0.0
