teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,28.138397,0.017031,28.131387849393025,0.0,0.0,0.0
3500,0.5,-2.0,0.05,28.090607,0.01708,28.083536291280286,0.0,0.0,0.0
3500,0.5,-2.0,0.1,28.042767,0.017129,28.03563981498915,0.0,0.0,0.0
3500,0.5,-2.0,0.15,27.994877,0.01718,27.987683362403356,0.0,0.0,0.0
3500,0.5,-2.0,0.2,27.946937,0.017231,27.939687007549097,0.0,0.0,0.0
3500,0.5,-2.0,0.25,27.898944,0.017283,27.89164043218503,0.0,0.0,0.0
3500,0.5,-2.0,0.3,27.8509,0.017336,27.84353917440853,0.0,0.0,0.0
3500,0.5,-2.0,0.4,27.754654,0.017445,27.74719128762585,0.0,0.0,0.0
3500,0.5,-2.0,0.6,27.561544,0.017673,27.553876067973583,0.0,0.0,0.0
3500,0.5,-2.0,0.8,27.367639,0.017916,27.359786427922348,0.0,0.0,0.0
3500,0.5,-2.0,1.0,27.173,0.018174,27.16498250313591,0.41667,0.0,0.0
3500,0.5,-2.0,1.25,26.928794,0.018517,26.920583586945572,0.83333,0.0,0.0
3500,0.5,-2.0,1.5,26.683757,0.018883,26.67538682229131,2.91667,0.0,0.0
3500,0.5,-1.5,0.0,30.430803,0.021376,30.418488450950456,1.66667,0.0,0.0
3500,0.5,-1.5,0.05,30.372024,0.021447,30.35963373838448,2.5,0.0,0.0
3500,0.5,-1.5,0.1,30.313105,0.021519,30.300638736837115,2.5,0.0,0.0
3500,0.5,-1.5,0.15,30.254051,0.021592,30.24150876597855,2.91667,0.0,0.0
3500,0.5,-1.5,0.2,30.194865,0.021667,30.1822482373372,2.91667,0.0,0.0
3500,0.5,-1.5,0.25,30.135549,0.021742,30.122867791644662,3.33333,0.0,0.0
3500,0.5,-1.5,0.3,30.076106,0.021819,30.06334704785855,3.75,0.0,0.0
3500,0.5,-1.5,0.4,29.956855,0.021975,29.943964964241168,3.75,0.0,0.0
3500,0.5,-1.5,0.6,29.716978,0.022302,29.70383363521433,4.58333,0.0,0.0
