teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,9.236446,0.001405,9.236933739108338,0.0,0.0,0.0
3500,0.5,-2.0,0.05,9.221758,0.001392,9.222240060441605,0.0,0.0,0.0
3500,0.5,-2.0,0.1,9.206903,0.001379,9.207380895601345,0.0,0.0,0.0
3500,0.5,-2.0,0.15,9.191884,0.001366,9.192361170008041,0.0,0.0,0.0
3500,0.5,-2.0,0.2,9.176708,0.001353,9.177180883752936,0.0,0.0,0.0
3500,0.5,-2.0,0.25,9.16138,0.001341,9.161850072323709,0.0,0.0,0.0
3500,0.5,-2.0,0.3,9.145906,0.001328,9.146373753503578,0.0,0.0,0.0
3500,0.5,-2.0,0.4,9.11454,0.001303,9.115004664802777,0.0,0.0,0.0
3500,0.5,-2.0,0.6,9.050292,0.001256,9.050741361758746,0.0,0.0,0.0
3500,0.5,-2.0,0.8,8.984307,0.00121,8.984747141387945,0.0,0.0,0.0
3500,0.5,-2.0,1.0,8.916918,0.001167,8.91734322647029,0.0,0.0,0.0
3500,0.5,-2.0,1.25,8.831193,0.001116,8.83160840643479,0.0,0.0,0.0
3500,0.5,-2.0,1.5,8.744366,0.001069,8.744770196768323,0.0,0.0,0.0
3500,0.5,-1.5,0.0,9.102188,0.001414,9.102665766152175,0.0,0.0,0.0
3500,0.5,-1.5,0.05,9.087303,0.001399,9.087781357781491,0.0,0.0,0.0
3500,0.5,-1.5,0.1,9.072219,0.001385,9.072696247724616,0.0,0.0,0.0
3500,0.5,-1.5,0.15,9.056943,0.00137,9.05741554438451,0.0,0.0,0.0
3500,0.5,-1.5,0.2,9.04148,0.001356,9.041944084268213,0.0,0.0,0.0
3500,0.5,-1.5,0.25,9.025838,0.001341,9.026302029009026,0.0,0.0,0.0
3500,0.5,-1.5,0.3,9.010022,0.001327,9.010479343325768,0.0,0.0,0.0
3500,0.5,-1.5,0.4,8.977895,0.0013,8.978347365544082,0.0,0.0,0.0
3500,0.5,-1.5,0.6,8.911832,0.001246,8.912272192749555,0.0,0.0,0.0
3500,0.5,-1.5,0.8,8.843681,0.001195,8.844104929625924,0.0,0.0,0.0
3500,0.5,-1.5,1.0,8.773822,0.001147,8.774236956107222,0.0,0.0,0.0
3500,0.5,-1.5,1.25,8.684652,0.00109,8.685049559268316,0.0,0.0,0.0
3500,0.5,-1.5,1.5,8.594061,0.001038,8.594447776658837,0.0,0.0,0.0
3500,0.5,-1.0,0.0,9.144156,0.001464,9.144629905389321,0.0,0.0,0.0
3500,0.5,-1.0,0.05,9.128135,0.001447,9.128606277101605,0.0,0.0,0.0
3500,0.5,-1.0,0.1,9.111892,0.00143,9.112356768484473,0.0,0.0,0.0
3500,0.5,-1.0,0.15,9.095434,0.001414,9.095896615216365,0.0,0.0,0.0
3500,0.5,-1.0,0.2,9.078768,0.001398,9.079225726151915,0.0,0.0,0.0
3500,0.5,-1.0,0.25,9.061902,0.001382,9.062359154531048,0.0,0.0,0.0
3500,0.5,-1.0,0.3,9.044842,0.001366,9.045291882791524,0.0,0.0,0.0
3500,0.5,-1.0,0.4,9.010172,0.001335,9.01061545184652,0.0,0.0,0.0
3500,0.5,-1.0,0.6,8.938824,0.001274,8.939255877853176,0.0,0.0,0.0
3500,0.5,-1.0,0.8,8.865176,0.001217,8.865593401810793,0.0,0.0,0.0
3500,0.5,-1.0,1.0,8.789663,0.001164,8.790064741679295,0.0,0.0,0.0
3500,0.5,-1.0,1.25,8.693284,0.001101,8.69367123008337,0.0,0.0,0.0
3500,0.5,-1.0,1.5,8.59542,0.001044,8.59579302829768,0.0,0.0,0.0
3500,0.5,-0.5,0.0,9.196658,0.001499,9.19715052918251,0.0,0.0,0.0
3500,0.5,-0.5,0.05,9.179436,0.001481,9.179927464256764,0.0,0.0,0.0
3500,0.5,-0.5,0.1,9.161996,0.001464,9.162478611248531,0.0,0.0,0.0
3500,0.5,-0.5,0.15,9.144345,0.001446,9.144824041139898,0.0,0.0,0.0
3500,0.5,-0.5,0.2,9.12649,0.001429,9.126963845359157,0.0,0.0,0.0
3500,0.5,-0.5,0.25,9.108441,0.001412,9.10890787673265,0.0,0.0,0.0
3500,0.5,-0.5,0.3,9.090205,0.001396,9.09067137086963,0.0,0.0,0.0
3500,0.5,-0.5,0.4,9.053202,0.001363,9.05365647413032,0.0,0.0,0.0
