teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,10.708224,0.002267,10.71118812347518,0.0,0.0,0.0
3500,0.5,-2.0,0.05,10.694955,0.002269,10.697925710316637,0.0,0.0,0.0
3500,0.5,-2.0,0.1,10.682181,0.002271,10.685160164983657,0.0,0.0,0.0
3500,0.5,-2.0,0.15,10.669893,0.002273,10.67288134475923,0.0,0.0,0.0
3500,0.5,-2.0,0.2,10.658082,0.002275,10.66107932066408,0.0,0.0,0.0
3500,0.5,-2.0,0.25,10.646739,0.002278,10.649743950257996,0.0,0.0,0.0
3500,0.5,-2.0,0.3,10.635853,0.002281,10.638875233512678,0.0,0.0,0.0
3500,0.5,-2.0,0.4,10.615412,0.002287,10.618457688856921,0.0,0.0,0.0
3500,0.5,-2.0,0.6,10.579564,0.002301,10.582670908111284,0.0,0.0,0.0
3500,0.5,-2.0,0.8,10.54985,0.002318,10.553021395496922,0.0,0.0,0.0
3500,0.5,-2.0,1.0,10.525561,0.002337,10.528811676472916,0.0,0.0,0.0
3500,0.5,-2.0,1.25,10.501753,0.002363,10.505104465771534,0.0,0.0,0.0
3500,0.5,-2.0,1.5,10.483975,0.002391,10.487439177071629,0.0,0.0,0.0
3500,0.5,-1.5,0.0,10.370513,0.00242,10.37451866267752,0.0,0.0,0.0
3500,0.5,-1.5,0.05,10.358438,0.002426,10.362461147403982,0.0,0.0,0.0
3500,0.5,-1.5,0.1,10.346928,0.002433,10.350965519383177,0.0,0.0,0.0
3500,0.5,-1.5,0.15,10.335972,0.00244,10.340032089198925,0.0,0.0,0.0
3500,0.5,-1.5,0.2,10.325558,0.002448,10.329640475218241,0.0,0.0,0.0
3500,0.5,-1.5,0.25,10.315675,0.002455,10.31977593406131,0.0,0.0,0.0
3500,0.5,-1.5,0.3,10.30631,0.002463,10.310433138086086,0.0,0.0,0.0
3500,0.5,-1.5,0.4,10.289089,0.00248,10.293258205018695,0.0,0.0,0.0
3500,0.5,-1.5,0.6,10.260323,0.002516,10.26459398867964,0.0,0.0,0.0
3500,0.5,-1.5,0.8,10.23843,0.002554,10.2428196864915,0.0,0.0,0.0
3500,0.5,-1.5,1.0,10.222567,0.002594,10.227077259868167,0.0,0.0,0.0
3500,0.5,-1.5,1.25,10.209933,0.002646,10.214607747257801,0.0,0.0,0.0
3500,0.5,-1.5,1.5,10.20381,0.0027,10.208661859173828,0.0,0.0,0.0
3500,0.5,-1.0,0.0,10.266726,0.002694,10.272219538950878,0.0,0.0,0.0
3500,0.5,-1.0,0.05,10.255709,0.002707,10.261246452577083,0.0,0.0,0.0
3500,0.5,-1.0,0.1,10.245329,0.00272,10.250910726430574,0.0,0.0,0.0
3500,0.5,-1.0,0.15,10.235572,0.002734,10.241202222370871,0.0,0.0,0.0
3500,0.5,-1.0,0.2,10.226425,0.002748,10.232100971727602,0.0,0.0,0.0
3500,0.5,-1.0,0.25,10.217873,0.002762,10.223596938824478,0.0,0.0,0.0
3500,0.5,-1.0,0.3,10.209901,0.002776,10.215674865895894,0.0,0.0,0.0
3500,0.5,-1.0,0.4,10.19564,0.002806,10.20151700018289,0.0,0.0,0.0
3500,0.5,-1.0,0.6,10.173426,0.002868,10.179519265948768,0.0,0.0,0.0
3500,0.5,-1.0,0.8,10.158794,0.002932,10.1651139477834,0.0,0.0,0.0
3500,0.5,-1.0,1.0,10.150744,0.002998,10.157297495935776,0.0,0.0,0.0
3500,0.5,-1.0,1.25,10.14843,0.003082,10.15528866712199,0.0,0.0,0.0
3500,0.5,-1.0,1.5,10.152994,0.003166,10.160154744266029,0.0,0.0,0.0
3500,0.5,-0.5,0.0,10.200257,0.002981,10.20816747099025,0.0,0.0,0.0
3500,0.5,-0.5,0.05,10.188488,0.003,10.196487454103767,0.0,0.0,0.0
3500,0.5,-0.5,0.1,10.177408,0.003019,10.185504908705973,0.0,0.0,0.0
3500,0.5,-0.5,0.15,10.167002,0.003038,10.175194746066309,0.0,0.0,0.0
3500,0.5,-0.5,0.2,10.157253,0.003058,10.165537098571042,0.0,0.0,0.0
3500,0.5,-0.5,0.25,10.148146,0.003077,10.156526643429512,0.0,0.0,0.0
3500,0.5,-0.5,0.3,10.139664,0.003097,10.14813859663445,0.0,0.0,0.0
3500,0.5,-0.5,0.4,10.124509,0.003138,10.1331839590977,0.0,0.0,0.0
3500,0.5,-0.5,0.6,10.100964,0.003222,10.110039169972792,0.0,0.0,0.0
3500,0.5,-0.5,0.8,10.085519,0.003308,10.09500866058701,0.0,0.0,0.0
3500,0.5,-0.5,1.0,10.077073,0.003395,10.086983610202475,0.0,0.0,0.0
3500,0.5,-0.5,1.25,10.074709,0.003505,10.085142927170372,0.0,0.0,0.0
3500,0.5,-0.5,1.5,10.079569,0.003614,10.090533238055933,0.0,0.0,0.0
3500,0.5,-0.0,0.0,10.053108,0.003097,10.06463755516823,0.0,0.0,0.0
3500,0.5,-0.0,0.05,10.037507,0.003117,10.04918904074881,0.0,0.0,0.0
3500,0.5,-0.0,0.1,10.022589,0.003137,10.034422943939553,0.0,0.0,0.0
3500,0.5,-0.0,0.15,10.008337,0.003157,10.020324211586539,0.0,0.0,0.0
3500,0.5,-0.0,0.2,9.994736,0.003177,10.006877890603953,0.0,0.0,0.0
3500,0.5,-0.0,0.25,9.98177,0.003197,9.99406390962968,0.0,0.0,0.0
3500,0.5,-0.0,0.3,9.969421,0.003218,9.98187213311976,0.0,0.0,0.0
3500,0.5,-0.0,0.4,9.94651,0.00326,9.959280027056515,0.0,0.0,0.0
3500,0.5,-0.0,0.6,9.907365,0.003345,9.920774879680298,0.0,0.0,0.0
3500,0.5,-0.0,0.8,9.876214,0.003431,9.890273693244186,0.0,0.0,0.0
3500,0.5,-0.0,1.0,9.85198,0.003518,9.866692235440699,0.0,0.0,0.0
3500,0.5,-0.0,1.25,9.829825,0.003626,9.845350858760662,0.0,0.0,0.0
3500,0.5,-0.0,1.5,9.814919,0.003731,9.831255385376588,0.0,0.0,0.0
3500,1.0,-2.0,0.0,10.168939,0.002078,10.171610429274232,0.0,0.0,0.0
3500,1.0,-2.0,0.05,10.157402,0.002079,10.160074301329628,0.0,0.0,0.0
3500,1.0,-2.0,0.1,10.146326,0.002082,10.148999807684678,0.0,0.0,0.0
3500,1.0,-2.0,0.15,10.135705,0.002084,10.138382031931538,0.0,0.0,0.0
3500,1.0,-2.0,0.2,10.125529,0.002086,10.128205819166686,0.0,0.0,0.0
3500,1.0,-2.0,0.25,10.11579,0.002089,10.118471270554661,0.0,0.0,0.0
3500,1.0,-2.0,0.3,10.106481,0.002092,10.109168148081183,0.0,0.0,0.0
3500,1.0,-2.0,0.4,10.089112,0.002098,10.091806610524722,0.0,0.0,0.0
3500,1.0,-2.0,0.6,10.059115,0.002113,10.061835854605244,0.0,0.0,0.0
3500,1.0,-2.0,0.8,10.034912,0.00213,10.037676060450083,0.0,0.0,0.0
3500,1.0,-2.0,1.0,10.015852,0.00215,10.018664882422884,0.0,0.0,0.0
3500,1.0,-2.0,1.25,9.998249,0.002176,10.001134738907552,0.0,0.0,0.0
3500,1.0,-2.0,1.5,9.98637,0.002204,9.989340287052341,0.0,0.0,0.0
3500,1.0,-1.5,0.0,9.997696,0.00233,10.001542327576182,0.0,0.0,0.0
3500,1.0,-1.5,0.05,9.988195,0.002338,9.992049013445023,0.0,0.0,0.0
3500,1.0,-1.5,0.1,9.979232,0.002345,9.983097717378751,0.0,0.0,0.0
3500,1.0,-1.5,0.15,9.970794,0.002353,9.974668368106112,0.0,0.0,0.0
3500,1.0,-1.5,0.2,9.96287,0.002362,9.96676076610422,0.0,0.0,0.0
3500,1.0,-1.5,0.25,9.95545,0.00237,9.959355139404146,0.0,0.0,0.0
3500,1.0,-1.5,0.3,9.948521,0.002379,9.952441253054088,0.0,0.0,0.0
3500,1.0,-1.5,0.4,9.936089,0.002397,9.940043641250229,0.0,0.0,0.0
3500,1.0,-1.5,0.6,9.916579,0.002436,9.920617818402247,0.0,0.0,0.0
3500,1.0,-1.5,0.8,9.903515,0.002478,9.907645531508022,0.0,0.0,0.0
3500,1.0,-1.5,1.0,9.896047,0.002522,9.900278484178779,0.0,0.0,0.0
3500,1.0,-1.5,1.25,9.893288,0.002579,9.897664749308936,0.0,0.0,0.0
3500,1.0,-1.5,1.5,9.896329,0.002638,9.900857077394987,0.0,0.0,0.0
3500,1.0,-1.0,0.0,9.876154,0.00254,9.881428486730337,0.0,0.0,0.0
3500,1.0,-1.0,0.05,9.867126,0.002552,9.872432406507219,0.0,0.0,0.0
3500,1.0,-1.0,0.1,9.858686,0.002565,9.864028521003103,0.0,0.0,0.0
3500,1.0,-1.0,0.15,9.850822,0.002578,9.85620177679747,0.0,0.0,0.0
3500,1.0,-1.0,0.2,9.84352,0.002591,9.848942039779415,0.0,0.0,0.0
3500,1.0,-1.0,0.25,9.836768,0.002605,9.842229239010626,0.0,0.0,0.0
3500,1.0,-1.0,0.3,9.83055,0.002619,9.836053437467513,0.0,0.0,0.0
3500,1.0,-1.0,0.4,9.819663,0.002647,9.825257538230353,0.0,0.0,0.0
3500,1.0,-1.0,0.6,9.80367,0.002707,9.809441582823357,0.0,0.0,0.0
3500,1.0,-1.0,0.8,9.794584,0.002769,9.800555758816513,0.0,0.0,0.0
3500,1.0,-1.0,1.0,9.791429,0.002833,9.79761147453644,0.0,0.0,0.0
3500,1.0,-1.0,1.25,9.794354,0.002915,9.800805904841674,0.0,0.0,0.0
3500,1.0,-1.0,1.5,9.803213,0.002997,9.809941705049791,0.0,0.0,0.0
3500,1.0,-0.5,0.0,9.802635,0.002728,9.810196408430146,0.0,0.0,0.0
3500,1.0,-0.5,0.05,9.792246,0.002744,9.79988604136307,0.0,0.0,0.0
3500,1.0,-0.5,0.1,9.782474,0.002761,9.790197877006536,0.0,0.0,0.0
3500,1.0,-0.5,0.15,9.773305,0.002777,9.781111844447135,0.0,0.0,0.0
3500,1.0,-0.5,0.2,9.764723,0.002795,9.772618103797349,0.0,0.0,0.0
3500,1.0,-0.5,0.25,9.756714,0.002812,9.764691272906335,0.0,0.0,0.0
3500,1.0,-0.5,0.3,9.749261,0.00283,9.757326529606567,0.0,0.0,0.0
3500,1.0,-0.5,0.4,9.735963,0.002866,9.744202923818989,0.0,0.0,0.0
3500,1.0,-0.5,0.6,9.715347,0.00294,9.723952337762865,0.0,0.0,0.0
3500,1.0,-0.5,0.8,9.701831,0.003016,9.710807408143523,0.0,0.0,0.0
3500,1.0,-0.5,1.0,9.694364,0.003094,9.703724348607718,0.0,0.0,0.0
3500,1.0,-0.5,1.25,9.691972,0.003191,9.701816864085224,0.0,0.0,0.0
3500,1.0,-0.5,1.5,9.695511,0.003288,9.705840618955461,0.0,0.0,0.0
3500,1.0,-0.0,0.0,9.651036,0.002749,9.661960683144942,0.0,0.0,0.0
3500,1.0,-0.0,0.05,9.636054,0.002765,9.647118862505524,0.0,0.0,0.0
3500,1.0,-0.0,0.1,9.621656,0.002781,9.63286421614978,0.0,0.0,0.0
3500,1.0,-0.0,0.15,9.607829,0.002797,9.619181690464957,0.0,0.0,0.0
3500,1.0,-0.0,0.2,9.594557,0.002813,9.606051021951618,0.0,0.0,0.0
3500,1.0,-0.0,0.25,9.581825,0.00283,9.593467385253417,0.0,0.0,0.0
3500,1.0,-0.0,0.3,9.569618,0.002846,9.581410709026244,0.0,0.0,0.0
3500,1.0,-0.0,0.4,9.546717,0.00288,9.558802683724403,0.0,0.0,0.0
3500,1.0,-0.0,0.6,9.506525,0.002949,9.519212017273516,0.0,0.0,0.0
3500,1.0,-0.0,0.8,9.472975,0.003019,9.486280202126483,0.0,0.0,0.0
3500,1.0,-0.0,1.0,9.445074,0.003089,9.458993746415384,0.0,0.0,0.0
3500,1.0,-0.0,1.25,9.416681,0.003176,9.431377500518275,0.0,0.0,0.0
3500,1.0,-0.0,1.5,9.393862,0.003262,9.409331066066274,0.0,0.0,0.0
3500,1.5,-2.0,0.0,9.709671,0.001874,9.711905390323562,0.0,0.0,0.0
3500,1.5,-2.0,0.05,9.69918,0.001876,9.701407993286274,0.0,0.0,0.0
3500,1.5,-2.0,0.1,9.689103,0.001877,9.691327069031768,0.0,0.0,0.0
3500,1.5,-2.0,0.15,9.679432,0.001879,9.681652582049313,0.0,0.0,0.0
3500,1.5,-2.0,0.2,9.670163,0.001881,9.67237961129542,0.0,0.0,0.0
3500,1.5,-2.0,0.25,9.661287,0.001883,9.663498120994701,0.0,0.0,0.0
3500,1.5,-2.0,0.3,9.652798,0.001885,9.655007917757418,0.0,0.0,0.0
3500,1.5,-2.0,0.4,9.636953,0.00189,9.63916682760673,0.0,0.0,0.0
3500,1.5,-2.0,0.6,9.609574,0.001903,9.61179005818832,0.0,0.0,0.0
3500,1.5,-2.0,0.8,9.587504,0.001917,9.589742604268178,0.0,0.0,0.0
3500,1.5,-2.0,1.0,9.570185,0.001933,9.572452345580912,0.0,0.0,0.0
3500,1.5,-2.0,1.25,9.554343,0.001955,9.556653020819647,0.0,0.0,0.0
3500,1.5,-2.0,1.5,9.543908,0.001978,9.54627824834445,0.0,0.0,0.0
