teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,11.270369,0.001822,11.271192649222705,0.0,0.0,0.0
3500,0.5,-2.0,0.05,11.26288,0.001818,11.263705240765553,0.0,0.0,0.0
3500,0.5,-2.0,0.1,11.256075,0.001813,11.25689534442323,0.0,0.0,0.0
3500,0.5,-2.0,0.15,11.249947,0.001808,11.2507628473342,0.0,0.0,0.0
3500,0.5,-2.0,0.2,11.24449,0.001804,11.24530273159152,0.0,0.0,0.0
3500,0.5,-2.0,0.25,11.239696,0.001799,11.240504961524971,0.0,0.0,0.0
3500,0.5,-2.0,0.3,11.235557,0.001794,11.23636964936607,0.0,0.0,0.0
3500,0.5,-2.0,0.4,11.229213,0.001785,11.230015812224181,0.0,0.0,0.0
3500,0.5,-2.0,0.6,11.224012,0.001766,11.224810034031051,0.0,0.0,0.0
3500,0.5,-2.0,0.8,11.228284,0.001745,11.229072998515724,0.0,0.0,0.0
3500,0.5,-2.0,1.0,11.241358,0.001723,11.242142468550377,0.0,0.0,0.0
3500,0.5,-2.0,1.25,11.268979,0.001693,11.269758082427778,0.0,0.0,0.0
3500,0.5,-2.0,1.5,11.30774,0.00166,11.308518467519178,0.0,0.0,0.0
3500,0.5,-1.5,0.0,10.941891,0.001707,10.942740607328885,0.0,0.0,0.0
3500,0.5,-1.5,0.05,10.936089,0.001704,10.936934408307078,0.0,0.0,0.0
3500,0.5,-1.5,0.1,10.931081,0.001701,10.931921015208262,0.0,0.0,0.0
3500,0.5,-1.5,0.15,10.926859,0.001697,10.927700427889835,0.0,0.0,0.0
3500,0.5,-1.5,0.2,10.923416,0.001694,10.924252684442253,0.0,0.0,0.0
3500,0.5,-1.5,0.25,10.920742,0.00169,10.921577675423537,0.0,0.0,0.0
3500,0.5,-1.5,0.3,10.918828,0.001687,10.919660347457329,0.0,0.0,0.0
3500,0.5,-1.5,0.4,10.917241,0.001679,10.918073754649736,0.0,0.0,0.0
3500,0.5,-1.5,0.6,10.922739,0.001663,10.923556520141899,0.0,0.0,0.0
3500,0.5,-1.5,0.8,10.939191,0.001646,10.94000339942339,0.0,0.0,0.0
3500,0.5,-1.5,1.0,10.965802,0.001626,10.966606422397422,0.0,0.0,0.0
3500,0.5,-1.5,1.25,11.01204,0.001598,11.012833863164108,0.0,0.0,0.0
3500,0.5,-1.5,1.5,11.071041,0.001566,11.071836486771135,0.0,0.0,0.0
3500,0.5,-1.0,0.0,10.90824,0.00172,10.908970460265204,0.0,0.0,0.0
3500,0.5,-1.0,0.05,10.905339,0.001718,10.90606987073193,0.0,0.0,0.0
3500,0.5,-1.0,0.1,10.903357,0.001716,10.904087530463864,0.0,0.0,0.0
3500,0.5,-1.0,0.15,10.902284,0.001714,10.903018530660818,0.0,0.0,0.0
3500,0.5,-1.0,0.2,10.90211,0.001712,10.902837564393435,0.0,0.0,0.0
3500,0.5,-1.0,0.25,10.902824,0.00171,10.90354986742571,0.0,0.0,0.0
3500,0.5,-1.0,0.3,10.904414,0.001708,10.90514540421727,0.0,0.0,0.0
3500,0.5,-1.0,0.4,10.910179,0.001704,10.910905458684873,0.0,0.0,0.0
3500,0.5,-1.0,0.6,10.931685,0.001694,10.932406206770937,0.0,0.0,0.0
3500,0.5,-1.0,0.8,10.965761,0.001681,10.966476755708136,0.0,0.0,0.0
3500,0.5,-1.0,1.0,11.01145,0.001665,11.012168642919917,0.0,0.0,0.0
3500,0.5,-1.0,1.25,11.083323,0.00164,11.084033359009673,0.0,0.0,0.0
3500,0.5,-1.0,1.5,11.169617,0.001609,11.170324124735522,0.0,0.0,0.0
3500,0.5,-0.5,0.0,11.039128,0.001819,11.039778605671733,0.0,0.0,0.0
3500,0.5,-0.5,0.05,11.039823,0.001819,11.040466039048214,0.0,0.0,0.0
3500,0.5,-0.5,0.1,11.041536,0.001819,11.042177206275522,0.0,0.0,0.0
3500,0.5,-0.5,0.15,11.044255,0.001819,11.044896943693624,0.0,0.0,0.0
3500,0.5,-0.5,0.2,11.047967,0.001819,11.048605180284499,0.0,0.0,0.0
3500,0.5,-0.5,0.25,11.052661,0.001818,11.053301916077952,0.0,0.0,0.0
3500,0.5,-0.5,0.3,11.058322,0.001818,11.058957155127706,0.0,0.0,0.0
3500,0.5,-0.5,0.4,11.072488,0.001817,11.073122740696384,0.0,0.0,0.0
3500,0.5,-0.5,0.6,11.111783,0.001813,11.112408135898061,0.0,0.0,0.0
3500,0.5,-0.5,0.8,11.164829,0.001805,11.165447342158844,0.0,0.0,0.0
3500,0.5,-0.5,1.0,11.230511,0.001794,11.231121517307164,0.0,0.0,0.0
3500,0.5,-0.5,1.25,11.32856,0.001773,11.32916588153367,0.0,0.0,0.0
