teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,5.656154,0.000382,5.654697945470679,0.0,0.0,0.0
3500,0.5,-2.0,0.05,5.652869,0.000381,5.651391249750485,0.0,0.0,0.0
3500,0.5,-2.0,0.1,5.649587,0.00038,5.648089515256127,0.0,0.0,0.0
3500,0.5,-2.0,0.15,5.646309,0.000379,5.644792798535409,0.0,0.0,0.0
3500,0.5,-2.0,0.2,5.643034,0.000379,5.641496138429174,0.0,0.0,0.0
3500,0.5,-2.0,0.25,5.639763,0.000378,5.638199422071262,0.0,0.0,0.0
3500,0.5,-2.0,0.3,5.636496,0.000377,5.634912797412483,0.0,0.0,0.0
3500,0.5,-2.0,0.4,5.629977,0.000375,5.628349471069723,0.0,0.0,0.0
3500,0.5,-2.0,0.6,5.617005,0.000371,5.615283143949923,0.0,0.0,0.0
3500,0.5,-2.0,0.8,5.604137,0.000367,5.602322132474715,0.0,0.0,0.0
3500,0.5,-2.0,1.0,5.59139,0.000363,5.589481545615252,0.0,0.0,0.0
3500,0.5,-2.0,1.25,5.575658,0.000358,5.573615197879715,0.0,0.0,0.0
3500,0.5,-2.0,1.5,5.560178,0.000353,5.558009712754462,0.0,0.0,0.0
3500,0.5,-1.5,0.0,5.671469,0.000321,5.669857658618417,0.0,0.0,0.0
3500,0.5,-1.5,0.05,5.667538,0.00032,5.665903640995142,0.0,0.0,0.0
3500,0.5,-1.5,0.1,5.663609,0.000319,5.6619496236091695,0.0,0.0,0.0
3500,0.5,-1.5,0.15,5.659683,0.000318,5.657995606460444,0.0,0.0,0.0
3500,0.5,-1.5,0.2,5.65576,0.000317,5.654041589548964,0.0,0.0,0.0
3500,0.5,-1.5,0.25,5.65184,0.000316,5.650097608019434,0.0,0.0,0.0
3500,0.5,-1.5,0.3,5.647925,0.000315,5.646158587835894,0.0,0.0,0.0
3500,0.5,-1.5,0.4,5.640107,0.000313,5.638280661182579,0.0,0.0,0.0
3500,0.5,-1.5,0.6,5.624534,0.000309,5.622600018054015,0.0,0.0,0.0
3500,0.5,-1.5,0.8,5.609068,0.000305,5.607019674342657,0.0,0.0,0.0
3500,0.5,-1.5,1.0,5.593731,0.0003,5.591564830157007,0.0,0.0,0.0
3500,0.5,-1.5,1.25,5.574777,0.000295,5.5724569766823455,0.0,0.0,0.0
3500,0.5,-1.5,1.5,5.556104,0.00029,5.553625040416703,0.0,0.0,0.0
3500,0.5,-1.0,0.0,5.819471,0.000239,5.817588261350393,0.0,0.0,0.0
3500,0.5,-1.0,0.05,5.813923,0.000238,5.812003471680347,0.0,0.0,0.0
3500,0.5,-1.0,0.1,5.808379,0.000237,5.806428717599472,0.0,0.0,0.0
3500,0.5,-1.0,0.15,5.802839,0.000237,5.800858981535444,0.0,0.0,0.0
3500,0.5,-1.0,0.2,5.797305,0.000236,5.795289245917165,0.0,0.0,0.0
3500,0.5,-1.0,0.25,5.791776,0.000235,5.7897295458856615,0.0,0.0,0.0
3500,0.5,-1.0,0.3,5.786254,0.000234,5.784169846298848,0.0,0.0,0.0
3500,0.5,-1.0,0.4,5.77523,0.000233,5.773080553879586,0.0,0.0,0.0
3500,0.5,-1.0,0.6,5.753279,0.00023,5.750987215528842,0.0,0.0,0.0
3500,0.5,-1.0,0.8,5.731484,0.000227,5.729049429306675,0.0,0.0,0.0
3500,0.5,-1.0,1.0,5.709875,0.000225,5.707292225896766,0.0,0.0,0.0
3500,0.5,-1.0,1.25,5.683171,0.000222,5.6803968150268975,0.0,0.0,0.0
3500,0.5,-1.0,1.5,5.656858,0.00022,5.653892729534259,0.0,0.0,0.0
