teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,5.804368,0.000635,5.8034731778654125,0.0,0.0,0.0
3500,0.5,-2.0,0.05,5.801981,0.000635,5.801079728126206,0.0,0.0,0.0
3500,0.5,-2.0,0.1,5.799588,0.000635,5.798686278434907,0.0,0.0,0.0
3500,0.5,-2.0,0.15,5.797189,0.000634,5.796282793606204,0.0,0.0,0.0
3500,0.5,-2.0,0.2,5.794784,0.000634,5.793879250885151,0.0,0.0,0.0
3500,0.5,-2.0,0.25,5.792372,0.000634,5.791465730991905,0.0,0.0,0.0
3500,0.5,-2.0,0.3,5.789955,0.000634,5.789042175962034,0.0,0.0,0.0
3500,0.5,-2.0,0.4,5.785105,0.000633,5.784189990612144,0.0,0.0,0.0
3500,0.5,-2.0,0.6,5.775343,0.000632,5.774420449836665,0.0,0.0,0.0
3500,0.5,-2.0,0.8,5.765513,0.000631,5.764585681345817,0.0,0.0,0.0
3500,0.5,-2.0,1.0,5.755627,0.00063,5.754690645192241,0.0,0.0,0.0
3500,0.5,-2.0,1.25,5.743211,0.000628,5.742266744305392,0.0,0.0,0.0
3500,0.5,-2.0,1.5,5.730755,0.000627,5.729807664474001,0.0,0.0,0.0
3500,0.5,-1.5,0.0,5.835523,0.000593,5.834741181908715,0.0,0.0,0.0
3500,0.5,-1.5,0.05,5.833039,0.000593,5.832252339968694,0.0,0.0,0.0
3500,0.5,-1.5,0.1,5.830543,0.000593,5.829753521245297,0.0,0.0,0.0
3500,0.5,-1.5,0.15,5.828035,0.000592,5.827244667389676,0.0,0.0,0.0
3500,0.5,-1.5,0.2,5.825515,0.000592,5.824720702562045,0.0,0.0,0.0
3500,0.5,-1.5,0.25,5.822984,0.000592,5.822186760877174,0.0,0.0,0.0
3500,0.5,-1.5,0.3,5.820441,0.000591,5.819642784061305,0.0,0.0,0.0
3500,0.5,-1.5,0.4,5.815321,0.000591,5.814519649299223,0.0,0.0,0.0
3500,0.5,-1.5,0.6,5.804956,0.00059,5.804137905755167,0.0,0.0,0.0
3500,0.5,-1.5,0.8,5.794436,0.000588,5.793605693689793,0.0,0.0,0.0
3500,0.5,-1.5,1.0,5.783777,0.000587,5.782942967507538,0.0,0.0,0.0
3500,0.5,-1.5,1.25,5.770286,0.000586,5.769435211601589,0.0,0.0,0.0
3500,0.5,-1.5,1.5,5.75664,0.000584,5.755786965088896,0.0,0.0,0.0
3500,0.5,-1.0,0.0,6.04839,0.000502,6.047717741838546,0.0,0.0,0.0
3500,0.5,-1.0,0.05,6.04553,0.000502,6.044852576355301,0.0,0.0,0.0
3500,0.5,-1.0,0.1,6.042652,0.000502,6.04197241863509,0.0,0.0,0.0
3500,0.5,-1.0,0.15,6.039754,0.000502,6.039067112624898,0.0,0.0,0.0
3500,0.5,-1.0,0.2,6.036838,0.000501,6.036151831912575,0.0,0.0,0.0
3500,0.5,-1.0,0.25,6.033904,0.000501,6.033206445713281,0.0,0.0,0.0
3500,0.5,-1.0,0.3,6.030952,0.000501,6.0302509640870365,0.0,0.0,0.0
3500,0.5,-1.0,0.4,6.024995,0.000501,6.02428988552826,0.0,0.0,0.0
3500,0.5,-1.0,0.6,6.01288,0.0005,6.0121570508142055,0.0,0.0,0.0
3500,0.5,-1.0,0.8,6.000514,0.000499,5.9997732178089915,0.0,0.0,0.0
3500,0.5,-1.0,1.0,5.987917,0.000498,5.9871636548763965,0.0,0.0,0.0
3500,0.5,-1.0,1.25,5.971879,0.000497,5.971111907698132,0.0,0.0,0.0
3500,0.5,-1.0,1.5,5.95556,0.000496,5.9547742200700915,0.0,0.0,0.0
3500,0.5,-0.5,0.0,6.510667,0.000245,6.5106766809233205,0.0,0.0,0.0
3500,0.5,-0.5,0.05,6.507276,0.000245,6.507284726359417,0.0,0.0,0.0
3500,0.5,-0.5,0.1,6.503861,0.000246,6.503862666335896,0.0,0.0,0.0
3500,0.5,-0.5,0.15,6.500422,0.000246,6.5004205360295435,0.0,0.0,0.0
3500,0.5,-0.5,0.2,6.496959,0.000247,6.496948300265022,0.0,0.0,0.0
3500,0.5,-0.5,0.25,6.493471,0.000247,6.493455994219062,0.0,0.0,0.0
3500,0.5,-0.5,0.3,6.489961,0.000248,6.489938600304469,0.0,0.0,0.0
3500,0.5,-0.5,0.4,6.482871,0.000249,6.482833566459918,0.0,0.0,0.0
3500,0.5,-0.5,0.6,6.468426,0.00025,6.468367537980467,0.0,0.0,0.0
3500,0.5,-0.5,0.8,6.453646,0.000252,6.453565397149521,0.0,0.0,0.0
3500,0.5,-0.5,1.0,6.438555,0.000253,6.438447085138795,0.0,0.0,0.0
3500,0.5,-0.5,1.25,6.419295,0.000254,6.419159031749508,0.0,0.0,0.0
3500,0.5,-0.5,1.5,6.399642,0.000255,6.399479609337304,0.0,0.0,0.0
3500,0.5,-0.0,0.0,7.446281,0.00041,7.448640569772466,0.0,0.0,0.0
3500,0.5,-0.0,0.05,7.44203,0.000408,7.444380722867953,0.0,0.0,0.0
3500,0.5,-0.0,0.1,7.437761,0.000406,7.4401057487491995,0.0,0.0,0.0
3500,0.5,-0.0,0.15,7.433472,0.000404,7.435805686754237,0.0,0.0,0.0
3500,0.5,-0.0,0.2,7.429164,0.000402,7.431490572033559,0.0,0.0,0.0
3500,0.5,-0.0,0.25,7.424838,0.0004,7.427155387011836,0.0,0.0,0.0
3500,0.5,-0.0,0.3,7.420494,0.000398,7.422805149264286,0.0,0.0,0.0
3500,0.5,-0.0,0.4,7.411753,0.000394,7.414044537008537,0.0,0.0,0.0
3500,0.5,-0.0,0.6,7.394066,0.000387,7.396317369484398,0.0,0.0,0.0
3500,0.5,-0.0,0.8,7.376126,0.00038,7.378344414915034,0.0,0.0,0.0
3500,0.5,-0.0,1.0,7.357956,0.000373,7.360130543130022,0.0,0.0,0.0
3500,0.5,-0.0,1.25,7.334956,0.000366,7.337084673461058,0.0,0.0,0.0
3500,0.5,-0.0,1.5,7.311682,0.000358,7.313757747373994,0.0,0.0,0.0
3500,1.0,-2.0,0.0,5.747562,0.000596,5.746755591864556,0.0,0.0,0.0
3500,1.0,-2.0,0.05,5.745173,0.000595,5.744367161837627,0.0,0.0,0.0
3500,1.0,-2.0,0.1,5.742781,0.000595,5.741973656847817,0.0,0.0,0.0
3500,1.0,-2.0,0.15,5.740386,0.000595,5.739570174172714,0.0,0.0,0.0
3500,1.0,-2.0,0.2,5.737986,0.000595,5.737171709134832,0.0,0.0,0.0
3500,1.0,-2.0,0.25,5.735584,0.000594,5.7347681692064825,0.0,0.0,0.0
3500,1.0,-2.0,0.3,5.733178,0.000594,5.732359669110464,0.0,0.0,0.0
3500,1.0,-2.0,0.4,5.728359,0.000593,5.727532576608099,0.0,0.0,0.0
3500,1.0,-2.0,0.6,5.718689,0.000592,5.717863396886761,0.0,0.0,0.0
3500,1.0,-2.0,0.8,5.70899,0.000591,5.708154020341736,0.0,0.0,0.0
3500,1.0,-2.0,1.0,5.699272,0.000589,5.69842964918388,0.0,0.0,0.0
3500,1.0,-2.0,1.25,5.687116,0.000588,5.686271635161816,0.0,0.0,0.0
3500,1.0,-2.0,1.5,5.674973,0.000586,5.674128675604069,0.0,0.0,0.0
3500,1.0,-1.5,0.0,5.846758,0.000571,5.845858995051934,0.0,0.0,0.0
3500,1.0,-1.5,0.05,5.843627,0.000571,5.842722884250298,0.0,0.0,0.0
3500,1.0,-1.5,0.1,5.84049,0.00057,5.8395817559841285,0.0,0.0,0.0
3500,1.0,-1.5,0.15,5.837345,0.00057,5.83643561025348,0.0,0.0,0.0
3500,1.0,-1.5,0.2,5.834194,0.00057,5.833279429468871,0.0,0.0,0.0
3500,1.0,-1.5,0.25,5.831037,0.000569,5.830123307113496,0.0,0.0,0.0
3500,1.0,-1.5,0.3,5.827873,0.000569,5.826957091370296,0.0,0.0,0.0
3500,1.0,-1.5,0.4,5.821529,0.000568,5.820604589905605,0.0,0.0,0.0
3500,1.0,-1.5,0.6,5.80878,0.000566,5.807849470689643,0.0,0.0,0.0
3500,1.0,-1.5,0.8,5.795962,0.000564,5.795019089426566,0.0,0.0,0.0
3500,1.0,-1.5,1.0,5.783093,0.000562,5.782138534074916,0.0,0.0,0.0
3500,1.0,-1.5,1.25,5.766962,0.00056,5.766001450492133,0.0,0.0,0.0
3500,1.0,-1.5,1.5,5.750811,0.000558,5.749844299463954,0.0,0.0,0.0
3500,1.0,-1.0,0.0,6.141536,0.000466,6.140919437209659,0.0,0.0,0.0
3500,1.0,-1.0,0.05,6.137717,0.000466,6.1370959099978775,0.0,0.0,0.0
3500,1.0,-1.0,0.1,6.133887,0.000465,6.133262347757094,0.0,0.0,0.0
3500,1.0,-1.0,0.15,6.130045,0.000465,6.129418750488196,0.0,0.0,0.0
3500,1.0,-1.0,0.2,6.126192,0.000465,6.125565118191188,0.0,0.0,0.0
3500,1.0,-1.0,0.25,6.122329,0.000464,6.121691415685827,0.0,0.0,0.0
3500,1.0,-1.0,0.3,6.118456,0.000464,6.117812695744843,0.0,0.0,0.0
