teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,7.098687,0.000672,7.0995485914689915,0.0,0.0,0.0
3500,0.5,-2.0,0.05,7.090602,0.000669,7.091454670970202,0.0,0.0,0.0
3500,0.5,-2.0,0.1,7.082568,0.000666,7.083416016274127,0.0,0.0,0.0
3500,0.5,-2.0,0.15,7.074584,0.000663,7.075417503509984,0.0,0.0,0.0
3500,0.5,-2.0,0.2,7.066652,0.000661,7.067479132476025,0.0,0.0,0.0
3500,0.5,-2.0,0.25,7.05877,0.000658,7.059591009353884,0.0,0.0,0.0
3500,0.5,-2.0,0.3,7.050941,0.000655,7.051758080998014,0.0,0.0,0.0
3500,0.5,-2.0,0.4,7.035437,0.00065,7.036237738067681,0.0,0.0,0.0
3500,0.5,-2.0,0.6,7.005057,0.00064,7.0058343008884005,0.0,0.0,0.0
3500,0.5,-2.0,0.8,6.975523,0.00063,6.976278995099033,0.0,0.0,0.0
3500,0.5,-2.0,1.0,6.946842,0.000621,6.947581714642056,0.0,0.0,0.0
3500,0.5,-2.0,1.25,6.912198,0.000611,6.912918226233123,0.0,0.0,0.0
3500,0.5,-2.0,1.5,6.878893,0.0006,6.879604562637097,0.0,0.0,0.0
3500,0.5,-1.5,0.0,6.864619,0.000706,6.865683151716389,0.0,0.0,0.0
3500,0.5,-1.5,0.05,6.856042,0.000704,6.857092576786246,0.0,0.0,0.0
3500,0.5,-1.5,0.1,6.847528,0.000702,6.848567300412394,0.0,0.0,0.0
3500,0.5,-1.5,0.15,6.839078,0.000701,6.840102167904279,0.0,0.0,0.0
3500,0.5,-1.5,0.2,6.830692,0.000699,6.8317073513794995,0.0,0.0,0.0
3500,0.5,-1.5,0.25,6.822371,0.000697,6.823372678868131,0.0,0.0,0.0
3500,0.5,-1.5,0.3,6.814114,0.000696,6.815108322150645,0.0,0.0,0.0
3500,0.5,-1.5,0.4,6.797796,0.000693,6.7987702806297765,0.0,0.0,0.0
3500,0.5,-1.5,0.6,6.765951,0.000688,6.766887058343125,0.0,0.0,0.0
3500,0.5,-1.5,0.8,6.735173,0.000683,6.736072667487183,0.0,0.0,0.0
3500,0.5,-1.5,1.0,6.705473,0.00068,6.706347177016391,0.0,0.0,0.0
3500,0.5,-1.5,1.25,6.669876,0.000677,6.670720916889628,0.0,0.0,0.0
3500,0.5,-1.5,1.5,6.63598,0.000675,6.636805741715013,0.0,0.0,0.0
3500,0.5,-1.0,0.0,6.756997,0.000847,6.758267708031842,0.0,0.0,0.0
3500,0.5,-1.0,0.05,6.748172,0.000847,6.749426384770474,0.0,0.0,0.0
3500,0.5,-1.0,0.1,6.739433,0.000847,6.740670429224828,0.0,0.0,0.0
3500,0.5,-1.0,0.15,6.730782,0.000847,6.732004724102814,0.0,0.0,0.0
3500,0.5,-1.0,0.2,6.722218,0.000848,6.723419368880546,0.0,0.0,0.0
3500,0.5,-1.0,0.25,6.713743,0.000848,6.714929349011156,0.0,0.0,0.0
3500,0.5,-1.0,0.3,6.705356,0.000849,6.706529646862825,0.0,0.0,0.0
3500,0.5,-1.0,0.4,6.68885,0.000851,6.689996178074693,0.0,0.0,0.0
3500,0.5,-1.0,0.6,6.656923,0.000856,6.6580232877883825,0.0,0.0,0.0
3500,0.5,-1.0,0.8,6.626458,0.000862,6.627510663718689,0.0,0.0,0.0
3500,0.5,-1.0,1.0,6.597474,0.00087,6.5984884094572225,0.0,0.0,0.0
3500,0.5,-1.0,1.25,6.563345,0.000882,6.56431820996687,0.0,0.0,0.0
3500,0.5,-1.0,1.5,6.531561,0.000897,6.532501472860562,0.0,0.0,0.0
3500,0.5,-0.5,0.0,6.804564,0.001193,6.805940451476154,0.0,0.0,0.0
3500,0.5,-0.5,0.05,6.797372,0.001197,6.798720131771617,0.0,0.0,0.0
3500,0.5,-0.5,0.1,6.790307,0.001202,6.791635356194489,0.0,0.0,0.0
3500,0.5,-0.5,0.15,6.78337,0.001206,6.784675953555492,0.0,0.0,0.0
3500,0.5,-0.5,0.2,6.776563,0.001211,6.777847077272658,0.0,0.0,0.0
3500,0.5,-0.5,0.25,6.769886,0.001216,6.771148659434636,0.0,0.0,0.0
3500,0.5,-0.5,0.3,6.763339,0.001222,6.764575682405822,0.0,0.0,0.0
3500,0.5,-0.5,0.4,6.75064,0.001233,6.751841309352551,0.0,0.0,0.0
3500,0.5,-0.5,0.6,6.726836,0.001257,6.727963286374161,0.0,0.0,0.0
3500,0.5,-0.5,0.8,6.705185,0.001284,6.706243045170561,0.0,0.0,0.0
3500,0.5,-0.5,1.0,6.685714,0.001314,6.686710757632814,0.0,0.0,0.0
3500,0.5,-0.5,1.25,6.664468,0.001355,6.665402948056277,0.0,0.0,0.0
3500,0.5,-0.5,1.5,6.646676,0.001399,6.64755756871656,0.0,0.0,0.0
3500,0.5,-0.0,0.0,7.108964,0.00194,7.110258102752,0.0,0.0,0.0
3500,0.5,-0.0,0.05,7.108163,0.001954,7.109421073301087,0.0,0.0,0.0
3500,0.5,-0.0,0.1,7.10755,0.001967,7.1087747157864465,0.0,0.0,0.0
3500,0.5,-0.0,0.15,7.107126,0.001981,7.108314083680108,0.0,0.0,0.0
3500,0.5,-0.0,0.2,7.106893,0.001995,7.108049141341671,0.0,0.0,0.0
3500,0.5,-0.0,0.25,7.106851,0.00201,7.107974871162769,0.0,0.0,0.0
3500,0.5,-0.0,0.3,7.107001,0.002025,7.1080963619992765,0.0,0.0,0.0
3500,0.5,-0.0,0.4,7.107881,0.002056,7.108911431833634,0.0,0.0,0.0
3500,0.5,-0.0,0.6,7.111984,0.002121,7.112900174567809,0.0,0.0,0.0
3500,0.5,-0.0,0.8,7.11925,0.002191,7.120055518049514,0.0,0.0,0.0
3500,0.5,-0.0,1.0,7.129714,0.002265,7.130422629738871,0.0,0.0,0.0
3500,0.5,-0.0,1.25,7.14733,0.002363,7.147921921380123,0.0,0.0,0.0
3500,0.5,-0.0,1.5,7.170009,0.002467,7.170499750513818,0.0,0.0,0.0
3500,1.0,-2.0,0.0,6.923493,0.000648,6.924361642189642,0.0,0.0,0.0
3500,1.0,-2.0,0.05,6.915716,0.000646,6.916573885589677,0.0,0.0,0.0
3500,1.0,-2.0,0.1,6.907984,0.000643,6.908836306088404,0.0,0.0,0.0
3500,1.0,-2.0,0.15,6.900297,0.000641,6.901138868444586,0.0,0.0,0.0
3500,1.0,-2.0,0.2,6.892655,0.000638,6.893486590266529,0.0,0.0,0.0
3500,1.0,-2.0,0.25,6.885059,0.000636,6.88588448916182,0.0,0.0,0.0
3500,1.0,-2.0,0.3,6.87751,0.000633,6.878327547506051,0.0,0.0,0.0
3500,1.0,-2.0,0.4,6.862549,0.000629,6.863349211145316,0.0,0.0,0.0
3500,1.0,-2.0,0.6,6.83319,0.00062,6.833964556253629,0.0,0.0,0.0
3500,1.0,-2.0,0.8,6.804592,0.000611,6.805342659437859,0.0,0.0,0.0
3500,1.0,-2.0,1.0,6.776764,0.000603,6.7774985721935375,0.0,0.0,0.0
3500,1.0,-2.0,1.25,6.743072,0.000594,6.7437886396738564,0.0,0.0,0.0
3500,1.0,-2.0,1.5,6.7106,0.000585,6.711298069456491,0.0,0.0,0.0
3500,1.0,-1.5,0.0,6.6278,0.000692,6.628959323137483,0.0,0.0,0.0
3500,1.0,-1.5,0.05,6.618192,0.00069,6.619340227864608,0.0,0.0,0.0
3500,1.0,-1.5,0.1,6.608642,0.000689,6.609781278804647,0.0,0.0,0.0
3500,1.0,-1.5,0.15,6.599149,0.000687,6.600277524626322,0.0,0.0,0.0
3500,1.0,-1.5,0.2,6.589715,0.000686,6.59082903123032,0.0,0.0,0.0
3500,1.0,-1.5,0.25,6.580339,0.000685,6.581445701915012,0.0,0.0,0.0
3500,1.0,-1.5,0.3,6.571023,0.000684,6.572117633174639,0.0,0.0,0.0
3500,1.0,-1.5,0.4,6.552571,0.000681,6.553642132485686,0.0,0.0,0.0
3500,1.0,-1.5,0.6,6.516398,0.000678,6.517438831249477,0.0,0.0,0.0
3500,1.0,-1.5,0.8,6.481225,0.000676,6.482234112791716,0.0,0.0,0.0
3500,1.0,-1.5,1.0,6.447073,0.000675,6.448058145649093,0.0,0.0,0.0
3500,1.0,-1.5,1.25,6.405849,0.000676,6.406807234769248,0.0,0.0,0.0
3500,1.0,-1.5,1.5,6.366279,0.000678,6.367217357503667,0.0,0.0,0.0
3500,1.0,-1.0,0.0,6.513943,0.00087,6.515278976509473,0.0,0.0,0.0
3500,1.0,-1.0,0.05,6.503952,0.000871,6.505273647434471,0.0,0.0,0.0
3500,1.0,-1.0,0.1,6.494038,0.000872,6.49534860087199,0.0,0.0,0.0
3500,1.0,-1.0,0.15,6.484204,0.000873,6.485498819195564,0.0,0.0,0.0
3500,1.0,-1.0,0.2,6.474449,0.000875,6.475729320017508,0.0,0.0,0.0
3500,1.0,-1.0,0.25,6.464776,0.000876,6.466035085711468,0.0,0.0,0.0
3500,1.0,-1.0,0.3,6.455183,0.000878,6.456431233694219,0.0,0.0,0.0
3500,1.0,-1.0,0.4,6.436246,0.000882,6.437469329754512,0.0,0.0,0.0
3500,1.0,-1.0,0.6,6.39938,0.000891,6.4005542608471035,0.0,0.0,0.0
3500,1.0,-1.0,0.8,6.363894,0.000903,6.365029268254028,0.0,0.0,0.0
3500,1.0,-1.0,1.0,6.329825,0.000916,6.330924391008028,0.0,0.0,0.0
3500,1.0,-1.0,1.25,6.289279,0.000935,6.290341959059724,0.0,0.0,0.0
3500,1.0,-1.0,1.5,6.251047,0.000957,6.252082933599444,0.0,0.0,0.0
3500,1.0,-0.5,0.0,6.567223,0.001241,6.568617462451696,0.0,0.0,0.0
3500,1.0,-0.5,0.05,6.559158,0.001247,6.560529158171934,0.0,0.0,0.0
3500,1.0,-0.5,0.1,6.551208,0.001253,6.5525612769306925,0.0,0.0,0.0
3500,1.0,-0.5,0.15,6.543374,0.001259,6.5447038489044065,0.0,0.0,0.0
3500,1.0,-0.5,0.2,6.535656,0.001265,6.536961760763485,0.0,0.0,0.0
3500,1.0,-0.5,0.25,6.528056,0.001271,6.529350196260279,0.0,0.0,0.0
3500,1.0,-0.5,0.3,6.520575,0.001278,6.521849019394314,0.0,0.0,0.0
