teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,13.674789,0.002931,13.673313967322096,0.0,0.0,0.0
3500,0.5,-2.0,0.05,13.659414,0.002942,13.657934867917227,0.0,0.0,0.0
3500,0.5,-2.0,0.1,13.644135,0.002952,13.642650970142544,0.0,0.0,0.0
3500,0.5,-2.0,0.15,13.628956,0.002963,13.627467564915108,0.0,0.0,0.0
3500,0.5,-2.0,0.2,13.613882,0.002974,13.61238953353333,0.0,0.0,0.0
3500,0.5,-2.0,0.25,13.598917,0.002986,13.597422029873691,0.0,0.0,0.0
3500,0.5,-2.0,0.3,13.584065,0.002998,13.5825598997945,0.0,0.0,0.0
3500,0.5,-2.0,0.4,13.554718,0.003022,13.553207092630116,0.0,0.0,0.0
3500,0.5,-2.0,0.6,13.497565,0.003074,13.496027294940063,0.0,0.0,0.0
3500,0.5,-2.0,0.8,13.44269,0.003131,13.441121504070328,0.0,0.0,0.0
3500,0.5,-2.0,1.0,13.390353,0.003193,13.388755390848404,0.0,0.0,0.0
3500,0.5,-2.0,1.25,13.328884,0.003277,13.327239281569444,0.0,0.0,0.0
3500,0.5,-2.0,1.5,13.272242,0.003368,13.270546348549718,0.0,0.0,0.0
3500,0.5,-1.5,0.0,12.344831,0.002288,12.338968677568568,0.0,0.0,0.0
3500,0.5,-1.5,0.05,12.327694,0.002302,12.321833946971656,0.0,0.0,0.0
3500,0.5,-1.5,0.1,12.310668,0.002316,12.304804587433104,0.0,0.0,0.0
3500,0.5,-1.5,0.15,12.293756,0.002331,12.287890634614774,0.0,0.0,0.0
3500,0.5,-1.5,0.2,12.276963,0.002346,12.271092211267803,0.0,0.0,0.0
3500,0.5,-1.5,0.25,12.260293,0.002362,12.254419230005455,0.0,0.0,0.0
3500,0.5,-1.5,0.3,12.243751,0.002377,12.237871690865056,0.0,0.0,0.0
3500,0.5,-1.5,0.4,12.211068,0.00241,12.205188307958297,0.0,0.0,0.0
3500,0.5,-1.5,0.6,12.147437,0.002479,12.141543340352074,0.0,0.0,0.0
3500,0.5,-1.5,0.8,12.086365,0.002554,12.080448209586754,0.0,0.0,0.0
3500,0.5,-1.5,1.0,12.028151,0.002635,12.022208994697511,0.0,0.0,0.0
3500,0.5,-1.5,1.25,11.959854,0.002744,11.953881955019396,0.0,0.0,0.0
3500,0.5,-1.5,1.5,11.897054,0.002863,11.891035816297528,0.0,0.0,0.0
3500,0.5,-1.0,0.0,11.570047,0.001974,11.56380034284866,0.0,0.0,0.0
3500,0.5,-1.0,0.05,11.551603,0.001993,11.54535148251434,0.0,0.0,0.0
3500,0.5,-1.0,0.1,11.533296,0.002013,11.527043115139678,0.0,0.0,0.0
3500,0.5,-1.0,0.15,11.515129,0.002032,11.508870223001898,0.0,0.0,0.0
3500,0.5,-1.0,0.2,11.497106,0.002052,11.490842956626866,0.0,0.0,0.0
3500,0.5,-1.0,0.25,11.479233,0.002073,11.47296633331351,0.0,0.0,0.0
3500,0.5,-1.0,0.3,11.461513,0.002094,11.455240238033658,0.0,0.0,0.0
3500,0.5,-1.0,0.4,11.426553,0.002137,11.420269852743418,0.0,0.0,0.0
3500,0.5,-1.0,0.6,11.358682,0.002228,11.352377181464119,0.0,0.0,0.0
3500,0.5,-1.0,0.8,11.293803,0.002326,11.287475920116458,0.0,0.0,0.0
3500,0.5,-1.0,1.0,11.232236,0.002432,11.225872257774423,0.0,0.0,0.0
3500,0.5,-1.0,1.25,11.160431,0.002574,11.154021031921145,0.0,0.0,0.0
3500,0.5,-1.0,1.5,11.094949,0.002727,11.088488600338923,0.0,0.0,0.0
3500,0.5,-0.5,0.0,11.726786,0.002158,11.725691593067804,0.0,0.0,0.0
3500,0.5,-0.5,0.05,11.709772,0.002181,11.708658414264335,0.0,0.0,0.0
3500,0.5,-0.5,0.1,11.692938,0.002204,11.691815788227148,0.0,0.0,0.0
3500,0.5,-0.5,0.15,11.676286,0.002228,11.675148895700069,0.0,0.0,0.0
3500,0.5,-0.5,0.2,11.65982,0.002253,11.658667771874818,0.0,0.0,0.0
3500,0.5,-0.5,0.25,11.643545,0.002278,11.642372299936266,0.0,0.0,0.0
3500,0.5,-0.5,0.3,11.627464,0.002303,11.626277649660327,0.0,0.0,0.0
3500,0.5,-0.5,0.4,11.595905,0.002356,11.594690580771868,0.0,0.0,0.0
3500,0.5,-0.5,0.6,11.535313,0.002467,11.534031088877457,0.0,0.0,0.0
3500,0.5,-0.5,0.8,11.478337,0.002585,11.476985225066146,0.0,0.0,0.0
3500,0.5,-0.5,1.0,11.425281,0.002712,11.423854283999825,0.0,0.0,0.0
3500,0.5,-0.5,1.25,11.364956,0.002882,11.363426955017452,0.0,0.0,0.0
3500,0.5,-0.5,1.5,11.311878,0.003065,11.310236850600473,0.0,0.0,0.0
3500,0.5,-0.0,0.0,12.680197,0.002594,12.680652314420437,0.0,0.0,0.0
3500,0.5,-0.0,0.05,12.665833,0.002617,12.666273581971684,0.0,0.0,0.0
3500,0.5,-0.0,0.1,12.651698,0.00264,12.652125791475218,0.0,0.0,0.0
3500,0.5,-0.0,0.15,12.637794,0.002664,12.638198780559438,0.0,0.0,0.0
3500,0.5,-0.0,0.2,12.624125,0.002689,12.624517638594446,0.0,0.0,0.0
3500,0.5,-0.0,0.25,12.610694,0.002714,12.6110724561515,0.0,0.0,0.0
3500,0.5,-0.0,0.3,12.597505,0.002739,12.59786323297615,0.0,0.0,0.0
3500,0.5,-0.0,0.4,12.571866,0.002792,12.57219255483051,0.0,0.0,0.0
3500,0.5,-0.0,0.6,12.523643,0.002902,12.523892701645153,0.0,0.0,0.0
3500,0.5,-0.0,0.8,12.479695,0.003021,12.47986407907802,0.0,0.0,0.0
3500,0.5,-0.0,1.0,12.440272,0.003147,12.440357582076059,0.0,0.0,0.0
3500,0.5,-0.0,1.25,12.397749,0.003317,12.397715013780065,0.0,0.0,0.0
3500,0.5,-0.0,1.5,12.363209,0.003499,12.363042565669007,0.0,0.0,0.0
3500,1.0,-2.0,0.0,12.786049,0.002589,12.784707492631902,0.0,0.0,0.0
3500,1.0,-2.0,0.05,12.77322,0.002598,12.771877510534477,0.0,0.0,0.0
3500,1.0,-2.0,0.1,12.760456,0.002608,12.759107868859509,0.0,0.0,0.0
3500,1.0,-2.0,0.15,12.74776,0.002618,12.746413365813012,0.0,0.0,0.0
3500,1.0,-2.0,0.2,12.735138,0.002628,12.733789238641053,0.0,0.0,0.0
3500,1.0,-2.0,0.25,12.722592,0.002639,12.721240504820534,0.0,0.0,0.0
3500,1.0,-2.0,0.3,12.710127,0.00265,12.70877694548136,0.0,0.0,0.0
3500,1.0,-2.0,0.4,12.685454,0.002672,12.684095950367698,0.0,0.0,0.0
3500,1.0,-2.0,0.6,12.637244,0.002719,12.63587838725928,0.0,0.0,0.0
3500,1.0,-2.0,0.8,12.590757,0.00277,12.589382545322369,0.0,0.0,0.0
3500,1.0,-2.0,1.0,12.546236,0.002826,12.544844258363206,0.0,0.0,0.0
3500,1.0,-2.0,1.25,12.493714,0.0029,12.4922895321314,0.0,0.0,0.0
3500,1.0,-2.0,1.5,12.445086,0.002981,12.443629596147215,0.0,0.0,0.0
3500,1.0,-1.5,0.0,11.227465,0.001853,11.222015462168768,0.0,0.0,0.0
3500,1.0,-1.5,0.05,11.212335,0.001868,11.206887896115774,0.0,0.0,0.0
3500,1.0,-1.5,0.1,11.197283,0.001882,11.191830688049569,0.0,0.0,0.0
3500,1.0,-1.5,0.15,11.182313,0.001897,11.176868814617931,0.0,0.0,0.0
3500,1.0,-1.5,0.2,11.167429,0.001913,11.1619823163914,0.0,0.0,0.0
3500,1.0,-1.5,0.25,11.152634,0.001928,11.147191152556728,0.0,0.0,0.0
3500,1.0,-1.5,0.3,11.137934,0.001944,11.1324852876005,0.0,0.0,0.0
3500,1.0,-1.5,0.4,11.108832,0.001977,11.10338476098683,0.0,0.0,0.0
3500,1.0,-1.5,0.6,11.051942,0.002046,11.046493969961293,0.0,0.0,0.0
3500,1.0,-1.5,0.8,10.997042,0.002121,10.991580674261686,0.0,0.0,0.0
3500,1.0,-1.5,1.0,10.94442,0.002201,10.938951281940042,0.0,0.0,0.0
3500,1.0,-1.5,1.25,10.882296,0.002308,10.876800674628937,0.0,0.0,0.0
3500,1.0,-1.5,1.5,10.824771,0.002423,10.819247551939746,0.0,0.0,0.0
3500,1.0,-1.0,0.0,10.616882,0.001591,10.608166692382703,0.0,0.0,0.0
3500,1.0,-1.0,0.05,10.600353,0.001608,10.591634636434677,0.0,0.0,0.0
3500,1.0,-1.0,0.1,10.583927,0.001626,10.575202825132315,0.0,0.0,0.0
3500,1.0,-1.0,0.15,10.567606,0.001644,10.55888150566619,0.0,0.0,0.0
3500,1.0,-1.0,0.2,10.551395,0.001663,10.54266565985307,0.0,0.0,0.0
3500,1.0,-1.0,0.25,10.535298,0.001682,10.5265652174532,0.0,0.0,0.0
3500,1.0,-1.0,0.3,10.519318,0.001701,10.510580178515216,0.0,0.0,0.0
3500,1.0,-1.0,0.4,10.487726,0.001741,10.478981609507073,0.0,0.0,0.0
3500,1.0,-1.0,0.6,10.426131,0.001824,10.417365628530431,0.0,0.0,0.0
3500,1.0,-1.0,0.8,10.366885,0.001914,10.358103717772318,0.0,0.0,0.0
3500,1.0,-1.0,1.0,10.310282,0.00201,10.301471844511758,0.0,0.0,0.0
3500,1.0,-1.0,1.25,10.243711,0.002139,10.234867857595674,0.0,0.0,0.0
3500,1.0,-1.0,1.5,10.182359,0.002279,10.173473580065892,0.0,0.0,0.0
3500,1.0,-0.5,0.0,11.026309,0.00177,11.020438627295126,0.0,0.0,0.0
3500,1.0,-0.5,0.05,11.009472,0.00179,11.00359057188668,0.0,0.0,0.0
3500,1.0,-0.5,0.1,10.992779,0.001811,10.98688322848029,0.0,0.0,0.0
3500,1.0,-0.5,0.15,10.976234,0.001833,10.970331429970491,0.0,0.0,0.0
3500,1.0,-0.5,0.2,10.959839,0.001854,10.953925140930444,0.0,0.0,0.0
3500,1.0,-0.5,0.25,10.943599,0.001876,10.937674506316544,0.0,0.0,0.0
3500,1.0,-0.5,0.3,10.927517,0.001899,10.921584434250494,0.0,0.0,0.0
3500,1.0,-0.5,0.4,10.895843,0.001945,10.889886195900033,0.0,0.0,0.0
3500,1.0,-0.5,0.6,10.834566,0.002043,10.828567868757716,0.0,0.0,0.0
3500,1.0,-0.5,0.8,10.776277,0.002148,10.770225838112319,0.0,0.0,0.0
3500,1.0,-0.5,1.0,10.721263,0.00226,10.715166395943971,0.0,0.0,0.0
3500,1.0,-0.5,1.25,10.657557,0.002411,10.651394916540172,0.0,0.0,0.0
3500,1.0,-0.5,1.5,10.600043,0.002573,10.593801742520458,0.0,0.0,0.0
3500,1.0,-0.0,0.0,12.27935,0.002271,12.277035591291616,0.0,0.0,0.0
3500,1.0,-0.0,0.05,12.262719,0.002291,12.26038820747954,0.0,0.0,0.0
3500,1.0,-0.0,0.1,12.246288,0.002312,12.243941531544289,0.0,0.0,0.0
3500,1.0,-0.0,0.15,12.230062,0.002332,12.227705721484421,0.0,0.0,0.0
3500,1.0,-0.0,0.2,12.214044,0.002354,12.211675759092913,0.0,0.0,0.0
3500,1.0,-0.0,0.25,12.198236,0.002375,12.195851522020094,0.0,0.0,0.0
3500,1.0,-0.0,0.3,12.182643,0.002397,12.180248185625837,0.0,0.0,0.0
3500,1.0,-0.0,0.4,12.152114,0.002443,12.149688916997622,0.0,0.0,0.0
3500,1.0,-0.0,0.6,12.093786,0.00254,12.091305754052598,0.0,0.0,0.0
3500,1.0,-0.0,0.8,12.0393,0.002644,12.03675732523232,0.0,0.0,0.0
3500,1.0,-0.0,1.0,11.988907,0.002757,11.986299413592949,0.0,0.0,0.0
3500,1.0,-0.0,1.25,11.932067,0.002908,11.929367793897981,0.0,0.0,0.0
3500,1.0,-0.0,1.5,11.882544,0.003071,11.879743787693235,0.0,0.0,0.0
3500,1.5,-2.0,0.0,12.140548,0.002396,12.14016469341649,0.0,0.0,0.0
3500,1.5,-2.0,0.05,12.131102,0.002404,12.130711847805841,0.0,0.0,0.0
3500,1.5,-2.0,0.1,12.121695,0.002413,12.121304040227015,0.0,0.0,0.0
3500,1.5,-2.0,0.15,12.112329,0.002421,12.111931477583717,0.0,0.0,0.0
3500,1.5,-2.0,0.2,12.103008,0.00243,12.10260407420915,0.0,0.0,0.0
3500,1.5,-2.0,0.25,12.093736,0.00244,12.093326847933001,0.0,0.0,0.0
3500,1.5,-2.0,0.3,12.084515,0.002449,12.084099919614667,0.0,0.0,0.0
3500,1.5,-2.0,0.4,12.06624,0.002468,12.06581654441164,0.0,0.0,0.0
3500,1.5,-2.0,0.6,12.03045,0.002509,12.030002814285723,0.0,0.0,0.0
3500,1.5,-2.0,0.8,11.995843,0.002552,11.99536371445246,0.0,0.0,0.0
3500,1.5,-2.0,1.0,11.962626,0.002599,11.962119906708315,0.0,0.0,0.0
3500,1.5,-2.0,1.25,11.923367,0.002661,11.922811307701782,0.0,0.0,0.0
3500,1.5,-2.0,1.5,11.886978,0.002729,11.886373463340714,0.0,0.0,0.0
3500,1.5,-1.5,0.0,10.891103,0.001792,10.887745883318168,0.0,0.0,0.0
