teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,4.794739,0.00038,4.7934282662578855,0.0,0.0,0.0
3500,0.5,-2.0,0.05,4.794714,0.00038,4.793423248700379,0.0,0.0,0.0
3500,0.5,-2.0,0.1,4.794711,0.00038,4.7934383013729525,0.0,0.0,0.0
3500,0.5,-2.0,0.15,4.794731,0.000379,4.793478441833219,0.0,0.0,0.0
3500,0.5,-2.0,0.2,4.794774,0.000379,4.793538652523675,0.0,0.0,0.0
3500,0.5,-2.0,0.25,4.794841,0.000379,4.793618933444545,0.0,0.0,0.0
3500,0.5,-2.0,0.3,4.794932,0.000379,4.793734337268064,0.0,0.0,0.0
3500,0.5,-2.0,0.4,4.795189,0.000378,4.794025355605671,0.0,0.0,0.0
3500,0.5,-2.0,0.6,4.796016,0.000377,4.794928515963524,0.0,0.0,0.0
3500,0.5,-2.0,0.8,4.797289,0.000377,4.796278286906803,0.0,0.0,0.0
3500,0.5,-2.0,1.0,4.79904,0.000376,4.798114808950923,0.0,0.0,0.0
3500,0.5,-2.0,1.25,4.801948,0.000376,4.801130457150341,0.0,0.0,0.0
3500,0.5,-2.0,1.5,4.805703,0.000376,4.804999138363804,0.0,0.0,0.0
3500,0.5,-1.5,0.0,4.82131,0.000399,4.819621025177483,0.0,0.0,0.0
3500,0.5,-1.5,0.05,4.821283,0.000399,4.819616007618752,0.0,0.0,0.0
3500,0.5,-1.5,0.1,4.821278,0.000398,4.8196360778536205,0.0,0.0,0.0
3500,0.5,-1.5,0.15,4.821297,0.000398,4.819681235881921,0.0,0.0,0.0
3500,0.5,-1.5,0.2,4.82134,0.000398,4.81974646414498,0.0,0.0,0.0
3500,0.5,-1.5,0.25,4.821406,0.000397,4.819831762642907,0.0,0.0,0.0
3500,0.5,-1.5,0.3,4.821498,0.000397,4.819947166492885,0.0,0.0,0.0
3500,0.5,-1.5,0.4,4.821758,0.000396,4.820258255132151,0.0,0.0,0.0
3500,0.5,-1.5,0.6,4.8226,0.000395,4.821201604380554,0.0,0.0,0.0
3500,0.5,-1.5,0.8,4.8239,0.000394,4.8226065208302105,0.0,0.0,0.0
3500,0.5,-1.5,1.0,4.825692,0.000393,4.82449823697064,0.0,0.0,0.0
3500,0.5,-1.5,1.25,4.828672,0.000392,4.82761925512925,0.0,0.0,0.0
3500,0.5,-1.5,1.5,4.832528,0.000392,4.831618394563758,0.0,0.0,0.0
3500,0.5,-1.0,0.0,4.854667,0.00044,4.852437994187597,0.0,0.0,0.0
3500,0.5,-1.0,0.05,4.854512,0.000439,4.852307537604049,0.0,0.0,0.0
3500,0.5,-1.0,0.1,4.854375,0.000439,4.852207137862725,0.0,0.0,0.0
3500,0.5,-1.0,0.15,4.854258,0.000438,4.852116821767408,0.0,0.0,0.0
3500,0.5,-1.0,0.2,4.854162,0.000437,4.852051593476107,0.0,0.0,0.0
3500,0.5,-1.0,0.25,4.854086,0.000436,4.852011404467966,0.0,0.0,0.0
3500,0.5,-1.0,0.3,4.85403,0.000435,4.851981299103214,0.0,0.0,0.0
3500,0.5,-1.0,0.4,4.853985,0.000434,4.8520013693464925,0.0,0.0,0.0
3500,0.5,-1.0,0.6,4.854169,0.000431,4.852317427152868,0.0,0.0,0.0
3500,0.5,-1.0,0.8,4.854743,0.000428,4.853024903219436,0.0,0.0,0.0
3500,0.5,-1.0,1.0,4.85574,0.000426,4.854163889510842,0.0,0.0,0.0
3500,0.5,-1.0,1.25,4.857624,0.000424,4.856226204108372,0.0,0.0,0.0
3500,0.5,-1.0,1.5,4.860267,0.000422,4.8590611745835215,0.0,0.0,0.0
3500,0.5,-0.5,0.0,4.898359,0.000525,4.8954128407206685,0.0,0.0,0.0
3500,0.5,-0.5,0.05,4.897715,0.000523,4.894805666349297,0.0,0.0,0.0
3500,0.5,-0.5,0.1,4.897076,0.000522,4.894208478177467,0.0,0.0,0.0
3500,0.5,-0.5,0.15,4.896444,0.00052,4.893616356532034,0.0,0.0,0.0
3500,0.5,-0.5,0.2,4.895817,0.000518,4.893029252463825,0.0,0.0,0.0
3500,0.5,-0.5,0.25,4.895197,0.000517,4.892447165972507,0.0,0.0,0.0
3500,0.5,-0.5,0.3,4.894584,0.000515,4.891875114622883,0.0,0.0,0.0
3500,0.5,-0.5,0.4,4.89338,0.000512,4.8907510333096,0.0,0.0,0.0
3500,0.5,-0.5,0.6,4.891067,0.000506,4.888603319953361,0.0,0.0,0.0
3500,0.5,-0.5,0.8,4.888898,0.0005,4.886601116141349,0.0,0.0,0.0
3500,0.5,-0.5,1.0,4.886894,0.000494,4.884779593655641,0.0,0.0,0.0
3500,0.5,-0.5,1.25,4.884654,0.000487,4.882767355008366,0.0,0.0,0.0
3500,0.5,-0.5,1.5,4.882748,0.000481,4.881096310875143,0.0,0.0,0.0
3500,0.5,-0.0,0.0,4.993285,0.000693,4.989657767317176,0.0,0.0,0.0
3500,0.5,-0.0,0.05,4.991918,0.00069,4.988333027600531,0.0,0.0,0.0
3500,0.5,-0.0,0.1,4.990536,0.000687,4.986998202914948,0.0,0.0,0.0
3500,0.5,-0.0,0.15,4.989139,0.000684,4.985648325583808,0.0,0.0,0.0
3500,0.5,-0.0,0.2,4.987728,0.000681,4.984283395608729,0.0,0.0,0.0
3500,0.5,-0.0,0.25,4.986301,0.000678,4.982903412991047,0.0,0.0,0.0
3500,0.5,-0.0,0.3,4.98486,0.000675,4.98151339530676,0.0,0.0,0.0
3500,0.5,-0.0,0.4,4.981933,0.000669,4.978683184444238,0.0,0.0,0.0
3500,0.5,-0.0,0.6,4.975905,0.000656,4.972847198384796,0.0,0.0,0.0
3500,0.5,-0.0,0.8,4.969651,0.000644,4.966800425861516,0.0,0.0,0.0
3500,0.5,-0.0,1.0,4.963181,0.000633,4.960537948772295,0.0,0.0,0.0
3500,0.5,-0.0,1.25,4.954809,0.000618,4.952438893078505,0.0,0.0,0.0
3500,0.5,-0.0,1.5,4.946157,0.000604,4.944068890802607,0.0,0.0,0.0
3500,1.0,-2.0,0.0,4.696637,0.00034,4.695727881435888,0.0,0.0,0.0
3500,1.0,-2.0,0.05,4.696563,0.00034,4.69566767079044,0.0,0.0,0.0
3500,1.0,-2.0,0.1,4.696508,0.00034,4.695622512806425,0.0,0.0,0.0
3500,1.0,-2.0,0.15,4.696473,0.00034,4.695602442591332,0.0,0.0,0.0
3500,1.0,-2.0,0.2,4.69646,0.00034,4.695602442591332,0.0,0.0,0.0
3500,1.0,-2.0,0.25,4.696467,0.00034,4.695627577317534,0.0,0.0,0.0
3500,1.0,-2.0,0.3,4.696497,0.00034,4.695667717748166,0.0,0.0,0.0
3500,1.0,-2.0,0.4,4.696623,0.00034,4.695823261916923,0.0,0.0,0.0
