teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,4.948179,0.000334,4.9484927450752885,0.0,0.0,0.0
3500,0.5,-2.0,0.05,4.946415,0.000334,4.946731581708006,0.0,0.0,0.0
3500,0.5,-2.0,0.1,4.944659,0.000334,4.944975386449331,0.0,0.0,0.0
3500,0.5,-2.0,0.15,4.942912,0.000334,4.943229226344326,0.0,0.0,0.0
3500,0.5,-2.0,0.2,4.941173,0.000334,4.94149310139299,0.0,0.0,0.0
3500,0.5,-2.0,0.25,4.939444,0.000334,4.939762043434245,0.0,0.0,0.0
3500,0.5,-2.0,0.3,4.937726,0.000334,4.938045988772035,0.0,0.0,0.0
3500,0.5,-2.0,0.4,4.934322,0.000334,4.934644034252688,0.0,0.0,0.0
3500,0.5,-2.0,0.6,4.927668,0.000335,4.92799060291022,0.0,0.0,0.0
3500,0.5,-2.0,0.8,4.921256,0.000335,4.921588099128841,0.0,0.0,0.0
3500,0.5,-2.0,1.0,4.915139,0.000336,4.915476614016903,0.0,0.0,0.0
3500,0.5,-2.0,1.25,4.907991,0.000337,4.908346564723481,0.0,0.0,0.0
3500,0.5,-2.0,1.5,4.901508,0.000339,4.901878882476821,0.0,0.0,0.0
3500,0.5,-1.5,0.0,4.928809,0.000375,4.92904134299829,0.0,0.0,0.0
3500,0.5,-1.5,0.05,4.927187,0.000375,4.927420621469233,0.0,0.0,0.0
3500,0.5,-1.5,0.1,4.925576,0.000374,4.925814952655752,0.0,0.0,0.0
3500,0.5,-1.5,0.15,4.923977,0.000374,4.924214252191969,0.0,0.0,0.0
3500,0.5,-1.5,0.2,4.922391,0.000374,4.922633671263276,0.0,0.0,0.0
3500,0.5,-1.5,0.25,4.920818,0.000373,4.921063125487864,0.0,0.0,0.0
3500,0.5,-1.5,0.3,4.919259,0.000373,4.91950763242619,0.0,0.0,0.0
3500,0.5,-1.5,0.4,4.916186,0.000372,4.9164367868819845,0.0,0.0,0.0
3500,0.5,-1.5,0.6,4.91024,0.000371,4.910505882809555,0.0,0.0,0.0
3500,0.5,-1.5,0.8,4.904606,0.000371,4.904891085398363,0.0,0.0,0.0
3500,0.5,-1.5,1.0,4.899339,0.00037,4.899642570222795,0.0,0.0,0.0
3500,0.5,-1.5,1.25,4.893365,0.00037,4.893691596947428,0.0,0.0,0.0
3500,0.5,-1.5,1.5,4.888186,0.00037,4.888543482508405,0.0,0.0,0.0
3500,0.5,-1.0,0.0,4.946308,0.000448,4.946491360430112,0.0,0.0,0.0
3500,0.5,-1.0,0.05,4.944573,0.000447,4.944760201548423,0.0,0.0,0.0
3500,0.5,-1.0,0.1,4.942849,0.000446,4.943039077865859,0.0,0.0,0.0
3500,0.5,-1.0,0.15,4.941135,0.000444,4.941327989381918,0.0,0.0,0.0
3500,0.5,-1.0,0.2,4.939432,0.000443,4.939631953660792,0.0,0.0,0.0
3500,0.5,-1.0,0.25,4.937742,0.000442,4.93794595313673,0.0,0.0,0.0
3500,0.5,-1.0,0.3,4.936064,0.000441,4.936275005373867,0.0,0.0,0.0
3500,0.5,-1.0,0.4,4.93275,0.000439,4.932968282330262,0.0,0.0,0.0
3500,0.5,-1.0,0.6,4.926308,0.000434,4.926545455007784,0.0,0.0,0.0
3500,0.5,-1.0,0.8,4.920156,0.00043,4.920418664843971,0.0,0.0,0.0
3500,0.5,-1.0,1.0,4.914351,0.000427,4.91464315412109,0.0,0.0,0.0
3500,0.5,-1.0,1.25,4.907671,0.000423,4.907999556591146,0.0,0.0,0.0
3500,0.5,-1.0,1.5,4.901748,0.00042,4.90212374513147,0.0,0.0,0.0
3500,0.5,-0.5,0.0,4.99684,0.00059,4.996941138283998,0.0,0.0,0.0
3500,0.5,-0.5,0.05,4.994725,0.000587,4.994833557657263,0.0,0.0,0.0
3500,0.5,-0.5,0.1,4.992609,0.000584,4.992720959626101,0.0,0.0,0.0
3500,0.5,-0.5,0.15,4.990494,0.000581,4.9906183969096505,0.0,0.0,0.0
3500,0.5,-0.5,0.2,4.988379,0.000578,4.988510816788659,0.0,0.0,0.0
3500,0.5,-0.5,0.25,4.986265,0.000576,4.98639821926402,0.0,0.0,0.0
3500,0.5,-0.5,0.3,4.984152,0.000573,4.984295657052755,0.0,0.0,0.0
3500,0.5,-0.5,0.4,4.979933,0.000567,4.980090582937034,0.0,0.0,0.0
3500,0.5,-0.5,0.6,4.971538,0.000556,4.971725544893639,0.0,0.0,0.0
3500,0.5,-0.5,0.8,4.963231,0.000545,4.963450875261581,0.0,0.0,0.0
3500,0.5,-0.5,1.0,4.955051,0.000535,4.955306714312684,0.0,0.0,0.0
3500,0.5,-0.5,1.25,4.945072,0.000523,4.945381120635977,0.0,0.0,0.0
3500,0.5,-0.5,1.5,4.935456,0.000512,4.93582692908735,0.0,0.0,0.0
3500,0.5,-0.0,0.0,5.134912,0.000905,5.134893384717013,0.0,0.0,0.0
3500,0.5,-0.0,0.05,5.132358,0.000899,5.132344037321864,0.0,0.0,0.0
3500,0.5,-0.0,0.1,5.12978,0.000892,5.12977461996948,0.0,0.0,0.0
