teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
3500,0.5,-2.0,0.0,4.98052,0.00038,4.980643286742539,0.0,0.0,0.0
3500,0.5,-2.0,0.05,4.978651,0.00038,4.978776703699226,0.0,0.0,0.0
3500,0.5,-2.0,0.1,4.976778,0.00038,4.976905103130716,0.0,0.0,0.0
3500,0.5,-2.0,0.15,4.974901,0.000379,4.975023467474992,0.0,0.0,0.0
3500,0.5,-2.0,0.2,4.973021,0.000379,4.973146799686562,0.0,0.0,0.0
3500,0.5,-2.0,0.25,4.971137,0.000379,4.971255129000443,0.0,0.0,0.0
3500,0.5,-2.0,0.3,4.96925,0.000378,4.969373493476461,0.0,0.0,0.0
3500,0.5,-2.0,0.4,4.965466,0.000378,4.965585134731266,0.0,0.0,0.0
3500,0.5,-2.0,0.6,4.957865,0.000376,4.957983280304866,0.0,0.0,0.0
3500,0.5,-2.0,0.8,4.950225,0.000375,4.950336318089292,0.0,0.0,0.0
3500,0.5,-2.0,1.0,4.942554,0.000374,4.942659251117149,0.0,0.0,0.0
3500,0.5,-2.0,1.25,4.932936,0.000372,4.933035272347699,0.0,0.0,0.0
3500,0.5,-2.0,1.5,4.923299,0.000371,4.923396291285791,0.0,0.0,0.0
3500,0.5,-1.5,0.0,4.960954,0.000399,4.961085324192597,0.0,0.0,0.0
3500,0.5,-1.5,0.05,4.959122,0.000399,4.959253864098894,0.0,0.0,0.0
3500,0.5,-1.5,0.1,4.957287,0.000399,4.957412368916026,0.0,0.0,0.0
3500,0.5,-1.5,0.15,4.955448,0.000398,4.955570873770036,0.0,0.0,0.0
3500,0.5,-1.5,0.2,4.953607,0.000398,4.95372937866081,0.0,0.0,0.0
3500,0.5,-1.5,0.25,4.951762,0.000398,4.951887883588349,0.0,0.0,0.0
3500,0.5,-1.5,0.3,4.949914,0.000397,4.950036353427449,0.0,0.0,0.0
3500,0.5,-1.5,0.4,4.94621,0.000397,4.946333293216557,0.0,0.0,0.0
3500,0.5,-1.5,0.6,4.938773,0.000396,4.938892050302331,0.0,0.0,0.0
3500,0.5,-1.5,0.8,4.931303,0.000395,4.931415685047963,0.0,0.0,0.0
3500,0.5,-1.5,1.0,4.92381,0.000394,4.9239192501436255,0.0,0.0,0.0
3500,0.5,-1.5,1.25,4.914424,0.000393,4.914526128328678,0.0,0.0,0.0
3500,0.5,-1.5,1.5,4.905031,0.000392,4.90513300745319,0.0,0.0,0.0
3500,0.5,-1.0,0.0,4.977064,0.000432,4.977198709957421,0.0,0.0,0.0
3500,0.5,-1.0,0.05,4.975214,0.000432,4.975347178710056,0.0,0.0,0.0
3500,0.5,-1.0,0.1,4.973359,0.000431,4.973490580198818,0.0,0.0,0.0
3500,0.5,-1.0,0.15,4.9715,0.000431,4.971629013914539,0.0,0.0,0.0
3500,0.5,-1.0,0.2,4.969637,0.000431,4.969767447667471,0.0,0.0,0.0
3500,0.5,-1.0,0.25,4.967769,0.00043,4.967900863892866,0.0,0.0,0.0
3500,0.5,-1.0,0.3,4.965898,0.00043,4.966029262590891,0.0,0.0,0.0
3500,0.5,-1.0,0.4,4.962143,0.000429,4.962271007405727,0.0,0.0,0.0
3500,0.5,-1.0,0.6,4.954591,0.000428,4.954714307423027,0.0,0.0,0.0
3500,0.5,-1.0,0.8,4.946991,0.000426,4.94711249959177,0.0,0.0,0.0
3500,0.5,-1.0,1.0,4.939355,0.000425,4.939470502461148,0.0,0.0,0.0
3500,0.5,-1.0,1.25,4.929773,0.000424,4.9298816914121755,0.0,0.0,0.0
3500,0.5,-1.0,1.5,4.92017,0.000422,4.920267744301311,0.0,0.0,0.0
3500,0.5,-0.5,0.0,5.029059,0.000487,5.0291995585527705,0.0,0.0,0.0
3500,0.5,-0.5,0.05,5.02722,0.000486,5.027363027809683,0.0,0.0,0.0
3500,0.5,-0.5,0.1,5.025373,0.000486,5.025511494690525,0.0,0.0,0.0
3500,0.5,-0.5,0.15,5.023517,0.000485,5.023654944039765,0.0,0.0,0.0
3500,0.5,-0.5,0.2,5.021654,0.000484,5.02179332563844,0.0,0.0,0.0
3500,0.5,-0.5,0.25,5.019783,0.000484,5.019921722375046,0.0,0.0,0.0
3500,0.5,-0.5,0.3,5.017905,0.000483,5.018040033830598,0.0,0.0,0.0
3500,0.5,-0.5,0.4,5.014128,0.000482,5.014261654407022,0.0,0.0,0.0
3500,0.5,-0.5,0.6,5.006494,0.000479,5.006624665220377,0.0,0.0,0.0
3500,0.5,-0.5,0.8,4.998764,0.000477,4.998892293020469,0.0,0.0,0.0
3500,0.5,-0.5,1.0,4.990953,0.000474,4.991074623103003,0.0,0.0,0.0
3500,0.5,-0.5,1.25,4.981094,0.000472,4.981204769188954,0.0,0.0,0.0
3500,0.5,-0.5,1.5,4.971153,0.000469,4.971259603243679,0.0,0.0,0.0
3500,0.5,-0.0,0.0,5.161543,0.000586,5.161696412831963,0.0,0.0,0.0
3500,0.5,-0.0,0.05,5.160005,0.000585,5.160155913621748,0.0,0.0,0.0
3500,0.5,-0.0,0.1,5.158449,0.000584,5.158600361744084,0.0,0.0,0.0
3500,0.5,-0.0,0.15,5.156876,0.000582,5.15702473962353,0.0,0.0,0.0
3500,0.5,-0.0,0.2,5.155286,0.000581,5.15543406483748,0.0,0.0,0.0
3500,0.5,-0.0,0.25,5.153679,0.000579,5.153828337386989,0.0,0.0,0.0
3500,0.5,-0.0,0.3,5.152057,0.000578,5.152202539696951,0.0,0.0,0.0
3500,0.5,-0.0,0.4,5.148763,0.000575,5.148905734839428,0.0,0.0,0.0
3500,0.5,-0.0,0.6,5.141993,0.000569,5.14213159625155,0.0,0.0,0.0
3500,0.5,-0.0,0.8,5.134991,0.000564,5.135131667876951,0.0,0.0,0.0
3500,0.5,-0.0,1.0,5.127776,0.000559,5.127910967344103,0.0,0.0,0.0
3500,0.5,-0.0,1.25,5.118483,0.000552,5.118612838725586,0.0,0.0,0.0
3500,0.5,-0.0,1.5,5.108921,0.000546,5.109038796707476,0.0,0.0,0.0
3500,1.0,-2.0,0.0,4.927626,0.000365,4.9277563545544885,0.0,0.0,0.0
3500,1.0,-2.0,0.05,4.925903,0.000365,4.926030264427609,0.0,0.0,0.0
3500,1.0,-2.0,0.1,4.924175,0.000364,4.9243041743353215,0.0,0.0,0.0
3500,1.0,-2.0,0.15,4.922442,0.000364,4.922573066716946,0.0,0.0,0.0
3500,1.0,-2.0,0.2,4.920705,0.000364,4.920831924012359,0.0,0.0,0.0
3500,1.0,-2.0,0.25,4.918964,0.000363,4.919085714590141,0.0,0.0,0.0
3500,1.0,-2.0,0.3,4.917218,0.000363,4.917344571972619,0.0,0.0,0.0
3500,1.0,-2.0,0.4,4.913712,0.000362,4.913837199041073,0.0,0.0,0.0
3500,1.0,-2.0,0.6,4.906653,0.000361,4.906772277998816,0.0,0.0,0.0
3500,1.0,-2.0,0.8,4.899535,0.000359,4.89965211536631,0.0,0.0,0.0
3500,1.0,-2.0,1.0,4.892365,0.000358,4.89248182677671,0.0,0.0,0.0
3500,1.0,-2.0,1.25,4.883342,0.000356,4.883449926570405,0.0,0.0,0.0
3500,1.0,-2.0,1.5,4.874264,0.000354,4.874367900603198,0.0,0.0,0.0
3500,1.0,-1.5,0.0,4.888301,0.00038,4.88843865148949,0.0,0.0,0.0
3500,1.0,-1.5,0.05,4.886712,0.00038,4.886853053484526,0.0,0.0,0.0
3500,1.0,-1.5,0.1,4.885117,0.000379,4.885252402829827,0.0,0.0,0.0
3500,1.0,-1.5,0.15,4.883517,0.000379,4.883656769767506,0.0,0.0,0.0
3500,1.0,-1.5,0.2,4.881913,0.000379,4.882051101616466,0.0,0.0,0.0
3500,1.0,-1.5,0.25,4.880304,0.000378,4.880440415937222,0.0,0.0,0.0
3500,1.0,-1.5,0.3,4.87869,0.000378,4.878824712730051,0.0,0.0,0.0
3500,1.0,-1.5,0.4,4.875448,0.000377,4.875583271291998,0.0,0.0,0.0
3500,1.0,-1.5,0.6,4.868915,0.000376,4.8690451956456915,0.0,0.0,0.0
3500,1.0,-1.5,0.8,4.86232,0.000374,4.8624468611796745,0.0,0.0,0.0
3500,1.0,-1.5,1.0,4.85567,0.000373,4.855788365219201,0.0,0.0,0.0
3500,1.0,-1.5,1.25,4.847294,0.000371,4.84741381603537,0.0,0.0,0.0
3500,1.0,-1.5,1.5,4.83886,0.000369,4.838969021863038,0.0,0.0,0.0
3500,1.0,-1.0,0.0,4.901625,0.000411,4.901772123583165,0.0,0.0,0.0
3500,1.0,-1.0,0.05,4.900129,0.000411,4.900276791976622,0.0,0.0,0.0
3500,1.0,-1.0,0.1,4.898626,0.00041,4.898771474294369,0.0,0.0,0.0
3500,1.0,-1.0,0.15,4.897117,0.00041,4.897261139080067,0.0,0.0,0.0
3500,1.0,-1.0,0.2,4.895601,0.000409,4.895745786333716,0.0,0.0,0.0
3500,1.0,-1.0,0.25,4.89408,0.000409,4.894220398493689,0.0,0.0,0.0
3500,1.0,-1.0,0.3,4.892552,0.000409,4.892695010683967,0.0,0.0,0.0
3500,1.0,-1.0,0.4,4.88948,0.000408,4.889619147346345,0.0,0.0,0.0
3500,1.0,-1.0,0.6,4.883268,0.000406,4.883402192737369,0.0,0.0,0.0
3500,1.0,-1.0,0.8,4.876974,0.000404,4.87710490886849,0.0,0.0,0.0
3500,1.0,-1.0,1.0,4.870606,0.000403,4.870732410919088,0.0,0.0,0.0
3500,1.0,-1.0,1.25,4.862555,0.000401,4.862673964319853,0.0,0.0,0.0
3500,1.0,-1.0,1.5,4.85442,0.000399,4.854535189006898,0.0,0.0,0.0
3500,1.0,-0.5,0.0,4.953502,0.000461,4.953657186561655,0.0,0.0,0.0
3500,1.0,-0.5,0.05,4.952111,0.00046,4.952262253710962,0.0,0.0,0.0
3500,1.0,-0.5,0.1,4.95071,0.000459,4.950862303322316,0.0,0.0,0.0
3500,1.0,-0.5,0.15,4.949299,0.000458,4.949452268334499,0.0,0.0,0.0
3500,1.0,-0.5,0.2,4.947877,0.000458,4.948032247753207,0.0,0.0,0.0
3500,1.0,-0.5,0.25,4.946445,0.000457,4.946597125036353,0.0,0.0,0.0
3500,1.0,-0.5,0.3,4.945004,0.000456,4.945152016698785,0.0,0.0,0.0
3500,1.0,-0.5,0.4,4.942092,0.000455,4.942241680424887,0.0,0.0,0.0
3500,1.0,-0.5,0.6,4.936157,0.000452,4.93630063620338,0.0,0.0,0.0
3500,1.0,-0.5,0.8,4.930082,0.000449,4.930224118324614,0.0,0.0,0.0
3500,1.0,-0.5,1.0,4.923879,0.000446,4.924017095131938,0.0,0.0,0.0
3500,1.0,-0.5,1.25,4.915959,0.000442,4.9160889989781715,0.0,0.0,0.0
3500,1.0,-0.5,1.5,4.907876,0.000439,4.9079953734078785,0.0,0.0,0.0
3500,1.0,-0.0,0.0,5.083921,0.000552,5.084096184874567,0.0,0.0,0.0
3500,1.0,-0.0,0.05,5.082898,0.00055,5.08307249827765,0.0,0.0,0.0
3500,1.0,-0.0,0.1,5.081854,0.000548,5.082028741429764,0.0,0.0,0.0
3500,1.0,-0.0,0.15,5.08079,0.000547,5.080959896759144,0.0,0.0,0.0
3500,1.0,-0.0,0.2,5.079706,0.000545,5.079875999412834,0.0,0.0,0.0
3500,1.0,-0.0,0.25,5.078602,0.000543,5.078772031819121,0.0,0.0,0.0
3500,1.0,-0.0,0.3,5.077478,0.000542,5.077647993979231,0.0,0.0,0.0
3500,1.0,-0.0,0.4,5.075173,0.000539,5.075334689993055,0.0,0.0,0.0
3500,1.0,-0.0,0.6,5.070336,0.000532,5.070502311417995,0.0,0.0,0.0
3500,1.0,-0.0,0.8,5.065209,0.000526,5.0653639125064895,0.0,0.0,0.0
3500,1.0,-0.0,1.0,5.059806,0.00052,5.059959583146679,0.0,0.0,0.0
3500,1.0,-0.0,1.25,5.052689,0.000513,5.052834076298511,0.0,0.0,0.0
3500,1.0,-0.0,1.5,5.045195,0.000505,5.045332303719701,0.0,0.0,0.0
3500,1.5,-2.0,0.0,4.855926,0.000349,4.856053178953826,0.0,0.0,0.0
3500,1.5,-2.0,0.05,4.854293,0.000349,4.85441740638741,0.0,0.0,0.0
3500,1.5,-2.0,0.1,4.852654,0.000348,4.852776616295351,0.0,0.0,0.0
3500,1.5,-2.0,0.15,4.851011,0.000348,4.851135826236159,0.0,0.0,0.0
3500,1.5,-2.0,0.2,4.849362,0.000347,4.849485001093538,0.0,0.0,0.0
3500,1.5,-2.0,0.25,4.847709,0.000347,4.847829158425834,0.0,0.0,0.0
3500,1.5,-2.0,0.3,4.84605,0.000347,4.846173315791162,0.0,0.0,0.0
3500,1.5,-2.0,0.4,4.842718,0.000346,4.842836494402161,0.0,0.0,0.0
3500,1.5,-2.0,0.6,4.835999,0.000344,4.836117790930914,0.0,0.0,0.0
3500,1.5,-2.0,0.8,4.82921,0.000343,4.829328842192195,0.0,0.0,0.0
3500,1.5,-2.0,1.0,4.822359,0.000341,4.822474617525912,0.0,0.0,0.0
3500,1.5,-2.0,1.25,4.813716,0.000339,4.813829125698801,0.0,0.0,0.0
3500,1.5,-2.0,1.5,4.804998,0.000338,4.805103305776291,0.0,0.0,0.0
3500,1.5,-1.5,0.0,4.854301,0.00036,4.854438010621374,0.0,0.0,0.0
3500,1.5,-1.5,0.05,4.852732,0.000359,4.8528724352008075,0.0,0.0,0.0
3500,1.5,-1.5,0.1,4.851157,0.000359,4.851296873239732,0.0,0.0,0.0
3500,1.5,-1.5,0.15,4.849576,0.000358,4.849716293751397,0.0,0.0,0.0
3500,1.5,-1.5,0.2,4.847989,0.000358,4.848130696736194,0.0,0.0,0.0
3500,1.5,-1.5,0.25,4.846397,0.000357,4.846535064635505,0.0,0.0,0.0
3500,1.5,-1.5,0.3,4.844798,0.000357,4.84493441500817,0.0,0.0,0.0
3500,1.5,-1.5,0.4,4.841586,0.000356,4.841723080733075,0.0,0.0,0.0
3500,1.5,-1.5,0.6,4.835098,0.000354,4.835230118399795,0.0,0.0,0.0
3500,1.5,-1.5,0.8,4.828532,0.000353,4.828661941635278,0.0,0.0,0.0
3500,1.5,-1.5,1.0,4.821894,0.000351,4.822023471366357,0.0,0.0,0.0
3500,1.5,-1.5,1.25,4.813507,0.000349,4.813628856655992,0.0,0.0,0.0
3500,1.5,-1.5,1.5,4.805034,0.000347,4.805148896260081,0.0,0.0,0.0
3500,1.5,-1.0,0.0,4.850672,0.000393,4.850826920551891,0.0,0.0,0.0
3500,1.5,-1.0,0.05,4.849406,0.000393,4.8495574292600265,0.0,0.0,0.0
3500,1.5,-1.0,0.1,4.848132,0.000392,4.848282920433437,0.0,0.0,0.0
3500,1.5,-1.0,0.15,4.846851,0.000392,4.847003394071849,0.0,0.0,0.0
3500,1.5,-1.0,0.2,4.845562,0.000391,4.8457137841571125,0.0,0.0,0.0
3500,1.5,-1.0,0.25,4.844265,0.000391,4.844414187619089,0.0,0.0,0.0
3500,1.5,-1.0,0.3,4.842961,0.00039,4.843109573547011,0.0,0.0,0.0
3500,1.5,-1.0,0.4,4.840332,0.000389,4.840480275240961,0.0,0.0,0.0
3500,1.5,-1.0,0.6,4.834988,0.000387,4.835131362868051,0.0,0.0,0.0
3500,1.5,-1.0,0.8,4.829536,0.000385,4.8296770821712744,0.0,0.0,0.0
3500,1.5,-1.0,1.0,4.823984,0.000383,4.8241173849213315,0.0,0.0,0.0
3500,1.5,-1.0,1.25,4.816915,0.000381,4.81704238537913,0.0,0.0,0.0
3500,1.5,-1.0,1.5,4.809714,0.000378,4.809836930014419,0.0,0.0,0.0
3500,1.5,-0.5,0.0,4.904311,0.000443,4.9044731416305,0.0,0.0,0.0
3500,1.5,-0.5,0.05,4.903303,0.000442,4.903469579791106,0.0,0.0,0.0
3500,1.5,-0.5,0.1,4.902282,0.000441,4.902445947716063,0.0,0.0,0.0
3500,1.5,-0.5,0.15,4.901249,0.000441,4.901412231518683,0.0,0.0,0.0
3500,1.5,-0.5,0.2,4.900203,0.00044,4.900368529240022,0.0,0.0,0.0
3500,1.5,-0.5,0.25,4.899144,0.000439,4.899304756727217,0.0,0.0,0.0
3500,1.5,-0.5,0.3,4.898073,0.000438,4.8982359666721695,0.0,0.0,0.0
3500,1.5,-0.5,0.4,4.895895,0.000436,4.89605317959229,0.0,0.0,0.0
3500,1.5,-0.5,0.6,4.891396,0.000433,4.891552180535492,0.0,0.0,0.0
3500,1.5,-0.5,0.8,4.886713,0.000429,4.886865483227412,0.0,0.0,0.0
3500,1.5,-0.5,1.0,4.881855,0.000426,4.882003220609767,0.0,0.0,0.0
3500,1.5,-0.5,1.25,4.875549,0.000422,4.875690785410882,0.0,0.0,0.0
3500,1.5,-0.5,1.5,4.869004,0.000417,4.869137508119186,0.0,0.0,0.0
3500,1.5,-0.0,0.0,5.026896,0.000526,5.027084004573899,0.0,0.0,0.0
3500,1.5,-0.0,0.05,5.026333,0.000524,5.026516918552935,0.0,0.0,0.0
3500,1.5,-0.0,0.1,5.025746,0.000522,5.025929762272592,0.0,0.0,0.0
3500,1.5,-0.0,0.15,5.025135,0.00052,5.025322535734153,0.0,0.0,0.0
