teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,2.637026,9.4e-05,2.6369466534426453,0.0,0.0,0.0
15000,1.75,0.0,0.05,2.628602,9.2e-05,2.628522235907747,0.0,0.0,0.0
15000,1.75,0.0,0.1,2.620217,9.1e-05,2.6201379586247806,0.0,0.0,0.0
15000,1.75,0.0,0.15,2.611872,9e-05,2.6117988390805613,0.0,0.0,0.0
15000,1.75,0.0,0.2,2.603568,8.8e-05,2.6034948422937148,0.0,0.0,0.0
15000,1.75,0.0,0.25,2.595305,8.7e-05,2.595236003240547,0.0,0.0,0.0
15000,1.75,0.0,0.3,2.587086,8.5e-05,2.587017304429618,0.0,0.0,0.0
15000,1.75,0.0,0.4,2.570781,8.2e-05,2.570715379990023,0.0,0.0,0.0
15000,1.75,0.0,0.6,2.538741,7.6e-05,2.538688571570875,0.0,0.0,0.0
15000,1.75,0.0,0.8,2.507519,7e-05,2.507469608286681,0.0,0.0,0.0
15000,1.75,0.0,1.0,2.477186,6.3e-05,2.477143761576887,0.0,0.0,0.0
15000,1.75,0.0,1.25,2.440618,5.5e-05,2.4405861746271786,0.0,0.0,0.0
15000,1.75,0.0,1.5,2.405658,4.7e-05,2.405629195236175,0.0,0.0,0.0
15000,1.75,0.1,0.0,2.322583,0.000435,2.324656096641313,0.0,0.0,0.0
15000,1.75,0.1,0.05,2.319605,0.000434,2.3216607173265347,0.0,0.0,0.0
15000,1.75,0.1,0.1,2.316636,0.000433,2.318675349632447,0.0,0.0,0.0
15000,1.75,0.1,0.15,2.313674,0.000432,2.3157000399634597,0.0,0.0,0.0
15000,1.75,0.1,0.2,2.31072,0.000431,2.312724730175487,0.0,0.0,0.0
15000,1.75,0.1,0.25,2.307774,0.00043,2.3097594320987245,0.0,0.0,0.0
15000,1.75,0.1,0.3,2.304836,0.000429,2.3068041919589377,0.0,0.0,0.0
15000,1.75,0.1,0.4,2.298984,0.000427,2.3009087637174033,0.0,0.0,0.0
15000,1.75,0.1,0.6,2.287381,0.000421,2.2892283129346276,0.0,0.0,0.0
15000,1.75,0.1,0.8,2.275919,0.000415,2.2776733422322524,0.0,0.0,0.0
15000,1.75,0.1,1.0,2.264609,0.000407,2.2662688929625334,0.0,0.0,0.0
15000,1.75,0.1,1.25,2.250703,0.000396,2.252235401415788,0.0,0.0,0.0
15000,1.75,0.1,1.5,2.23708,0.000384,2.2384779108568034,0.0,0.0,0.0
15000,1.75,0.2,0.0,2.320415,0.000455,2.322482722044825,0.0,0.0,0.0
15000,1.75,0.2,0.05,2.317494,0.000454,2.3195425126204072,0.0,0.0,0.0
15000,1.75,0.2,0.1,2.31458,0.000453,2.3166173786891893,0.0,0.0,0.0
15000,1.75,0.2,0.15,2.311674,0.000452,2.31369224464088,0.0,0.0,0.0
15000,1.75,0.2,0.2,2.308776,0.000451,2.3107771222921945,0.0,0.0,0.0
15000,1.75,0.2,0.25,2.305886,0.00045,2.3078620229638376,0.0,0.0,0.0
15000,1.75,0.2,0.3,2.303003,0.000449,2.3049669933680597,0.0,0.0,0.0
15000,1.75,0.2,0.4,2.297263,0.000447,2.2991819512918252,0.0,0.0,0.0
15000,1.75,0.2,0.6,2.285882,0.000441,2.28772229568941,0.0,0.0,0.0
15000,1.75,0.2,0.8,2.274641,0.000434,2.276393114610485,0.0,0.0,0.0
15000,1.75,0.2,1.0,2.263551,0.000426,2.2652094601508015,0.0,0.0,0.0
15000,1.75,0.2,1.25,2.249917,0.000414,2.251446938688675,0.0,0.0,0.0
15000,1.75,0.2,1.5,2.236562,0.000401,2.2379604179296577,0.0,0.0,0.0
15000,1.75,0.5,0.0,2.317997,0.000489,2.3200228665398845,0.0,0.0,0.0
15000,1.75,0.5,0.05,2.315183,0.000488,2.3171930660084783,0.0,0.0,0.0
15000,1.75,0.5,0.1,2.312376,0.000487,2.3143682596792394,0.0,0.0,0.0
15000,1.75,0.5,0.15,2.309576,0.000486,2.3115484938684547,0.0,0.0,0.0
15000,1.75,0.5,0.2,2.306785,0.000485,2.3087387628635745,0.0,0.0,0.0
15000,1.75,0.5,0.25,2.304002,0.000484,2.305939066665046,0.0,0.0,0.0
15000,1.75,0.5,0.3,2.301226,0.000483,2.303149405273704,0.0,0.0,0.0
15000,1.75,0.5,0.4,2.2957,0.00048,2.29757512259191,0.0,0.0,0.0
15000,1.75,0.5,0.6,2.284747,0.000474,2.2865419571428705,0.0,0.0,0.0
15000,1.75,0.5,0.8,2.273934,0.000467,2.275644306441989,0.0,0.0,0.0
15000,1.75,0.5,1.0,2.26327,0.000458,2.2648871873460044,0.0,0.0,0.0
15000,1.75,0.5,1.25,2.250166,0.000445,2.2516565463854485,0.0,0.0,0.0
15000,1.75,0.5,1.5,2.237335,0.000431,2.2386969108475574,0.0,0.0,0.0
15000,1.75,1.0,0.0,2.317161,0.000519,2.319123674577968,0.0,0.0,0.0
15000,1.75,1.0,0.05,2.314454,0.000518,2.3163992419228965,0.0,0.0,0.0
15000,1.75,1.0,0.1,2.311755,0.000517,2.3136848440726716,0.0,0.0,0.0
15000,1.75,1.0,0.15,2.309063,0.000516,2.310970446113822,0.0,0.0,0.0
15000,1.75,1.0,0.2,2.306379,0.000515,2.308266082960656,0.0,0.0,0.0
15000,1.75,1.0,0.25,2.303704,0.000514,2.3055717546137284,0.0,0.0,0.0
15000,1.75,1.0,0.3,2.301036,0.000513,2.302887461073542,0.0,0.0,0.0
15000,1.75,1.0,0.4,2.295725,0.00051,2.2975339490188955,0.0,0.0,0.0
15000,1.75,1.0,0.6,2.285204,0.000504,2.286932335661506,0.0,0.0,0.0
15000,1.75,1.0,0.8,2.274822,0.000496,2.2764561789930817,0.0,0.0,0.0
15000,1.75,1.0,1.0,2.264589,0.000487,2.266125548586218,0.0,0.0,0.0
15000,1.75,1.0,1.25,2.252021,0.000473,2.2534318492719363,0.0,0.0,0.0
15000,1.75,1.0,1.5,2.239719,0.000458,2.2409990750400004,0.0,0.0,0.0
15000,1.75,2.0,0.0,2.317035,0.000548,2.3188918976322825,0.0,0.0,0.0
15000,1.75,2.0,0.05,2.314454,0.000547,2.3162878850292863,0.0,0.0,0.0
15000,1.75,2.0,0.1,2.311881,0.000546,2.3136989246864252,0.0,0.0,0.0
15000,1.75,2.0,0.15,2.309315,0.000545,2.311109964240009,0.0,0.0,0.0
15000,1.75,2.0,0.2,2.306758,0.000544,2.3085310616855583,0.0,0.0,0.0
15000,1.75,2.0,0.25,2.304208,0.000542,2.3059621708268323,0.0,0.0,0.0
15000,1.75,2.0,0.3,2.301666,0.000541,2.3033983203547064,0.0,0.0,0.0
15000,1.75,2.0,0.4,2.296607,0.000538,2.2982956832440418,0.0,0.0,0.0
15000,1.75,2.0,0.6,2.286589,0.000531,2.288185807802262,0.0,0.0,0.0
15000,1.75,2.0,0.8,2.276709,0.000523,2.278206406391821,0.0,0.0,0.0
15000,1.75,2.0,1.0,2.266975,0.000513,2.2683725538251522,0.0,0.0,0.0
15000,1.75,2.0,1.25,2.255026,0.000499,2.256296029541515,0.0,0.0,0.0
15000,1.75,2.0,1.5,2.243335,0.000483,2.244465422813802,0.0,0.0,0.0
15000,2.0,0.0,0.0,2.823223,0.00029,2.8230970045390618,0.0,0.0,0.0
15000,2.0,0.0,0.05,2.809382,0.000286,2.8092587294568117,0.0,0.0,0.0
15000,2.0,0.0,0.1,2.795626,0.000282,2.7955107975791598,0.0,0.0,0.0
15000,2.0,0.0,0.15,2.781958,0.000278,2.7818481353699904,0.0,0.0,0.0
15000,2.0,0.0,0.2,2.76838,0.000274,2.768270798600302,0.0,0.0,0.0
15000,2.0,0.0,0.25,2.754893,0.000269,2.7547837492467777,0.0,0.0,0.0
15000,2.0,0.0,0.3,2.741499,0.000265,2.741397077502515,0.0,0.0,0.0
15000,2.0,0.0,0.4,2.714997,0.000257,2.7148946517357957,0.0,0.0,0.0
15000,2.0,0.0,0.6,2.663187,0.000241,2.6630990714888148,0.0,0.0,0.0
15000,2.0,0.0,0.8,2.613061,0.000224,2.6129843519493505,0.0,0.0,0.0
15000,2.0,0.0,1.0,2.564721,0.000207,2.564650868204076,0.0,0.0,0.0
15000,2.0,0.0,1.25,2.50695,0.000187,2.5068945311328963,0.0,0.0,0.0
15000,2.0,0.0,1.5,2.452277,0.000167,2.4522290164718603,0.0,0.0,0.0
15000,2.0,0.1,0.0,2.293797,0.000506,2.2954650808152235,0.0,0.0,0.0
15000,2.0,0.1,0.05,2.289141,0.000505,2.2907888825219263,0.0,0.0,0.0
15000,2.0,0.1,0.1,2.284512,0.000503,2.286142765811513,0.0,0.0,0.0
15000,2.0,0.1,0.15,2.279909,0.000502,2.2815217361865248,0.0,0.0,0.0
15000,2.0,0.1,0.2,2.275334,0.0005,2.276925816417566,0.0,0.0,0.0
15000,2.0,0.1,0.25,2.270785,0.000499,2.272360001100192,0.0,0.0,0.0
15000,2.0,0.1,0.3,2.266264,0.000497,2.267824290236909,0.0,0.0,0.0
15000,2.0,0.1,0.4,2.257303,0.000494,2.2588180946086585,0.0,0.0,0.0
15000,2.0,0.1,0.6,2.239717,0.000487,2.241151926957108,0.0,0.0,0.0
15000,2.0,0.1,0.8,2.222589,0.000478,2.2239323305615795,0.0,0.0,0.0
15000,2.0,0.1,1.0,2.205932,0.000469,2.207184436522118,0.0,0.0,0.0
15000,2.0,0.1,1.25,2.185798,0.000456,2.1869194080449326,0.0,0.0,0.0
15000,2.0,0.1,1.5,2.166455,0.000441,2.1674521900447465,0.0,0.0,0.0
15000,2.0,0.2,0.0,2.288612,0.000525,2.290316394423331,0.0,0.0,0.0
15000,2.0,0.2,0.05,2.284017,0.000524,2.2857004069933424,0.0,0.0,0.0
15000,2.0,0.2,0.1,2.279449,0.000523,2.2811145011899656,0.0,0.0,0.0
15000,2.0,0.2,0.15,2.274908,0.000521,2.2765537052315334,0.0,0.0,0.0
15000,2.0,0.2,0.2,2.270393,0.00052,2.2720280084479723,0.0,0.0,0.0
15000,2.0,0.2,0.25,2.265906,0.000518,2.267517386517284,0.0,0.0,0.0
15000,2.0,0.2,0.3,2.261445,0.000517,2.263036869033502,0.0,0.0,0.0
15000,2.0,0.2,0.4,2.252607,0.000513,2.254161129965348,0.0,0.0,0.0
15000,2.0,0.2,0.6,2.235265,0.000506,2.236735827871129,0.0,0.0,0.0
15000,2.0,0.2,0.8,2.218378,0.000497,2.2197570965622266,0.0,0.0,0.0
15000,2.0,0.2,1.0,2.20196,0.000487,2.203250045040605,0.0,0.0,0.0
15000,2.0,0.2,1.25,2.182121,0.000473,2.1832861132499555,0.0,0.0,0.0
15000,2.0,0.2,1.5,2.163068,0.000458,2.1641049169649476,0.0,0.0,0.0
15000,2.0,0.5,0.0,2.279503,0.000558,2.2812687190759102,0.0,0.0,0.0
15000,2.0,0.5,0.05,2.275039,0.000557,2.2767881821940015,0.0,0.0,0.0
15000,2.0,0.5,0.1,2.270601,0.000555,2.2723327551048413,0.0,0.0,0.0
15000,2.0,0.5,0.15,2.266189,0.000554,2.2678973975480012,0.0,0.0,0.0
15000,2.0,0.5,0.2,2.261804,0.000552,2.263497161875584,0.0,0.0,0.0
15000,2.0,0.5,0.25,2.257446,0.000551,2.2591220131902174,0.0,0.0,0.0
15000,2.0,0.5,0.3,2.253116,0.000549,2.254766934043688,0.0,0.0,0.0
15000,2.0,0.5,0.4,2.244535,0.000546,2.246152128991365,0.0,0.0,0.0
15000,2.0,0.5,0.6,2.227705,0.000538,2.2292386147078087,0.0,0.0,0.0
15000,2.0,0.5,0.8,2.211325,0.000528,2.2127666978585308,0.0,0.0,0.0
15000,2.0,0.5,1.0,2.195408,0.000518,2.1967564030643287,0.0,0.0,0.0
15000,2.0,0.5,1.25,2.176183,0.000503,2.177409647961262,0.0,0.0,0.0
15000,2.0,0.5,1.5,2.157727,0.000486,2.158825579625716,0.0,0.0,0.0
15000,2.0,1.0,0.0,2.270595,0.000586,2.2723768214095115,0.0,0.0,0.0
15000,2.0,1.0,0.05,2.266275,0.000584,2.268041792252733,0.0,0.0,0.0
15000,2.0,1.0,0.1,2.261981,0.000583,2.263731872797738,0.0,0.0,0.0
15000,2.0,1.0,0.15,2.257713,0.000581,2.259442022875174,0.0,0.0,0.0
15000,2.0,1.0,0.2,2.253472,0.00058,2.2551822999344893,0.0,0.0,0.0
15000,2.0,1.0,0.25,2.249257,0.000578,2.2509476413843275,0.0,0.0,0.0
15000,2.0,1.0,0.3,2.245068,0.000576,2.2467430872695404,0.0,0.0,0.0
15000,2.0,1.0,0.4,2.23677,0.000572,2.238404244947502,0.0,0.0,0.0
15000,2.0,1.0,0.6,2.220499,0.000564,2.222047717997891,0.0,0.0,0.0
15000,2.0,1.0,0.8,2.204669,0.000554,2.206127748105874,0.0,0.0,0.0
15000,2.0,1.0,1.0,2.189288,0.000543,2.19065434754812,0.0,0.0,0.0
15000,2.0,1.0,1.25,2.170715,0.000527,2.1719599105389618,0.0,0.0,0.0
15000,2.0,1.0,1.5,2.152887,0.000509,2.154003072250157,0.0,0.0,0.0
15000,2.0,2.0,0.0,2.259556,0.00061,2.2612873356181153,0.0,0.0,0.0
15000,2.0,2.0,0.05,2.255419,0.000608,2.257132958622743,0.0,0.0,0.0
15000,2.0,2.0,0.1,2.251308,0.000607,2.253003668606009,0.0,0.0,0.0
15000,2.0,2.0,0.15,2.247222,0.000605,2.2488944706136205,0.0,0.0,0.0
15000,2.0,2.0,0.2,2.243161,0.000603,2.2448153545202403,0.0,0.0,0.0
15000,2.0,2.0,0.25,2.239125,0.000601,2.2407613478203734,0.0,0.0,0.0
15000,2.0,2.0,0.3,2.235115,0.000599,2.2367274105815795,0.0,0.0,0.0
15000,2.0,2.0,0.4,2.22717,0.000595,2.2287448317306175,0.0,0.0,0.0
15000,2.0,2.0,0.6,2.21159,0.000586,2.213080739181651,0.0,0.0,0.0
15000,2.0,2.0,0.8,2.196428,0.000576,2.197823098588731,0.0,0.0,0.0
15000,2.0,2.0,1.0,2.181692,0.000564,2.182996996516275,0.0,0.0,0.0
15000,2.0,2.0,1.25,2.163887,0.000547,2.1650702769087813,0.0,0.0,0.0
15000,2.0,2.0,1.5,2.146785,0.000528,2.147835998309242,0.0,0.0,0.0
15000,2.25,0.0,0.0,2.939516,0.000407,2.9393699870024643,0.0,0.0,0.0
