teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,2.062241,2.9e-05,2.0622611393224135,0.0,0.0,0.0
15000,1.75,0.0,0.05,2.04654,3e-05,2.0465613094490585,0.0,0.0,0.0
15000,1.75,0.0,0.1,2.031234,3e-05,2.0312578626389275,0.0,0.0,0.0
15000,1.75,0.0,0.15,2.016335,3.1e-05,2.016355816304025,0.0,0.0,0.0
15000,1.75,0.0,0.2,2.001852,3.2e-05,2.0018752603213894,0.0,0.0,0.0
15000,1.75,0.0,0.25,1.987795,3.2e-05,1.9878161743152754,0.0,0.0,0.0
15000,1.75,0.0,0.3,1.974168,3.3e-05,1.9741936106692024,0.0,0.0,0.0
15000,1.75,0.0,0.4,1.948223,3.4e-05,1.9482480347140043,0.0,0.0,0.0
15000,1.75,0.0,0.6,1.901577,3.7e-05,1.9016052008259692,0.0,0.0,0.0
15000,1.75,0.0,0.8,1.861718,4.1e-05,1.8617511078054025,0.0,0.0,0.0
15000,1.75,0.0,1.0,1.828129,4.4e-05,1.8281689112367105,0.0,0.0,0.0
15000,1.75,0.0,1.25,1.793867,4.8e-05,1.7939143977867882,0.0,0.0,0.0
15000,1.75,0.0,1.5,1.766747,5.2e-05,1.7667998164076915,0.0,0.0,0.0
15000,1.75,0.1,0.0,2.04299,0.000153,2.0433081819590067,0.0,0.0,0.0
15000,1.75,0.1,0.05,2.030573,0.000148,2.0308648742366637,0.0,0.0,0.0
15000,1.75,0.1,0.1,2.018534,0.000143,2.018797876969486,0.0,0.0,0.0
15000,1.75,0.1,0.15,2.006883,0.000138,2.0071222426180895,0.0,0.0,0.0
15000,1.75,0.1,0.2,1.995632,0.000134,1.9958429886857787,0.0,0.0,0.0
15000,1.75,0.1,0.25,1.984787,0.000129,1.9849751676355092,0.0,0.0,0.0
15000,1.75,0.1,0.3,1.974357,0.000125,1.974523816716867,0.0,0.0,0.0
15000,1.75,0.1,0.4,1.954756,0.000118,1.9548754634800294,0.0,0.0,0.0
15000,1.75,0.1,0.6,1.920628,0.000106,1.9206714746877172,0.0,0.0,0.0
15000,1.75,0.1,0.8,1.893105,9.9e-05,1.8930905735574883,0.0,0.0,0.0
15000,1.75,0.1,1.0,1.871719,9.6e-05,1.8716560630658614,0.0,0.0,0.0
15000,1.75,0.1,1.25,1.852554,9.6e-05,1.8524443117347482,0.0,0.0,0.0
15000,1.75,0.1,1.5,1.840334,0.0001,1.8401968222450225,0.0,0.0,0.0
15000,1.75,0.2,0.0,2.040387,0.000159,2.0407188565974037,0.0,0.0,0.0
15000,1.75,0.2,0.05,2.028042,0.000153,2.028345795388982,0.0,0.0,0.0
15000,1.75,0.2,0.1,2.016068,0.000148,2.0163440472670757,0.0,0.0,0.0
15000,1.75,0.2,0.15,2.004475,0.000143,2.004723626815033,0.0,0.0,0.0
15000,1.75,0.2,0.2,1.993275,0.000138,1.9934995665693231,0.0,0.0,0.0
15000,1.75,0.2,0.25,1.982475,0.000133,1.9826769240229785,0.0,0.0,0.0
15000,1.75,0.2,0.3,1.972083,0.000129,1.9722556791648975,0.0,0.0,0.0
15000,1.75,0.2,0.4,1.952541,0.000121,1.9526725554055935,0.0,0.0,0.0
15000,1.75,0.2,0.6,1.918468,0.000108,1.9185238203547454,0.0,0.0,0.0
15000,1.75,0.2,0.8,1.890932,0.0001,1.8909278879599545,0.0,0.0,0.0
15000,1.75,0.2,1.0,1.869483,9.6e-05,1.8694281704286742,0.0,0.0,0.0
15000,1.75,0.2,1.25,1.850195,9.6e-05,1.8500960191618125,0.0,0.0,0.0
15000,1.75,0.2,1.5,1.837823,9.9e-05,1.8376929882244528,0.0,0.0,0.0
15000,1.75,0.5,0.0,2.036315,0.000167,2.0366492335351167,0.0,0.0,0.0
15000,1.75,0.5,0.05,2.024085,0.000161,2.0243966146694237,0.0,0.0,0.0
15000,1.75,0.5,0.1,2.012212,0.000156,2.012495218501727,0.0,0.0,0.0
15000,1.75,0.5,0.15,2.000707,0.00015,2.0009651349840984,0.0,0.0,0.0
15000,1.75,0.5,0.2,1.989583,0.000145,1.989816358975108,0.0,0.0,0.0
15000,1.75,0.5,0.25,1.978848,0.00014,1.979058965380906,0.0,0.0,0.0
15000,1.75,0.5,0.3,1.968508,0.000135,1.968697932029858,0.0,0.0,0.0
15000,1.75,0.5,0.4,1.949041,0.000126,1.9491901127801874,0.0,0.0,0.0
15000,1.75,0.5,0.6,1.915004,0.000111,1.9150715259527273,0.0,0.0,0.0
15000,1.75,0.5,0.8,1.887389,0.000102,1.8873953362369489,0.0,0.0,0.0
15000,1.75,0.5,1.0,1.865779,9.7e-05,1.865740116567774,0.0,0.0,0.0
15000,1.75,0.5,1.25,1.846218,9.7e-05,1.846137059964061,0.0,0.0,0.0
15000,1.75,0.5,1.5,1.833536,9.9e-05,1.833417965066844,0.0,0.0,0.0
15000,1.75,1.0,0.0,2.032997,0.000176,2.033327317885724,0.0,0.0,0.0
15000,1.75,1.0,0.05,2.020869,0.000169,2.0211750707474825,0.0,0.0,0.0
15000,1.75,1.0,0.1,2.009085,0.000163,2.0093640110636604,0.0,0.0,0.0
15000,1.75,1.0,0.15,1.997657,0.000157,1.9979142087835269,0.0,0.0,0.0
15000,1.75,1.0,0.2,1.986595,0.000151,1.9868306814274888,0.0,0.0,0.0
15000,1.75,1.0,0.25,1.975911,0.000146,1.9761234639944683,0.0,0.0,0.0
15000,1.75,1.0,0.3,1.965612,0.00014,1.9658025914850032,0.0,0.0,0.0
15000,1.75,1.0,0.4,1.946191,0.000131,1.9463399513343518,0.0,0.0,0.0
15000,1.75,1.0,0.6,1.912137,0.000115,1.9122163698457162,0.0,0.0,0.0
15000,1.75,1.0,0.8,1.88439,0.000104,1.8844097848995085,0.0,0.0,0.0
15000,1.75,1.0,1.0,1.862568,9.9e-05,1.8625438510629828,0.0,0.0,0.0
15000,1.75,1.0,1.25,1.842679,9.7e-05,1.8426096601043687,0.0,0.0,0.0
15000,1.75,1.0,1.5,1.829641,9.9e-05,1.8295343426541233,0.0,0.0,0.0
15000,1.75,2.0,0.0,2.029538,0.000183,2.029839867267822,0.0,0.0,0.0
15000,1.75,2.0,0.05,2.01754,0.000176,2.0178180963651027,0.0,0.0,0.0
15000,1.75,2.0,0.1,2.005867,0.00017,2.0061224401520765,0.0,0.0,0.0
15000,1.75,2.0,0.15,1.994533,0.000163,1.9947629738673984,0.0,0.0,0.0
15000,1.75,2.0,0.2,1.98355,0.000157,1.9837597472896973,0.0,0.0,0.0
15000,1.75,2.0,0.25,1.972929,0.000151,1.9731227756948435,0.0,0.0,0.0
15000,1.75,2.0,0.3,1.962678,0.000146,1.9628520987030746,0.0,0.0,0.0
15000,1.75,2.0,0.4,1.943312,0.000135,1.9434496896221347,0.0,0.0,0.0
15000,1.75,2.0,0.6,1.909226,0.000118,1.9093010619070747,0.0,0.0,0.0
15000,1.75,2.0,0.8,1.881295,0.000106,1.8813138683114015,0.0,0.0,0.0
15000,1.75,2.0,1.0,1.859185,0.0001,1.8591619764337557,0.0,0.0,0.0
15000,1.75,2.0,1.25,1.83885,9.8e-05,1.8387812486065076,0.0,0.0,0.0
15000,1.75,2.0,1.5,1.825323,9.9e-05,1.825224252969149,0.0,0.0,0.0
15000,2.0,0.0,0.0,2.047714,7e-06,2.04773488866958,0.0,0.0,0.0
15000,2.0,0.0,0.05,2.028997,8e-06,2.0290145403531197,0.0,0.0,0.0
15000,2.0,0.0,0.1,2.010856,1e-05,2.0108762221634984,0.0,0.0,0.0
15000,2.0,0.0,0.15,1.993301,1.1e-05,1.993319953929442,0.0,0.0,0.0
15000,2.0,0.0,0.2,1.976339,1.3e-05,1.9763607479532186,0.0,0.0,0.0
15000,2.0,0.0,0.25,1.959975,1.5e-05,1.9599986438364614,0.0,0.0,0.0
15000,2.0,0.0,0.3,1.944212,1.6e-05,1.9442336215562597,0.0,0.0,0.0
15000,2.0,0.0,0.4,1.914486,1.9e-05,1.9145149112128144,0.0,0.0,0.0
15000,2.0,0.0,0.6,1.862104,2.6e-05,1.8621321383625293,0.0,0.0,0.0
15000,2.0,0.0,0.8,1.818623,3.2e-05,1.8186604779902256,0.0,0.0,0.0
15000,2.0,0.0,1.0,1.783108,3.7e-05,1.7831466020760227,0.0,0.0,0.0
15000,2.0,0.0,1.25,1.748197,4.4e-05,1.7482448823487358,0.0,0.0,0.0
15000,2.0,0.0,1.5,1.721733,5e-05,1.7217826344242482,0.0,0.0,0.0
15000,2.0,0.1,0.0,2.009748,0.000176,2.0099158732204963,0.0,0.0,0.0
15000,2.0,0.1,0.05,1.995364,0.000169,1.9955057399729201,0.0,0.0,0.0
15000,2.0,0.1,0.1,1.981527,0.000163,1.9816525458089345,0.0,0.0,0.0
15000,2.0,0.1,0.15,1.968245,0.000157,1.968346275507985,0.0,0.0,0.0
15000,2.0,0.1,0.2,1.955526,0.000151,1.9556069595341872,0.0,0.0,0.0
15000,2.0,0.1,0.25,1.943374,0.000146,1.943439654666996,0.0,0.0,0.0
15000,2.0,0.1,0.3,1.931791,0.00014,1.9318393044953885,0.0,0.0,0.0
15000,2.0,0.1,0.4,1.910334,0.000131,1.9103496002743796,0.0,0.0,0.0
15000,2.0,0.1,0.6,1.874133,0.000115,1.8740935845268585,0.0,0.0,0.0
15000,2.0,0.1,0.8,1.846401,0.000105,1.8463220974780996,0.0,0.0,0.0
15000,2.0,0.1,1.0,1.82626,0.0001,1.826152085267139,0.0,0.0,0.0
15000,2.0,0.1,1.25,1.810106,9.9e-05,1.8099760184648255,0.0,0.0,0.0
15000,2.0,0.1,1.5,1.801901,0.000102,1.8017626361746515,0.0,0.0,0.0
15000,2.0,0.2,0.0,2.005549,0.000181,2.0057360343152473,0.0,0.0,0.0
15000,2.0,0.2,0.05,1.991211,0.000174,1.9913760976352908,0.0,0.0,0.0
15000,2.0,0.2,0.1,1.977415,0.000168,1.977558027482926,0.0,0.0,0.0
15000,2.0,0.2,0.15,1.964171,0.000161,1.9642918985605369,0.0,0.0,0.0
15000,2.0,0.2,0.2,1.951486,0.000155,1.9515877259741492,0.0,0.0,0.0
15000,2.0,0.2,0.25,1.939364,0.00015,1.9394455097909984,0.0,0.0,0.0
15000,2.0,0.2,0.3,1.927808,0.000144,1.9278702675560568,0.0,0.0,0.0
15000,2.0,0.2,0.4,1.906394,0.000134,1.906425722679597,0.0,0.0,0.0
15000,2.0,0.2,0.6,1.870245,0.000117,1.8702199038171015,0.0,0.0,0.0
15000,2.0,0.2,0.8,1.84253,0.000106,1.8424635082900318,0.0,0.0,0.0
15000,2.0,0.2,1.0,1.822382,0.000101,1.8222834804155517,0.0,0.0,0.0
15000,2.0,0.2,1.25,1.806198,9.9e-05,1.8060773092424258,0.0,0.0,0.0
15000,2.0,0.2,1.5,1.797951,0.000102,1.7978188056444215,0.0,0.0,0.0
15000,2.0,0.5,0.0,1.997918,0.00019,1.9981491909764193,0.0,0.0,0.0
15000,2.0,0.5,0.05,1.983665,0.000183,1.9838695366109533,0.0,0.0,0.0
15000,2.0,0.5,0.1,1.969945,0.000176,1.9701267509661444,0.0,0.0,0.0
15000,2.0,0.5,0.15,1.956768,0.000169,1.9569308886270451,0.0,0.0,0.0
15000,2.0,0.5,0.2,1.944141,0.000163,1.9442819103938216,0.0,0.0,0.0
15000,2.0,0.5,0.25,1.93207,0.000156,1.9321898903079198,0.0,0.0,0.0
15000,2.0,0.5,0.3,1.920557,0.00015,1.9206598071524281,0.0,0.0,0.0
15000,2.0,0.5,0.4,1.899209,0.000139,1.899275513264813,0.0,0.0,0.0
15000,2.0,0.5,0.6,1.86312,0.000121,1.8631299460450246,0.0,0.0,0.0
15000,2.0,0.5,0.8,1.83539,0.000109,1.8353485025842915,0.0,0.0,0.0
15000,2.0,0.5,1.0,1.815176,0.000102,1.8151032669842648,0.0,0.0,0.0
15000,2.0,0.5,1.25,1.798867,0.0001,1.7987666959238464,0.0,0.0,0.0
