teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,1.702436,5.2e-05,1.7024501902568214,0.0,0.0,0.0
15000,1.75,0.0,0.05,1.702147,5.2e-05,1.7021642110603121,0.0,0.0,0.0
15000,1.75,0.0,0.1,1.701859,5.3e-05,1.7018782148391447,0.0,0.0,0.0
15000,1.75,0.0,0.15,1.701572,5.4e-05,1.701587218156599,0.0,0.0,0.0
15000,1.75,0.0,0.2,1.701287,5.4e-05,1.7013012219324792,0.0,0.0,0.0
15000,1.75,0.0,0.25,1.701004,5.5e-05,1.7010252776741184,0.0,0.0,0.0
15000,1.75,0.0,0.3,1.700725,5.6e-05,1.7007392984548257,0.0,0.0,0.0
15000,1.75,0.0,0.4,1.700179,5.8e-05,1.7001974278637382,0.0,0.0,0.0
15000,1.75,0.0,0.6,1.69916,6.1e-05,1.6991739133754422,0.0,0.0,0.0
15000,1.75,0.0,0.8,1.698285,6.5e-05,1.6983009401507558,0.0,0.0,0.0
15000,1.75,0.0,1.0,1.697613,6.9e-05,1.6976336834671917,0.0,0.0,0.0
15000,1.75,0.0,1.25,1.69716,7.6e-05,1.697182212250437,0.0,0.0,0.0
15000,1.75,0.0,1.5,1.697261,8.2e-05,1.6972826806336252,0.0,0.0,0.0
15000,1.75,0.1,0.0,1.776734,0.000133,1.7769270611684276,0.0,0.0,0.0
15000,1.75,0.1,0.05,1.778135,0.000135,1.7783370098624307,0.0,0.0,0.0
15000,1.75,0.1,0.1,1.779539,0.000137,1.779746958612863,0.0,0.0,0.0
15000,1.75,0.1,0.15,1.780945,0.000138,1.7811569074197797,0.0,0.0,0.0
15000,1.75,0.1,0.2,1.782353,0.00014,1.782571873767992,0.0,0.0,0.0
15000,1.75,0.1,0.25,1.783761,0.000142,1.7839918576575555,0.0,0.0,0.0
15000,1.75,0.1,0.3,1.785168,0.000144,1.7854018066338706,0.0,0.0,0.0
15000,1.75,0.1,0.4,1.787976,0.000147,1.7882317397262446,0.0,0.0,0.0
15000,1.75,0.1,0.6,1.793539,0.000154,1.7938213617912626,0.0,0.0,0.0
15000,1.75,0.1,0.8,1.798972,0.000162,1.7992955825715615,0.0,0.0,0.0
15000,1.75,0.1,1.0,1.804207,0.00017,1.8045641053293986,0.0,0.0,0.0
15000,1.75,0.1,1.25,1.810371,0.000179,1.8107759527972977,0.0,0.0,0.0
15000,1.75,0.1,1.5,1.815996,0.000189,1.8164509304587981,0.0,0.0,0.0
15000,1.75,0.2,0.0,1.774183,0.000132,1.7743529674461116,0.0,0.0,0.0
15000,1.75,0.2,0.05,1.77556,0.000133,1.7757378285690557,0.0,0.0,0.0
15000,1.75,0.2,0.1,1.776941,0.000135,1.777122689747315,0.0,0.0,0.0
15000,1.75,0.2,0.15,1.778323,0.000137,1.7785125862506717,0.0,0.0,0.0
15000,1.75,0.2,0.2,1.779707,0.000138,1.7799074825229413,0.0,0.0,0.0
15000,1.75,0.2,0.25,1.781092,0.00014,1.7812973613662717,0.0,0.0,0.0
15000,1.75,0.2,0.3,1.782475,0.000142,1.7826922577498392,0.0,0.0,0.0
15000,1.75,0.2,0.4,1.785236,0.000146,1.7854720157147455,0.0,0.0,0.0
15000,1.75,0.2,0.6,1.790704,0.000153,1.7909763578826052,0.0,0.0,0.0
15000,1.75,0.2,0.8,1.796043,0.000161,1.7963502284458477,0.0,0.0,0.0
15000,1.75,0.2,1.0,1.801188,0.000169,1.8015334534089749,0.0,0.0,0.0
15000,1.75,0.2,1.25,1.807244,0.000178,1.8076399510868184,0.0,0.0,0.0
15000,1.75,0.2,1.5,1.812769,0.000188,1.8132195959156376,0.0,0.0,0.0
15000,1.75,0.5,0.0,1.77009,0.000129,1.7702284539073487,0.0,0.0,0.0
15000,1.75,0.5,0.05,1.771418,0.000131,1.7715631399991385,0.0,0.0,0.0
15000,1.75,0.5,0.1,1.77275,0.000133,1.7729028613575364,0.0,0.0,0.0
15000,1.75,0.5,0.15,1.774084,0.000134,1.7742475825375432,0.0,0.0,0.0
15000,1.75,0.5,0.2,1.775419,0.000136,1.7755872862873303,0.0,0.0,0.0
15000,1.75,0.5,0.25,1.776754,0.000138,1.7769320075749588,0.0,0.0,0.0
15000,1.75,0.5,0.3,1.778089,0.00014,1.7782767289162866,0.0,0.0,0.0
15000,1.75,0.5,0.4,1.780753,0.000144,1.780961172085715,0.0,0.0,0.0
15000,1.75,0.5,0.6,1.78603,0.000151,1.7862798665157644,0.0,0.0,0.0
15000,1.75,0.5,0.8,1.791185,0.000159,1.7914681072806942,0.0,0.0,0.0
15000,1.75,0.5,1.0,1.796152,0.000167,1.7964807369713056,0.0,0.0,0.0
15000,1.75,0.5,1.25,1.802,0.000177,1.8023815167279975,0.0,0.0,0.0
