teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,1.755708,0.000134,1.7557028347682027,0.0,0.0,0.0
15000,1.75,0.0,0.05,1.754128,0.000137,1.7541222793037188,0.0,0.0,0.0
15000,1.75,0.0,0.1,1.752501,0.00014,1.752496549187629,0.0,0.0,0.0
15000,1.75,0.0,0.15,1.750827,0.000143,1.7508206620221618,0.0,0.0,0.0
15000,1.75,0.0,0.2,1.749104,0.000146,1.7490996002478698,0.0,0.0,0.0
15000,1.75,0.0,0.25,1.747333,0.000149,1.7473283639271666,0.0,0.0,0.0
15000,1.75,0.0,0.3,1.745513,0.000152,1.7455069705207107,0.0,0.0,0.0
15000,1.75,0.0,0.4,1.741726,0.000158,1.7417236600979846,0.0,0.0,0.0
15000,1.75,0.0,0.6,1.73355,0.00017,1.733544927420481,0.0,0.0,0.0
15000,1.75,0.0,0.8,1.724557,0.000182,1.7245533331526375,0.0,0.0,0.0
15000,1.75,0.0,1.0,1.714728,0.000195,1.714718807751209,0.0,0.0,0.0
15000,1.75,0.0,1.25,1.70124,0.000212,1.70123650388999,0.0,0.0,0.0
15000,1.75,0.0,1.5,1.686392,0.000229,1.6863894391029524,0.0,0.0,0.0
15000,1.75,0.1,0.0,1.876193,0.000101,1.875976396016679,0.0,0.0,0.0
15000,1.75,0.1,0.05,1.878322,0.000101,1.8781038272633535,0.0,0.0,0.0
15000,1.75,0.1,0.1,1.880454,0.000101,1.880231239750222,0.0,0.0,0.0
15000,1.75,0.1,0.15,1.882591,0.000101,1.8823687060253425,0.0,0.0,0.0
15000,1.75,0.1,0.2,1.884732,0.000101,1.8845061723432441,0.0,0.0,0.0
15000,1.75,0.1,0.25,1.886876,0.000101,1.8866486373198623,0.0,0.0,0.0
15000,1.75,0.1,0.3,1.889024,0.000101,1.8887961386667111,0.0,0.0,0.0
15000,1.75,0.1,0.4,1.89333,0.000101,1.8931011575235444,0.0,0.0,0.0
15000,1.75,0.1,0.6,1.901973,0.000101,1.9017413194083386,0.0,0.0,0.0
15000,1.75,0.1,0.8,1.910647,0.000101,1.9104115676039588,0.0,0.0,0.0
15000,1.75,0.1,1.0,1.919339,0.000101,1.919106903560647,0.0,0.0,0.0
15000,1.75,0.1,1.25,1.930208,0.000101,1.9299698117917414,0.0,0.0,0.0
15000,1.75,0.1,1.5,1.941054,0.000101,1.9408126313338139,0.0,0.0,0.0
15000,1.75,0.2,0.0,1.871871,0.0001,1.871641253936646,0.0,0.0,0.0
15000,1.75,0.2,0.05,1.873973,0.0001,1.8737435976867387,0.0,0.0,0.0
15000,1.75,0.2,0.1,1.87608,0.0001,1.8758509589608023,0.0,0.0,0.0
15000,1.75,0.2,0.15,1.87819,0.0001,1.8779583014975099,0.0,0.0,0.0
15000,1.75,0.2,0.2,1.880305,0.0001,1.8800706803172142,0.0,0.0,0.0
15000,1.75,0.2,0.25,1.882423,0.0001,1.8821880766613912,0.0,0.0,0.0
15000,1.75,0.2,0.3,1.884545,0.000101,1.8843104716871795,0.0,0.0,0.0
15000,1.75,0.2,0.4,1.888798,0.000101,1.888560316992568,0.0,0.0,0.0
15000,1.75,0.2,0.6,1.897338,0.000101,1.8971001100319076,0.0,0.0,0.0
15000,1.75,0.2,0.8,1.90591,0.000101,1.9056700083087705,0.0,0.0,0.0
15000,1.75,0.2,1.0,1.9145,0.000101,1.914254978519187,0.0,0.0,0.0
15000,1.75,0.2,1.25,1.925244,0.0001,1.9249974476556422,0.0,0.0,0.0
15000,1.75,0.2,1.5,1.935967,0.0001,1.9357148491642917,0.0,0.0,0.0
15000,1.75,0.5,0.0,1.86401,9.9e-05,1.8637637510798475,0.0,0.0,0.0
15000,1.75,0.5,0.05,1.866062,9.9e-05,1.8658159198674698,0.0,0.0,0.0
15000,1.75,0.5,0.1,1.868118,9.9e-05,1.8678680886963137,0.0,0.0,0.0
15000,1.75,0.5,0.15,1.870179,9.9e-05,1.8699302738310084,0.0,0.0,0.0
15000,1.75,0.5,0.2,1.872244,9.9e-05,1.87199247768568,0.0,0.0,0.0
15000,1.75,0.5,0.25,1.874312,9.9e-05,1.8740596990639888,0.0,0.0,0.0
15000,1.75,0.5,0.3,1.876384,9.9e-05,1.8761369366864833,0.0,0.0,0.0
15000,1.75,0.5,0.4,1.880539,9.9e-05,1.8802864320552333,0.0,0.0,0.0
15000,1.75,0.5,0.6,1.888882,9.9e-05,1.8886305428601302,0.0,0.0,0.0
15000,1.75,0.5,0.8,1.89726,9.9e-05,1.8969997414111102,0.0,0.0,0.0
15000,1.75,0.5,1.0,1.905661,9.9e-05,1.905399064246689,0.0,0.0,0.0
15000,1.75,0.5,1.25,1.916171,9.9e-05,1.9159107286780412,0.0,0.0,0.0
15000,1.75,0.5,1.5,1.926666,9.9e-05,1.9264023428626769,0.0,0.0,0.0
15000,1.75,1.0,0.0,1.85593,9.8e-05,1.8556654794949887,0.0,0.0,0.0
15000,1.75,1.0,0.05,1.857926,9.8e-05,1.8576624558395634,0.0,0.0,0.0
15000,1.75,1.0,0.1,1.859927,9.8e-05,1.8596694485910934,0.0,0.0,0.0
15000,1.75,1.0,0.15,1.861933,9.8e-05,1.8616664249956063,0.0,0.0,0.0
15000,1.75,1.0,0.2,1.863942,9.8e-05,1.8636784538861364,0.0,0.0,0.0
15000,1.75,1.0,0.25,1.865956,9.8e-05,1.8656904641597436,0.0,0.0,0.0
15000,1.75,1.0,0.3,1.867973,9.8e-05,1.8677075105925718,0.0,0.0,0.0
15000,1.75,1.0,0.4,1.872018,9.8e-05,1.8717566373078816,0.0,0.0,0.0
15000,1.75,1.0,0.6,1.880147,9.8e-05,1.8798799971915265,0.0,0.0,0.0
15000,1.75,1.0,0.8,1.888314,9.8e-05,1.8880484960231974,0.0,0.0,0.0
15000,1.75,1.0,1.0,1.896506,9.8e-05,1.8962370651115175,0.0,0.0,0.0
15000,1.75,1.0,1.25,1.906764,9.8e-05,1.9064878389126967,0.0,0.0,0.0
15000,1.75,1.0,1.5,1.917014,9.8e-05,1.916738594161292,0.0,0.0,0.0
15000,1.75,2.0,0.0,1.84559,9.6e-05,1.845314340669312,0.0,0.0,0.0
15000,1.75,2.0,0.05,1.847511,9.6e-05,1.8472310186512426,0.0,0.0,0.0
15000,1.75,2.0,0.1,1.849436,9.6e-05,1.8491577500880316,0.0,0.0,0.0
15000,1.75,2.0,0.15,1.851366,9.6e-05,1.851084481563424,0.0,0.0,0.0
15000,1.75,2.0,0.2,1.8533,9.6e-05,1.853021229510612,0.0,0.0,0.0
15000,1.75,2.0,0.25,1.855239,9.7e-05,1.8549579960073204,0.0,0.0,0.0
15000,1.75,2.0,0.3,1.857182,9.7e-05,1.856899780024825,0.0,0.0,0.0
15000,1.75,2.0,0.4,1.861079,9.7e-05,1.8607933645319075,0.0,0.0,0.0
15000,1.75,2.0,0.6,1.868915,9.7e-05,1.8686307085994536,0.0,0.0,0.0
15000,1.75,2.0,0.8,1.876794,9.7e-05,1.876508192837268,0.0,0.0,0.0
15000,1.75,2.0,1.0,1.884706,9.7e-05,1.8844158011275591,0.0,0.0,0.0
15000,1.75,2.0,1.25,1.894621,9.7e-05,1.894330383900946,0.0,0.0,0.0
15000,1.75,2.0,1.5,1.904539,9.6e-05,1.9042500035960408,0.0,0.0,0.0
15000,2.0,0.0,0.0,1.724233,0.000166,1.7242274737227397,0.0,0.0,0.0
15000,2.0,0.0,0.05,1.722314,0.00017,1.7223057149395093,0.0,0.0,0.0
15000,2.0,0.0,0.1,1.720339,0.000173,1.7203337816432904,0.0,0.0,0.0
15000,2.0,0.0,0.15,1.718309,0.000176,1.7183016389072427,0.0,0.0,0.0
15000,2.0,0.0,0.2,1.716223,0.00018,1.7162142870424528,0.0,0.0,0.0
15000,2.0,0.0,0.25,1.714081,0.000183,1.7140717604014937,0.0,0.0,0.0
15000,2.0,0.0,0.3,1.711881,0.000187,1.7118740418079115,0.0,0.0,0.0
15000,2.0,0.0,0.4,1.70731,0.000194,1.7073029767853662,0.0,0.0,0.0
15000,2.0,0.0,0.6,1.697466,0.000208,1.6974584041829974,0.0,0.0,0.0
15000,2.0,0.0,0.8,1.68667,0.000222,1.6866655176440037,0.0,0.0,0.0
15000,2.0,0.0,1.0,1.674899,0.000237,1.6748942132580837,0.0,0.0,0.0
15000,2.0,0.0,1.25,1.658786,0.000256,1.658782709849127,0.0,0.0,0.0
15000,2.0,0.0,1.5,1.641089,0.000276,1.641085681078121,0.0,0.0,0.0
15000,2.0,0.1,0.0,1.872882,0.000111,1.8727151449308792,0.0,0.0,0.0
15000,2.0,0.1,0.05,1.875436,0.000111,1.8752640448095288,0.0,0.0,0.0
15000,2.0,0.1,0.1,1.877996,0.000111,1.8778229797044252,0.0,0.0,0.0
15000,2.0,0.1,0.15,1.880563,0.000111,1.8803919496156793,0.0,0.0,0.0
15000,2.0,0.1,0.2,1.883137,0.000111,1.8829609195785164,0.0,0.0,0.0
15000,2.0,0.1,0.25,1.885716,0.000111,1.8855399245581013,0.0,0.0,0.0
15000,2.0,0.1,0.3,1.888301,0.000111,1.8881289645551025,0.0,0.0,0.0
15000,2.0,0.1,0.4,1.893486,0.000112,1.893312062187271,0.0,0.0,0.0
