teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,1.739553,7.5e-05,1.7395902372575225,0.0,0.0,0.0
15000,1.75,0.0,0.05,1.739414,7.5e-05,1.73944471295833,0.0,0.0,0.0
15000,1.75,0.0,0.1,1.73931,7.4e-05,1.7393393458904385,0.0,0.0,0.0
15000,1.75,0.0,0.15,1.739241,7.4e-05,1.7392741186580296,0.0,0.0,0.0
15000,1.75,0.0,0.2,1.739208,7.4e-05,1.7392440137814733,0.0,0.0,0.0
15000,1.75,0.0,0.25,1.739213,7.4e-05,1.7392440137814733,0.0,0.0,0.0
15000,1.75,0.0,0.3,1.739257,7.4e-05,1.739289153703163,0.0,0.0,0.0
15000,1.75,0.0,0.4,1.739464,7.4e-05,1.7394898702730528,0.0,0.0,0.0
15000,1.75,0.0,0.6,1.740387,7.4e-05,1.7404080690069061,0.0,0.0,0.0
15000,1.75,0.0,0.8,1.742037,7.5e-05,1.74205383709812,0.0,0.0,0.0
15000,1.75,0.0,1.0,1.744464,7.6e-05,1.74447731459637,0.0,0.0,0.0
15000,1.75,0.0,1.25,1.748645,7.9e-05,1.7486619625471587,0.0,0.0,0.0
15000,1.75,0.0,1.5,1.754144,8.2e-05,1.754151173180372,0.0,0.0,0.0
15000,1.75,0.1,0.0,1.779539,7.7e-05,1.7794346289498837,0.0,0.0,0.0
15000,1.75,0.1,0.05,1.780021,7.6e-05,1.7799162893387113,0.0,0.0,0.0
15000,1.75,0.1,0.1,1.780509,7.5e-05,1.780407984679892,0.0,0.0,0.0
15000,1.75,0.1,0.15,1.781001,7.5e-05,1.7808996800112127,0.0,0.0,0.0
15000,1.75,0.1,0.2,1.781496,7.4e-05,1.7813913753327852,0.0,0.0,0.0
15000,1.75,0.1,0.25,1.781992,7.3e-05,1.7818880881254098,0.0,0.0,0.0
15000,1.75,0.1,0.3,1.78249,7.2e-05,1.782384800908063,0.0,0.0,0.0
15000,1.75,0.1,0.4,1.78348,7e-05,1.7833782264435671,0.0,0.0,0.0
15000,1.75,0.1,0.6,1.785405,6.7e-05,1.7852998680017422,0.0,0.0,0.0
15000,1.75,0.1,0.8,1.787184,6.4e-05,1.7870810021217531,0.0,0.0,0.0
15000,1.75,0.1,1.0,1.788729,6.1e-05,1.78862631453119,0.0,0.0,0.0
15000,1.75,0.1,1.25,1.790205,5.7e-05,1.7901013820974032,0.0,0.0,0.0
15000,1.75,0.1,1.5,1.79104,5.3e-05,1.7909392117050087,0.0,0.0,0.0
15000,1.75,0.2,0.0,1.776881,7.7e-05,1.7767903097880968,0.0,0.0,0.0
15000,1.75,0.2,0.05,1.777357,7.6e-05,1.7772669526937293,0.0,0.0,0.0
15000,1.75,0.2,0.1,1.777838,7.5e-05,1.777748613070413,0.0,0.0,0.0
15000,1.75,0.2,0.15,1.778323,7.4e-05,1.778235308700614,0.0,0.0,0.0
15000,1.75,0.2,0.2,1.778812,7.3e-05,1.7787219865436146,0.0,0.0,0.0
15000,1.75,0.2,0.25,1.779301,7.3e-05,1.779208664376867,0.0,0.0,0.0
15000,1.75,0.2,0.3,1.779791,7.2e-05,1.7797003596808927,0.0,0.0,0.0
