teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,1.952318,3e-05,1.9523372433162423,0.0,0.0,0.0
15000,1.75,0.0,0.05,1.951196,3e-05,1.951213307908116,0.0,0.0,0.0
15000,1.75,0.0,0.1,1.950075,3e-05,1.9500893920235076,0.0,0.0,0.0
15000,1.75,0.0,0.15,1.948954,3e-05,1.9489704936205352,0.0,0.0,0.0
15000,1.75,0.0,0.2,1.947835,3e-05,1.9478515757386639,0.0,0.0,0.0
15000,1.75,0.0,0.25,1.946717,3e-05,1.9467376948284123,0.0,0.0,0.0
15000,1.75,0.0,0.3,1.9456,3e-05,1.945618796436525,0.0,0.0,0.0
15000,1.75,0.0,0.4,1.94337,3.1e-05,1.9433859977005525,0.0,0.0,0.0
15000,1.75,0.0,0.6,1.938925,3.1e-05,1.9389454877694192,0.0,0.0,0.0
15000,1.75,0.0,0.8,1.934506,3.2e-05,1.9345200498052626,0.0,0.0,0.0
15000,1.75,0.0,1.0,1.930115,3.2e-05,1.9301347517801994,0.0,0.0,0.0
15000,1.75,0.0,1.25,1.924673,3.2e-05,1.9246907460464477,0.0,0.0,0.0
15000,1.75,0.0,1.5,1.919288,3.3e-05,1.9193069503037792,0.0,0.0,0.0
15000,1.75,0.1,0.0,1.953546,3.8e-05,1.9533207087919455,0.0,0.0,0.0
15000,1.75,0.1,0.05,1.952427,3.8e-05,1.9522017908330902,0.0,0.0,0.0
15000,1.75,0.1,0.1,1.951308,3.8e-05,1.9510828924077244,0.0,0.0,0.0
15000,1.75,0.1,0.15,1.950188,3.8e-05,1.9499689919642622,0.0,0.0,0.0
15000,1.75,0.1,0.2,1.94907,3.8e-05,1.948855111031617,0.0,0.0,0.0
15000,1.75,0.1,0.25,1.947951,3.8e-05,1.9477362126175035,0.0,0.0,0.0
15000,1.75,0.1,0.3,1.946834,3.8e-05,1.9466223122185493,0.0,0.0,0.0
15000,1.75,0.1,0.4,1.9446,3.8e-05,1.9443895134499898,0.0,0.0,0.0
15000,1.75,0.1,0.6,1.940141,3.8e-05,1.9399389878910993,0.0,0.0,0.0
15000,1.75,0.1,0.8,1.935699,3.8e-05,1.9355085323469325,0.0,0.0,0.0
15000,1.75,0.1,1.0,1.931278,3.8e-05,1.9310931100246262,0.0,0.0,0.0
15000,1.75,0.1,1.25,1.925789,3.8e-05,1.9256089643670438,0.0,0.0,0.0
15000,1.75,0.1,1.5,1.920347,3.8e-05,1.9201750129424389,0.0,0.0,0.0
15000,1.75,0.2,0.0,1.953074,3.9e-05,1.9528640398349355,0.0,0.0,0.0
15000,1.75,0.2,0.05,1.95192,3.9e-05,1.9517150170362338,0.0,0.0,0.0
15000,1.75,0.2,0.1,1.950765,3.9e-05,1.9505609962849288,0.0,0.0,0.0
15000,1.75,0.2,0.15,1.949611,3.8e-05,1.9494069755336243,0.0,0.0,0.0
15000,1.75,0.2,0.2,1.948457,3.8e-05,1.9482579527810455,0.0,0.0,0.0
15000,1.75,0.2,0.25,1.947304,3.8e-05,1.9471039320411603,0.0,0.0,0.0
15000,1.75,0.2,0.3,1.946151,3.8e-05,1.9459549093231747,0.0,0.0,0.0
15000,1.75,0.2,0.4,1.943847,3.8e-05,1.9436569028294584,0.0,0.0,0.0
15000,1.75,0.2,0.6,1.93925,3.8e-05,1.9390708860233048,0.0,0.0,0.0
15000,1.75,0.2,0.8,1.934671,3.8e-05,1.9344949237081184,0.0,0.0,0.0
15000,1.75,0.2,1.0,1.930115,3.8e-05,1.9299440295909873,0.0,0.0,0.0
15000,1.75,0.2,1.25,1.924461,3.8e-05,1.9242993247811488,0.0,0.0,0.0
15000,1.75,0.2,1.5,1.91886,3.8e-05,1.9187048141943726,0.0,0.0,0.0
15000,1.75,0.5,0.0,1.952368,3.9e-05,1.9521965781301447,0.0,0.0,0.0
15000,1.75,0.5,0.05,1.951131,3.9e-05,1.9509572602672378,0.0,0.0,0.0
15000,1.75,0.5,0.1,1.949894,3.9e-05,1.9497229403880165,0.0,0.0,0.0
15000,1.75,0.5,0.15,1.948658,3.8e-05,1.9484936574998004,0.0,0.0,0.0
15000,1.75,0.5,0.2,1.947423,3.8e-05,1.9472593376577343,0.0,0.0,0.0
15000,1.75,0.5,0.25,1.946188,3.8e-05,1.9460300547818843,0.0,0.0,0.0
15000,1.75,0.5,0.3,1.944954,3.8e-05,1.9447957544247887,0.0,0.0,0.0
15000,1.75,0.5,0.4,1.94249,3.8e-05,1.9423371692493938,0.0,0.0,0.0
15000,1.75,0.5,0.6,1.937576,3.8e-05,1.9374300340081563,0.0,0.0,0.0
15000,1.75,0.5,0.8,1.932688,3.8e-05,1.9325530231742907,0.0,0.0,0.0
15000,1.75,0.5,1.0,1.927831,3.8e-05,1.92770609804574,0.0,0.0,0.0
15000,1.75,0.5,1.25,1.921815,3.8e-05,1.921700135063765,0.0,0.0,0.0
15000,1.75,0.5,1.5,1.915868,3.8e-05,1.9157594187279787,0.0,0.0,0.0
15000,1.75,1.0,0.0,1.952228,3.9e-05,1.952086076416949,0.0,0.0,0.0
15000,1.75,1.0,0.05,1.950895,3.9e-05,1.9507564439718335,0.0,0.0,0.0
15000,1.75,1.0,0.1,1.949564,3.8e-05,1.9494267920321107,0.0,0.0,0.0
15000,1.75,1.0,0.15,1.948234,3.8e-05,1.9481021770810527,0.0,0.0,0.0
15000,1.75,1.0,0.2,1.946905,3.8e-05,1.946777562129995,0.0,0.0,0.0
15000,1.75,1.0,0.25,1.945578,3.8e-05,1.9454529277242145,0.0,0.0,0.0
15000,1.75,1.0,0.3,1.944251,3.8e-05,1.9441283127861917,0.0,0.0,0.0
15000,1.75,1.0,0.4,1.941604,3.8e-05,1.9414890984572426,0.0,0.0,0.0
15000,1.75,1.0,0.6,1.936331,3.8e-05,1.9362257223994999,0.0,0.0,0.0
15000,1.75,1.0,0.8,1.931096,3.7e-05,1.9310025057071643,0.0,0.0,0.0
15000,1.75,1.0,1.0,1.925904,3.7e-05,1.9258143922248971,0.0,0.0,0.0
15000,1.75,1.0,1.25,1.919486,3.8e-05,1.9194120486875828,0.0,0.0,0.0
15000,1.75,1.0,1.5,1.91316,3.8e-05,1.9130950217031129,0.0,0.0,0.0
15000,1.75,2.0,0.0,1.952956,3.9e-05,1.95285365335509,0.0,0.0,0.0
15000,1.75,2.0,0.05,1.951509,3.9e-05,1.9514085994065977,0.0,0.0,0.0
15000,1.75,2.0,0.1,1.950063,3.8e-05,1.9499685824673254,0.0,0.0,0.0
15000,1.75,2.0,0.15,1.948619,3.8e-05,1.9485285460427488,0.0,0.0,0.0
15000,1.75,2.0,0.2,1.947177,3.8e-05,1.947088529117904,0.0,0.0,0.0
15000,1.75,2.0,0.25,1.945737,3.8e-05,1.9456485121931153,0.0,0.0,0.0
15000,1.75,2.0,0.3,1.9443,3.8e-05,1.9442134933066588,0.0,0.0,0.0
15000,1.75,2.0,0.4,1.941432,3.8e-05,1.9413535099941874,0.0,0.0,0.0
15000,1.75,2.0,0.6,1.93573,3.8e-05,1.9356636677799577,0.0,0.0,0.0
15000,1.75,2.0,0.8,1.930079,3.8e-05,1.9300239811829358,0.0,0.0,0.0
15000,1.75,2.0,1.0,1.924489,3.8e-05,1.9244445238188723,0.0,0.0,0.0
15000,1.75,2.0,1.25,1.917597,3.8e-05,1.9175705374928258,0.0,0.0,0.0
15000,1.75,2.0,1.5,1.910826,3.8e-05,1.9108119534834294,0.0,0.0,0.0
15000,2.0,0.0,0.0,1.864676,1.4e-05,1.8646909037159576,0.0,0.0,0.0
15000,2.0,0.0,0.05,1.863413,1.4e-05,1.8634314978351592,0.0,0.0,0.0
15000,2.0,0.0,0.1,1.862154,1.5e-05,1.8621721106015314,0.0,0.0,0.0
15000,2.0,0.0,0.15,1.8609,1.5e-05,1.860917740846754,0.0,0.0,0.0
15000,2.0,0.0,0.2,1.85965,1.5e-05,1.8596683885711058,0.0,0.0,0.0
15000,2.0,0.0,0.25,1.858404,1.6e-05,1.8584190177111777,0.0,0.0,0.0
15000,2.0,0.0,0.3,1.857162,1.6e-05,1.8571797004058197,0.0,0.0,0.0
15000,2.0,0.0,0.4,1.854693,1.6e-05,1.8547111007532497,0.0,0.0,0.0
15000,2.0,0.0,0.6,1.849809,1.7e-05,1.8498240577395126,0.0,0.0,0.0
15000,2.0,0.0,0.8,1.845,1.9e-05,1.8450172944852556,0.0,0.0,0.0
15000,2.0,0.0,1.0,1.840271,2e-05,1.840285793509456,0.0,0.0,0.0
15000,2.0,0.0,1.25,1.834472,2.1e-05,1.8344905871294421,0.0,0.0,0.0
15000,2.0,0.0,1.5,1.828803,2.2e-05,1.8288207995450037,0.0,0.0,0.0
15000,2.0,0.1,0.0,1.857877,2.9e-05,1.8575810801473998,0.0,0.0,0.0
