teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,2.142468,7.1e-05,2.1425173795528374,0.0,0.0,0.0
15000,1.75,0.0,0.05,2.139891,7e-05,2.1399433656152334,0.0,0.0,0.0
15000,1.75,0.0,0.1,2.137321,6.9e-05,2.137369373154769,0.0,0.0,0.0
15000,1.75,0.0,0.15,2.134759,6.9e-05,2.1348053943721723,0.0,0.0,0.0
15000,1.75,0.0,0.2,2.132206,6.8e-05,2.132251450666596,0.0,0.0,0.0
15000,1.75,0.0,0.25,2.129662,6.7e-05,2.129707542037483,0.0,0.0,0.0
15000,1.75,0.0,0.3,2.127129,6.6e-05,2.1271736897563676,0.0,0.0,0.0
15000,1.75,0.0,0.4,2.122098,6.5e-05,2.1221410653115145,0.0,0.0,0.0
15000,1.75,0.0,0.6,2.112197,6.2e-05,2.1122363983201597,0.0,0.0,0.0
15000,1.75,0.0,0.8,2.102549,6e-05,2.102587645537604,0.0,0.0,0.0
15000,1.75,0.0,1.0,2.093196,5.8e-05,2.093229908097521,0.0,0.0,0.0
15000,1.75,0.0,1.25,2.081973,5.5e-05,2.082005646301214,0.0,0.0,0.0
15000,1.75,0.0,1.5,2.07132,5.3e-05,2.0713533793939067,0.0,0.0,0.0
15000,1.75,0.1,0.0,2.142989,0.000301,2.14358031668883,0.0,0.0,0.0
15000,1.75,0.1,0.05,2.140461,0.000296,2.141031525512462,0.0,0.0,0.0
15000,1.75,0.1,0.1,2.137939,0.000292,2.1384827341322703,0.0,0.0,0.0
15000,1.75,0.1,0.15,2.135424,0.000287,2.135943977497433,0.0,0.0,0.0
15000,1.75,0.1,0.2,2.132917,0.000282,2.133410259468648,0.0,0.0,0.0
15000,1.75,0.1,0.25,2.130419,0.000277,2.1308915723030175,0.0,0.0,0.0
15000,1.75,0.1,0.3,2.12793,0.000272,2.128377902410909,0.0,0.0,0.0
15000,1.75,0.1,0.4,2.122982,0.000263,2.1233856843538055,0.0,0.0,0.0
15000,1.75,0.1,0.6,2.113235,0.000244,2.1135517490026667,0.0,0.0,0.0
15000,1.75,0.1,0.8,2.103723,0.000226,2.103953632130279,0.0,0.0,0.0
