teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,2.22332,2e-05,2.2233428199637806,0.0,0.0,0.0
15000,1.75,0.0,0.05,2.219416,1.8e-05,2.2194341993522273,0.0,0.0,0.0
15000,1.75,0.0,0.1,2.215563,1.6e-05,2.215585788557624,0.0,0.0,0.0
15000,1.75,0.0,0.15,2.211762,1.4e-05,2.2117825572436733,0.0,0.0,0.0
15000,1.75,0.0,0.2,2.208013,1.2e-05,2.2080344961063494,0.0,0.0,0.0
15000,1.75,0.0,0.25,2.204316,1.1e-05,2.20434162730161,0.0,0.0,0.0
15000,1.75,0.0,0.3,2.200671,9e-06,2.2006939158601133,0.0,0.0,0.0
15000,1.75,0.0,0.4,2.193536,6e-06,2.1935590744259876,0.0,0.0,0.0
15000,1.75,0.0,0.6,2.179887,2e-06,2.1799115156635054,0.0,0.0,0.0
15000,1.75,0.0,0.8,2.167057,6e-06,2.1670767894451153,0.0,0.0,0.0
15000,1.75,0.0,1.0,2.155029,1.1e-05,2.1550498782857823,0.0,0.0,0.0
15000,1.75,0.0,1.25,2.14109,1.6e-05,2.1411113054024886,0.0,0.0,0.0
15000,1.75,0.0,1.5,2.128318,2e-05,2.1283417852032405,0.0,0.0,0.0
15000,1.75,0.1,0.0,2.170867,0.000316,2.171627258278077,0.0,0.0,0.0
15000,1.75,0.1,0.05,2.168716,0.000313,2.169444744586163,0.0,0.0,0.0
15000,1.75,0.1,0.1,2.166578,0.000309,2.167282322283559,0.0,0.0,0.0
15000,1.75,0.1,0.15,2.164456,0.000305,2.165129934710879,0.0,0.0,0.0
15000,1.75,0.1,0.2,2.162348,0.000301,2.162992577712635,0.0,0.0,0.0
15000,1.75,0.1,0.25,2.160255,0.000297,2.160875312046103,0.0,0.0,0.0
15000,1.75,0.1,0.3,2.158178,0.000293,2.158773077001356,0.0,0.0,0.0
15000,1.75,0.1,0.4,2.154073,0.000285,2.1546087892926398,0.0,0.0,0.0
15000,1.75,0.1,0.6,2.146062,0.000269,2.146490902404885,0.0,0.0,0.0
15000,1.75,0.1,0.8,2.138333,0.000254,2.1386640048163432,0.0,0.0,0.0
15000,1.75,0.1,1.0,2.130899,0.000239,2.13113313569836,0.0,0.0,0.0
15000,1.75,0.1,1.25,2.122036,0.00022,2.1221572941179865,0.0,0.0,0.0
15000,1.75,0.1,1.5,2.11366,0.000203,2.1136781370763345,0.0,0.0,0.0
15000,1.75,0.2,0.0,2.171805,0.000329,2.1725699782071697,0.0,0.0,0.0
15000,1.75,0.2,0.05,2.169705,0.000325,2.1704376615372585,0.0,0.0,0.0
15000,1.75,0.2,0.1,2.167619,0.000321,2.168325414540322,0.0,0.0,0.0
15000,1.75,0.2,0.15,2.165547,0.000317,2.166223202275872,0.0,0.0,0.0
15000,1.75,0.2,0.2,2.16349,0.000312,2.164141059689299,0.0,0.0,0.0
15000,1.75,0.2,0.25,2.161448,0.000308,2.162073969311333,0.0,0.0,0.0
15000,1.75,0.2,0.3,2.159421,0.000304,2.1600169136718694,0.0,0.0,0.0
15000,1.75,0.2,0.4,2.155415,0.000296,2.1559579939791402,0.0,0.0,0.0
15000,1.75,0.2,0.6,2.147599,0.000279,2.1480408296399003,0.0,0.0,0.0
15000,1.75,0.2,0.8,2.140058,0.000262,2.1403946059397962,0.0,0.0,0.0
15000,1.75,0.2,1.0,2.132805,0.000246,2.133044389081927,0.0,0.0,0.0
15000,1.75,0.2,1.25,2.124156,0.000227,2.1242893398142884,0.0,0.0,0.0
15000,1.75,0.2,1.5,2.11598,0.000209,2.1160159435935326,0.0,0.0,0.0
15000,1.75,0.5,0.0,2.175067,0.000352,2.175800380990011,0.0,0.0,0.0
15000,1.75,0.5,0.05,2.173056,0.000347,2.1737634189684387,0.0,0.0,0.0
