teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,1.969161,0.000131,1.9691328811743747,0.0,0.0,0.0
15000,1.75,0.0,0.05,1.973211,0.000132,1.9731770152385042,0.0,0.0,0.0
15000,1.75,0.0,0.1,1.977288,0.000133,1.977256291648086,0.0,0.0,0.0
15000,1.75,0.0,0.15,1.981392,0.000133,1.9813606359263967,0.0,0.0,0.0
15000,1.75,0.0,0.2,1.985522,0.000134,1.985490067806404,0.0,0.0,0.0
15000,1.75,0.0,0.25,1.989679,0.000135,1.9896446071864633,0.0,0.0,0.0
15000,1.75,0.0,0.3,1.993862,0.000135,1.993829231804642,0.0,0.0,0.0
15000,1.75,0.0,0.4,2.002306,0.000137,2.0022737638858237,0.0,0.0,0.0
15000,1.75,0.0,0.6,2.019495,0.000139,2.0194588624060708,0.0,0.0,0.0
15000,1.75,0.0,0.8,2.037071,0.000141,2.037030290650048,0.0,0.0,0.0
15000,1.75,0.0,1.0,2.055013,0.000143,2.0549730368266883,0.0,0.0,0.0
15000,1.75,0.0,1.25,2.077925,0.000146,2.0778831432568854,0.0,0.0,0.0
15000,1.75,0.0,1.5,2.101332,0.000148,2.1012849692753224,0.0,0.0,0.0
15000,1.75,0.1,0.0,1.703459,0.000161,1.7019655713517938,0.0,0.0,0.0
15000,1.75,0.1,0.05,1.704409,0.000163,1.7028938398825018,0.0,0.0,0.0
15000,1.75,0.1,0.1,1.705369,0.000165,1.7038371779403174,0.0,0.0,0.0
15000,1.75,0.1,0.15,1.706339,0.000166,1.7047804990066753,0.0,0.0,0.0
15000,1.75,0.1,0.2,1.70732,0.000168,1.7057388725631726,0.0,0.0,0.0
15000,1.75,0.1,0.25,1.70831,0.00017,1.7067072811263349,0.0,0.0,0.0
15000,1.75,0.1,0.3,1.709311,0.000172,1.707680724289431,0.0,0.0,0.0
15000,1.75,0.1,0.4,1.711342,0.000175,1.7096626989896733,0.0,0.0,0.0
15000,1.75,0.1,0.6,1.715525,0.000183,1.7137471027801008,0.0,0.0,0.0
15000,1.75,0.1,0.8,1.719868,0.00019,1.7179769972878238,0.0,0.0,0.0
15000,1.75,0.1,1.0,1.724368,0.000198,1.7223724868173036,0.0,0.0,0.0
15000,1.75,0.1,1.25,1.730212,0.000208,1.7280725755571078,0.0,0.0,0.0
15000,1.75,0.1,1.5,1.736294,0.000218,1.7340034701945424,0.0,0.0,0.0
15000,1.75,0.2,0.0,1.701232,0.000159,1.6997528270733733,0.0,0.0,0.0
15000,1.75,0.2,0.05,1.702158,0.000161,1.7006560081230966,0.0,0.0,0.0
15000,1.75,0.2,0.1,1.703095,0.000163,1.7015692241763658,0.0,0.0,0.0
15000,1.75,0.2,0.15,1.704041,0.000164,1.7024924752337935,0.0,0.0,0.0
15000,1.75,0.2,0.2,1.704998,0.000166,1.7034257612960484,0.0,0.0,0.0
15000,1.75,0.2,0.25,1.705964,0.000168,1.704369099407508,0.0,0.0,0.0
15000,1.75,0.2,0.3,1.70694,0.00017,1.705317438006527,0.0,0.0,0.0
15000,1.75,0.2,0.4,1.708923,0.000173,1.7072542551934589,0.0,0.0,0.0
15000,1.75,0.2,0.6,1.713007,0.00018,1.711238308922469,0.0,0.0,0.0
15000,1.75,0.2,0.8,1.717248,0.000188,1.7153728708562597,0.0,0.0,0.0
15000,1.75,0.2,1.0,1.721645,0.000196,1.7196579753047332,0.0,0.0,0.0
15000,1.75,0.2,1.25,1.727357,0.000206,1.72523262635825,0.0,0.0,0.0
15000,1.75,0.2,1.5,1.733305,0.000216,1.7310330657827522,0.0,0.0,0.0
15000,1.75,0.5,0.0,1.697709,0.000155,1.6962555562363597,0.0,0.0,0.0
15000,1.75,0.5,0.05,1.698584,0.000157,1.6971085623370934,0.0,0.0,0.0
15000,1.75,0.5,0.1,1.699469,0.000159,1.6979665859553366,0.0,0.0,0.0
15000,1.75,0.5,0.15,1.700363,0.00016,1.6988396620586497,0.0,0.0,0.0
15000,1.75,0.5,0.2,1.701267,0.000162,1.6997177556808094,0.0,0.0,0.0
15000,1.75,0.5,0.25,1.702181,0.000164,1.7006058843054566,0.0,0.0,0.0
15000,1.75,0.5,0.3,1.703105,0.000166,1.7015090824324788,0.0,0.0,0.0
15000,1.75,0.5,0.4,1.704982,0.000169,1.703335514719222,0.0,0.0,0.0
15000,1.75,0.5,0.6,1.708852,0.000176,1.7071037989465756,0.0,0.0,0.0
15000,1.75,0.5,0.8,1.712877,0.000183,1.7110276258885126,0.0,0.0,0.0
15000,1.75,0.5,1.0,1.717056,0.000191,1.7150969777670164,0.0,0.0,0.0
15000,1.75,0.5,1.25,1.722491,0.000201,1.7203906314621844,0.0,0.0,0.0
15000,1.75,0.5,1.5,1.728158,0.000211,1.7259100905905964,0.0,0.0,0.0
15000,1.75,1.0,0.0,1.694681,0.000152,1.693249999086168,0.0,0.0,0.0
15000,1.75,1.0,0.05,1.695496,0.000153,1.6940427952864494,0.0,0.0,0.0
15000,1.75,1.0,0.1,1.69632,0.000155,1.6948406090018455,0.0,0.0,0.0
15000,1.75,1.0,0.15,1.697154,0.000156,1.6956534751989696,0.0,0.0,0.0
15000,1.75,1.0,0.2,1.697998,0.000158,1.6964763763954613,0.0,0.0,0.0
15000,1.75,1.0,0.25,1.698851,0.00016,1.6972992776250422,0.0,0.0,0.0
15000,1.75,1.0,0.3,1.699714,0.000161,1.6981422658035392,0.0,0.0,0.0
15000,1.75,1.0,0.4,1.701469,0.000165,1.6998482782509987,0.0,0.0,0.0
15000,1.75,1.0,0.6,1.705093,0.000172,1.7033707052435598,0.0,0.0,0.0
15000,1.75,1.0,0.8,1.708871,0.000179,1.7070386399289987,0.0,0.0,0.0
15000,1.75,1.0,1.0,1.712799,0.000186,1.7108621173172673,0.0,0.0,0.0
15000,1.75,1.0,1.25,1.717919,0.000196,1.7158396685784658,0.0,0.0,0.0
15000,1.75,1.0,1.5,1.723269,0.000205,1.721043007924383,0.0,0.0,0.0
15000,1.75,2.0,0.0,1.691224,0.000147,1.6898229567844734,0.0,0.0,0.0
15000,1.75,2.0,0.05,1.691959,0.000148,1.6905304556605834,0.0,0.0,0.0
15000,1.75,2.0,0.1,1.692704,0.00015,1.691253007013798,0.0,0.0,0.0
15000,1.75,2.0,0.15,1.693457,0.000151,1.6919855933618682,0.0,0.0,0.0
15000,1.75,2.0,0.2,1.694221,0.000153,1.6927282147055744,0.0,0.0,0.0
15000,1.75,2.0,0.25,1.694994,0.000154,1.6934708360789714,0.0,0.0,0.0
15000,1.75,2.0,0.3,1.695776,0.000156,1.6942335274153975,0.0,0.0,0.0
15000,1.75,2.0,0.4,1.697368,0.000159,1.6957739626304733,0.0,0.0,0.0
15000,1.75,2.0,0.6,1.700666,0.000166,1.6989702525507193,0.0,0.0,0.0
15000,1.75,2.0,0.8,1.704113,0.000173,1.702312033071727,0.0,0.0,0.0
15000,1.75,2.0,1.0,1.707709,0.00018,1.705799338244371,0.0,0.0,0.0
15000,1.75,2.0,1.25,1.71241,0.000189,1.7103604372082133,0.0,0.0,0.0
15000,1.75,2.0,1.5,1.717337,0.000199,1.7151423066526994,0.0,0.0,0.0
15000,2.0,0.0,0.0,1.969123,0.000198,1.9690639359494835,0.0,0.0,0.0
15000,2.0,0.0,0.05,1.973806,0.000199,1.9737453137137109,0.0,0.0,0.0
15000,2.0,0.0,0.1,1.978521,0.000201,1.978461833978584,0.0,0.0,0.0
15000,2.0,0.0,0.15,1.983268,0.000202,1.9832084397343088,0.0,0.0,0.0
15000,2.0,0.0,0.2,1.988046,0.000203,1.987980153110074,0.0,0.0,0.0
15000,2.0,0.0,0.25,1.992856,0.000205,1.9927869693785574,0.0,0.0,0.0
15000,2.0,0.0,0.3,1.997696,0.000206,1.9976289083755023,0.0,0.0,0.0
15000,2.0,0.0,0.4,2.007469,0.000209,2.007403122166037,0.0,0.0,0.0
15000,2.0,0.0,0.6,2.027373,0.000215,2.0273027783246294,0.0,0.0,0.0
15000,2.0,0.0,0.8,2.047739,0.00022,2.0476640494269165,0.0,0.0,0.0
15000,2.0,0.0,1.0,2.068545,0.000226,2.068466865690908,0.0,0.0,0.0
15000,2.0,0.0,1.25,2.095135,0.000232,2.095049925331029,0.0,0.0,0.0
15000,2.0,0.0,1.5,2.122328,0.000239,2.122240111518029,0.0,0.0,0.0
15000,2.0,0.1,0.0,1.653866,0.000152,1.6521914728109364,0.0,0.0,0.0
15000,2.0,0.1,0.05,1.654833,0.000153,1.6531297749381992,0.0,0.0,0.0
15000,2.0,0.1,0.1,1.655809,0.000155,1.6540831295485265,0.0,0.0,0.0
15000,2.0,0.1,0.15,1.656795,0.000157,1.6550364841970118,0.0,0.0,0.0
15000,2.0,0.1,0.2,1.657792,0.000158,1.6560099088117015,0.0,0.0,0.0
15000,2.0,0.1,0.25,1.658798,0.00016,1.6569883509474101,0.0,0.0,0.0
15000,2.0,0.1,0.3,1.659814,0.000162,1.6579818455690245,0.0,0.0,0.0
15000,2.0,0.1,0.4,1.661877,0.000165,1.659983887378764,0.0,0.0,0.0
15000,2.0,0.1,0.6,1.666122,0.000172,1.6641184260322512,0.0,0.0,0.0
15000,2.0,0.1,0.8,1.670526,0.000179,1.6683984890452597,0.0,0.0,0.0
15000,2.0,0.1,1.0,1.675087,0.000187,1.6728390955795993,0.0,0.0,0.0
15000,2.0,0.1,1.25,1.681008,0.000196,1.6785993682838272,0.0,0.0,0.0
15000,2.0,0.1,1.5,1.68717,0.000206,1.6845904298292755,0.0,0.0,0.0
15000,2.0,0.2,0.0,1.650708,0.00015,1.6490304264045215,0.0,0.0,0.0
15000,2.0,0.2,0.05,1.651659,0.000152,1.6499536760048799,0.0,0.0,0.0
15000,2.0,0.2,0.1,1.652619,0.000153,1.6508919615782456,0.0,0.0,0.0
15000,2.0,0.2,0.15,1.65359,0.000155,1.6518302636890196,0.0,0.0,0.0
15000,2.0,0.2,0.2,1.65457,0.000157,1.6527836182829698,0.0,0.0,0.0
15000,2.0,0.2,0.25,1.655561,0.000158,1.6537470078788505,0.0,0.0,0.0
15000,2.0,0.2,0.3,1.656561,0.00016,1.6547254499595787,0.0,0.0,0.0
15000,2.0,0.2,0.4,1.658592,0.000163,1.6566973866853174,0.0,0.0,0.0
15000,2.0,0.2,0.6,1.662772,0.00017,1.6607616801943295,0.0,0.0,0.0
15000,2.0,0.2,0.8,1.66711,0.000177,1.6649815329792308,0.0,0.0,0.0
15000,2.0,0.2,1.0,1.671604,0.000185,1.6693518943373993,0.0,0.0,0.0
15000,2.0,0.2,1.25,1.67744,0.000194,1.6750268524695326,0.0,0.0,0.0
15000,2.0,0.2,1.5,1.683515,0.000204,1.6809276154684483,0.0,0.0,0.0
15000,2.0,0.5,0.0,1.645629,0.000147,1.6439576703815824,0.0,0.0,0.0
15000,2.0,0.5,0.05,1.646542,0.000149,1.6448457974646,0.0,0.0,0.0
15000,2.0,0.5,0.1,1.647465,0.00015,1.6457389256072652,0.0,0.0,0.0
15000,2.0,0.5,0.15,1.648398,0.000152,1.6466471226788253,0.0,0.0,0.0
15000,2.0,0.5,0.2,1.649341,0.000153,1.6475603372683958,0.0,0.0,0.0
15000,2.0,0.5,0.25,1.650293,0.000155,1.6484886043395275,0.0,0.0,0.0
15000,2.0,0.5,0.3,1.651255,0.000157,1.6494218889296723,0.0,0.0,0.0
15000,2.0,0.5,0.4,1.653209,0.00016,1.6513235805962756,0.0,0.0,0.0
15000,2.0,0.5,0.6,1.657235,0.000167,1.6552273140344602,0.0,0.0,0.0
15000,2.0,0.5,0.8,1.661417,0.000174,1.6592916075478172,0.0,0.0,0.0
15000,2.0,0.5,1.0,1.665754,0.000181,1.6635014087251414,0.0,0.0,0.0
