teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,1.655953,0.000144,1.656024679731235,0.0,0.0,0.0
15000,1.75,0.0,0.05,1.656269,0.000145,1.6563458150900958,0.0,0.0,0.0
15000,1.75,0.0,0.1,1.65659,0.000147,1.6566669670222385,0.0,0.0,0.0
15000,1.75,0.0,0.15,1.656916,0.000148,1.656988102397142,0.0,0.0,0.0
15000,1.75,0.0,0.2,1.657247,0.00015,1.6573192893146151,0.0,0.0,0.0
15000,1.75,0.0,0.25,1.657583,0.000151,1.6576605112086171,0.0,0.0,0.0
15000,1.75,0.0,0.3,1.657924,0.000153,1.6580017165360776,0.0,0.0,0.0
15000,1.75,0.0,0.4,1.658622,0.000156,1.6587042303126798,0.0,0.0,0.0
15000,1.75,0.0,0.6,1.660078,0.000162,1.6601594162552398,0.0,0.0,0.0
15000,1.75,0.0,0.8,1.661617,0.000169,1.6616998996043029,0.0,0.0,0.0
15000,1.75,0.0,1.0,1.663242,0.000176,1.6633306978611133,0.0,0.0,0.0
15000,1.75,0.0,1.25,1.665394,0.000185,1.6654883820507331,0.0,0.0,0.0
15000,1.75,0.0,1.5,1.667684,0.000194,1.6677815387367796,0.0,0.0,0.0
15000,1.75,0.1,0.0,1.627385,4.9e-05,1.627337998579847,0.0,0.0,0.0
15000,1.75,0.1,0.05,1.62725,4.9e-05,1.62720252673305,0.0,0.0,0.0
15000,1.75,0.1,0.1,1.627116,4.9e-05,1.6270670548863087,0.0,0.0,0.0
15000,1.75,0.1,0.15,1.626981,4.9e-05,1.6269315830394555,0.0,0.0,0.0
15000,1.75,0.1,0.2,1.626847,4.9e-05,1.6268011286685566,0.0,0.0,0.0
15000,1.75,0.1,0.25,1.626714,4.9e-05,1.626665656821592,0.0,0.0,0.0
15000,1.75,0.1,0.3,1.62658,5e-05,1.6265352024506932,0.0,0.0,0.0
15000,1.75,0.1,0.4,1.626315,5e-05,1.626264258756987,0.0,0.0,0.0
15000,1.75,0.1,0.6,1.625787,5.1e-05,1.6257374400548172,0.0,0.0,0.0
15000,1.75,0.1,0.8,1.625266,5.1e-05,1.6252206400414368,0.0,0.0,0.0
15000,1.75,0.1,1.0,1.624752,5.2e-05,1.6247038562751874,0.0,0.0,0.0
15000,1.75,0.1,1.25,1.62412,5.3e-05,1.6240666368349055,0.0,0.0,0.0
15000,1.75,0.1,1.5,1.623501,5.4e-05,1.6234545210088225,0.0,0.0,0.0
15000,1.75,0.2,0.0,1.626061,4.9e-05,1.6260033500150777,0.0,0.0,0.0
15000,1.75,0.2,0.05,1.625922,5e-05,1.6258628606924936,0.0,0.0,0.0
15000,1.75,0.2,0.1,1.625783,5e-05,1.6257273888456407,0.0,0.0,0.0
15000,1.75,0.2,0.15,1.625645,5e-05,1.6255818820473258,0.0,0.0,0.0
15000,1.75,0.2,0.2,1.625507,5e-05,1.6254464102003614,0.0,0.0,0.0
15000,1.75,0.2,0.25,1.625369,5e-05,1.625305920877889,0.0,0.0,0.0
15000,1.75,0.2,0.3,1.625231,5e-05,1.625170449031036,0.0,0.0,0.0
15000,1.75,0.2,0.4,1.624957,5.1e-05,1.624894504110624,0.0,0.0,0.0
15000,1.75,0.2,0.6,1.624413,5.1e-05,1.6243526167180318,0.0,0.0,0.0
15000,1.75,0.2,0.8,1.623875,5.2e-05,1.6238107293252724,0.0,0.0,0.0
15000,1.75,0.2,1.0,1.623344,5.3e-05,1.6232839105932448,0.0,0.0,0.0
15000,1.75,0.2,1.25,1.62269,5.3e-05,1.6226266212493707,0.0,0.0,0.0
15000,1.75,0.2,1.5,1.62205,5.4e-05,1.6219894180290912,0.0,0.0,0.0
15000,1.75,0.5,0.0,1.623841,4.9e-05,1.623770557042766,0.0,0.0,0.0
15000,1.75,0.5,0.05,1.62368,5e-05,1.623609997818651,0.0,0.0,0.0
15000,1.75,0.5,0.1,1.623518,5e-05,1.6234494385944243,0.0,0.0,0.0
15000,1.75,0.5,0.15,1.623357,5e-05,1.623283861894411,0.0,0.0,0.0
15000,1.75,0.5,0.2,1.623196,5e-05,1.6231233026701286,0.0,0.0,0.0
15000,1.75,0.5,0.25,1.623035,5e-05,1.62296777715144,0.0,0.0,0.0
15000,1.75,0.5,0.3,1.622875,5e-05,1.622802200449811,0.0,0.0,0.0
15000,1.75,0.5,0.4,1.622555,5.1e-05,1.6224810819981272,0.0,0.0,0.0
15000,1.75,0.5,0.6,1.621917,5.1e-05,1.6218438625706573,0.0,0.0,0.0
15000,1.75,0.5,0.8,1.621285,5.2e-05,1.6212116768311222,0.0,0.0,0.0
15000,1.75,0.5,1.0,1.620658,5.2e-05,1.6205844923488197,0.0,0.0,0.0
15000,1.75,0.5,1.25,1.619883,5.3e-05,1.6198118010666427,0.0,0.0,0.0
15000,1.75,0.5,1.5,1.619118,5.4e-05,1.6190441434510094,0.0,0.0,0.0
15000,1.75,1.0,0.0,1.621883,4.8e-05,1.621813709060943,0.0,0.0,0.0
15000,1.75,1.0,0.05,1.621686,4.8e-05,1.6216130100346011,0.0,0.0,0.0
15000,1.75,1.0,0.1,1.62149,4.8e-05,1.6214173284840456,0.0,0.0,0.0
15000,1.75,1.0,0.15,1.621293,4.8e-05,1.6212166294577035,0.0,0.0,0.0
15000,1.75,1.0,0.2,1.621097,4.8e-05,1.6210259815931334,0.0,0.0,0.0
15000,1.75,1.0,0.25,1.620901,4.8e-05,1.620830300040684,0.0,0.0,0.0
15000,1.75,1.0,0.3,1.620704,4.9e-05,1.620629601012225,0.0,0.0,0.0
15000,1.75,1.0,0.4,1.620312,4.9e-05,1.6202382379071592,0.0,0.0,0.0
15000,1.75,1.0,0.6,1.619529,4.9e-05,1.6194555116968603,0.0,0.0,0.0
15000,1.75,1.0,0.8,1.618749,5e-05,1.6186727854865057,0.0,0.0,0.0
15000,1.75,1.0,1.0,1.617972,5e-05,1.6178950767518825,0.0,0.0,0.0
15000,1.75,1.0,1.25,1.617006,5.1e-05,1.6169317375855827,0.0,0.0,0.0
15000,1.75,1.0,1.5,1.616047,5.2e-05,1.615968382240112,0.0,0.0,0.0
15000,1.75,2.0,0.0,1.619628,4.4e-05,1.619570848854753,0.0,0.0,0.0
15000,1.75,2.0,0.05,1.619383,4.4e-05,1.6193300100305292,0.0,0.0,0.0
15000,1.75,2.0,0.1,1.619137,4.4e-05,1.6190791362551216,0.0,0.0,0.0
15000,1.75,2.0,0.15,1.618892,4.4e-05,1.618833279955278,0.0,0.0,0.0
15000,1.75,2.0,0.2,1.618646,4.4e-05,1.618587423655379,0.0,0.0,0.0
15000,1.75,2.0,0.25,1.6184,4.5e-05,1.6183415673557022,0.0,0.0,0.0
15000,1.75,2.0,0.3,1.618154,4.5e-05,1.618095711055803,0.0,0.0,0.0
15000,1.75,2.0,0.4,1.617661,4.5e-05,1.6176039984561716,0.0,0.0,0.0
15000,1.75,2.0,0.6,1.616676,4.5e-05,1.616615555781456,0.0,0.0,0.0
15000,1.75,2.0,0.8,1.61569,4.6e-05,1.615627113106685,0.0,0.0,0.0
15000,1.75,2.0,1.0,1.614703,4.6e-05,1.614638670431858,0.0,0.0,0.0
