teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,1.900344,2.4e-05,1.9003606185074915,0.0,0.0,0.0
15000,1.75,0.0,0.05,1.894794,2.3e-05,1.8948162270123627,0.0,0.0,0.0
15000,1.75,0.0,0.1,1.889263,2.1e-05,1.8892818520275216,0.0,0.0,0.0
15000,1.75,0.0,0.15,1.883754,1.9e-05,1.8837725838319395,0.0,0.0,0.0
15000,1.75,0.0,0.2,1.878271,1.7e-05,1.8782934209535387,0.0,0.0,0.0
15000,1.75,0.0,0.25,1.872816,1.5e-05,1.8728343284302729,0.0,0.0,0.0
15000,1.75,0.0,0.3,1.867392,1.2e-05,1.8674103400227795,0.0,0.0,0.0
15000,1.75,0.0,0.4,1.85665,8e-06,1.8566677504496105,0.0,0.0,0.0
15000,1.75,0.0,0.6,1.835642,2e-06,1.835664254955191,0.0,0.0,0.0
15000,1.75,0.0,0.8,1.815341,1.3e-05,1.8153631774538626,0.0,0.0,0.0
15000,1.75,0.0,1.0,1.79577,2.6e-05,1.795794659511737,0.0,0.0,0.0
15000,1.75,0.0,1.25,1.772261,4.3e-05,1.7722822902981568,0.0,0.0,0.0
15000,1.75,0.0,1.5,1.749621,6.2e-05,1.7496479565451664,0.0,0.0,0.0
15000,1.75,0.1,0.0,1.917747,0.000116,1.9178211430042151,0.0,0.0,0.0
15000,1.75,0.1,0.05,1.913531,0.000112,1.9135914652190062,0.0,0.0,0.0
15000,1.75,0.1,0.1,1.909411,0.000109,1.909457119295489,0.0,0.0,0.0
15000,1.75,0.1,0.15,1.905394,0.000105,1.9054231227223732,0.0,0.0,0.0
15000,1.75,0.1,0.2,1.901484,0.000102,1.9015045089337548,0.0,0.0,0.0
15000,1.75,0.1,0.25,1.897688,0.0001,1.8976912810479794,0.0,0.0,0.0
15000,1.75,0.1,0.3,1.894011,9.7e-05,1.8940084884816273,0.0,0.0,0.0
15000,1.75,0.1,0.4,1.887036,9.3e-05,1.8870091978516836,0.0,0.0,0.0
15000,1.75,0.1,0.6,1.874715,8.7e-05,1.8746563107752077,0.0,0.0,0.0
15000,1.75,0.1,0.8,1.86474,8.5e-05,1.8646616379460932,0.0,0.0,0.0
15000,1.75,0.1,1.0,1.857226,8.5e-05,1.8571305099031072,0.0,0.0,0.0
15000,1.75,0.1,1.25,1.85131,8.8e-05,1.8511999947161824,0.0,0.0,0.0
15000,1.75,0.1,1.5,1.849101,9.2e-05,1.8489773796067472,0.0,0.0,0.0
15000,1.75,0.2,0.0,1.916587,0.000119,1.9166769468488574,0.0,0.0,0.0
15000,1.75,0.2,0.05,1.912335,0.000115,1.9124121471410118,0.0,0.0,0.0
15000,1.75,0.2,0.1,1.908178,0.000112,1.9082426792824918,0.0,0.0,0.0
15000,1.75,0.2,0.15,1.904122,0.000108,1.9041735607610597,0.0,0.0,0.0
15000,1.75,0.2,0.2,1.900173,0.000105,1.9002148265450565,0.0,0.0,0.0
15000,1.75,0.2,0.25,1.896337,0.000102,1.8963664766441188,0.0,0.0,0.0
15000,1.75,0.2,0.3,1.89262,9.9e-05,1.8926335096219868,0.0,0.0,0.0
15000,1.75,0.2,0.4,1.88556,9.5e-05,1.8855539587986396,0.0,0.0,0.0
15000,1.75,0.2,0.6,1.873063,8.8e-05,1.87302547963125,0.0,0.0,0.0
15000,1.75,0.2,0.8,1.862903,8.5e-05,1.8628401431957884,0.0,0.0,0.0
15000,1.75,0.2,1.0,1.855199,8.5e-05,1.8551233873921695,0.0,0.0,0.0
15000,1.75,0.2,1.25,1.849042,8.7e-05,1.848947034347244,0.0,0.0,0.0
15000,1.75,0.2,1.5,1.846591,9.1e-05,1.8464885975556444,0.0,0.0,0.0
15000,1.75,0.5,0.0,1.915151,0.000126,1.9152667096749632,0.0,0.0,0.0
15000,1.75,0.5,0.05,1.91081,0.000122,1.9109116151510774,0.0,0.0,0.0
15000,1.75,0.5,0.1,1.906562,0.000118,1.9066518333030475,0.0,0.0,0.0
15000,1.75,0.5,0.15,1.902413,0.000114,1.9024924197959538,0.0,0.0,0.0
15000,1.75,0.5,0.2,1.898371,0.00011,1.8984383540267524,0.0,0.0,0.0
15000,1.75,0.5,0.25,1.89444,0.000107,1.8944896740165078,0.0,0.0,0.0
15000,1.75,0.5,0.3,1.890626,0.000104,1.8906714292420181,0.0,0.0,0.0
15000,1.75,0.5,0.4,1.883371,9.8e-05,1.8833961975238722,0.0,0.0,0.0
15000,1.75,0.5,0.6,1.870476,9.1e-05,1.8704663588109438,0.0,0.0,0.0
15000,1.75,0.5,0.8,1.859914,8.7e-05,1.8598846609406923,0.0,0.0,0.0
15000,1.75,0.5,1.0,1.851809,8.6e-05,1.8517665257576297,0.0,0.0,0.0
15000,1.75,0.5,1.25,1.845157,8.7e-05,1.8450934423200473,0.0,0.0,0.0
15000,1.75,0.5,1.5,1.842222,9.1e-05,1.842148346605348,0.0,0.0,0.0
15000,1.75,1.0,0.0,1.914534,0.000133,1.9146543667373157,0.0,0.0,0.0
15000,1.75,1.0,0.05,1.910081,0.000128,1.910188888158394,0.0,0.0,0.0
15000,1.75,1.0,0.1,1.90572,0.000123,1.905818741302515,0.0,0.0,0.0
15000,1.75,1.0,0.15,1.901457,0.000119,1.901543926181376,0.0,0.0,0.0
15000,1.75,1.0,0.2,1.897299,0.000115,1.8973744777628723,0.0,0.0,0.0
15000,1.75,1.0,0.25,1.893252,0.000112,1.893320412083355,0.0,0.0,0.0
15000,1.75,1.0,0.3,1.889321,0.000108,1.8893817670626192,0.0,0.0,0.0
15000,1.75,1.0,0.4,1.881831,0.000102,1.8818757507083494,0.0,0.0,0.0
15000,1.75,1.0,0.6,1.868461,9.4e-05,1.868474269782899,0.0,0.0,0.0
15000,1.75,1.0,0.8,1.857424,8.9e-05,1.857415930552043,0.0,0.0,0.0
15000,1.75,1.0,1.0,1.848851,8.7e-05,1.8488311885442246,0.0,0.0,0.0
15000,1.75,1.0,1.25,1.841627,8.8e-05,1.8415961657896727,0.0,0.0,0.0
15000,1.75,1.0,1.5,1.838139,9.1e-05,1.8380941294634565,0.0,0.0,0.0
15000,1.75,2.0,0.0,1.914521,0.000139,1.9146241278474572,0.0,0.0,0.0
15000,1.75,2.0,0.05,1.909924,0.000134,1.9100131427364335,0.0,0.0,0.0
15000,1.75,2.0,0.1,1.905417,0.000129,1.9055025258628473,0.0,0.0,0.0
15000,1.75,2.0,0.15,1.901007,0.000125,1.9010771866510985,0.0,0.0,0.0
15000,1.75,2.0,0.2,1.8967,0.00012,1.8967672490796879,0.0,0.0,0.0
15000,1.75,2.0,0.25,1.892502,0.000116,1.8925626782058989,0.0,0.0,0.0
15000,1.75,2.0,0.3,1.88842,0.000113,1.8884785264778134,0.0,0.0,0.0
15000,1.75,2.0,0.4,1.880623,0.000106,1.8806614267519444,0.0,0.0,0.0
15000,1.75,2.0,0.6,1.866633,9.6e-05,1.8666578675113399,0.0,0.0,0.0
15000,1.75,2.0,0.8,1.854973,9.1e-05,1.8549823970669301,0.0,0.0,0.0
15000,1.75,2.0,1.0,1.845778,8.8e-05,1.8457754875313663,0.0,0.0,0.0
15000,1.75,2.0,1.25,1.837788,8.8e-05,1.8377778075951532,0.0,0.0,0.0
15000,1.75,2.0,1.5,1.833549,9.1e-05,1.833528166312873,0.0,0.0,0.0
15000,2.0,0.0,0.0,1.825005,1.7e-05,1.8250224221906215,0.0,0.0,0.0
15000,2.0,0.0,0.05,1.819893,1.5e-05,1.8199095390405178,0.0,0.0,0.0
15000,2.0,0.0,0.1,1.814804,1.3e-05,1.814816726210901,0.0,0.0,0.0
15000,2.0,0.0,0.15,1.809739,1e-05,1.8097540005569266,0.0,0.0,0.0
15000,2.0,0.0,0.2,1.804701,8e-06,1.8047213983207284,0.0,0.0,0.0
15000,2.0,0.0,0.25,1.799691,6e-06,1.7997088663960492,0.0,0.0,0.0
