teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,1.803756,3.7e-05,1.8037686007091593,0.0,0.0,0.0
15000,1.75,0.0,0.05,1.803098,3.7e-05,1.8031163284562073,0.0,0.0,0.0
15000,1.75,0.0,0.1,1.80244,3.7e-05,1.802454003220885,0.0,0.0,0.0
15000,1.75,0.0,0.15,1.801782,3.7e-05,1.8017967134958786,0.0,0.0,0.0
15000,1.75,0.0,0.2,1.801124,3.6e-05,1.8011394237705938,0.0,0.0,0.0
15000,1.75,0.0,0.25,1.800467,3.6e-05,1.8004821160404698,0.0,0.0,0.0
15000,1.75,0.0,0.3,1.799811,3.6e-05,1.7998298438006086,0.0,0.0,0.0
15000,1.75,0.0,0.4,1.798499,3.6e-05,1.7985152463781773,0.0,0.0,0.0
15000,1.75,0.0,0.6,1.795885,3.6e-05,1.7959011220070134,0.0,0.0,0.0
15000,1.75,0.0,0.8,1.793287,3.6e-05,1.7933020501241508,0.0,0.0,0.0
15000,1.75,0.0,1.0,1.790712,3.6e-05,1.790728065685953,0.0,0.0,0.0
15000,1.75,0.0,1.25,1.787531,3.6e-05,1.7875469485231614,0.0,0.0,0.0
15000,1.75,0.0,1.5,1.784401,3.6e-05,1.784421041593849,0.0,0.0,0.0
15000,1.75,0.1,0.0,1.804202,5.5e-05,1.8040753524742015,0.0,0.0,0.0
15000,1.75,0.1,0.05,1.803571,5.5e-05,1.8034431498966195,0.0,0.0,0.0
15000,1.75,0.1,0.1,1.80294,5.5e-05,1.8028159828279613,0.0,0.0,0.0
15000,1.75,0.1,0.15,1.802309,5.5e-05,1.802183780244029,0.0,0.0,0.0
15000,1.75,0.1,0.2,1.801679,5.6e-05,1.801551577660041,0.0,0.0,0.0
15000,1.75,0.1,0.25,1.801049,5.6e-05,1.800924392556853,0.0,0.0,0.0
15000,1.75,0.1,0.3,1.800419,5.6e-05,1.800297207453721,0.0,0.0,0.0
15000,1.75,0.1,0.4,1.799163,5.7e-05,1.7990428552379236,0.0,0.0,0.0
15000,1.75,0.1,0.6,1.796659,5.8e-05,1.7965391502468622,0.0,0.0,0.0
15000,1.75,0.1,0.8,1.794173,5.9e-05,1.7940554971887008,0.0,0.0,0.0
15000,1.75,0.1,1.0,1.791709,6.1e-05,1.7915919319703428,0.0,0.0,0.0
15000,1.75,0.1,1.25,1.788668,6.2e-05,1.7885563738657946,0.0,0.0,0.0
15000,1.75,0.1,1.5,1.78568,6.4e-05,1.7855760079923928,0.0,0.0,0.0
15000,1.75,0.2,0.0,1.80143,5.3e-05,1.8013406633298106,0.0,0.0,0.0
15000,1.75,0.2,0.05,1.800823,5.3e-05,1.800733548210764,0.0,0.0,0.0
15000,1.75,0.2,0.1,1.800217,5.3e-05,1.8001264330915503,0.0,0.0,0.0
15000,1.75,0.2,0.15,1.799611,5.3e-05,1.799524335452747,0.0,0.0,0.0
15000,1.75,0.2,0.2,1.799005,5.4e-05,1.798917220333645,0.0,0.0,0.0
15000,1.75,0.2,0.25,1.7984,5.4e-05,1.798315140678067,0.0,0.0,0.0
15000,1.75,0.2,0.3,1.797796,5.4e-05,1.7977080255530045,0.0,0.0,0.0
15000,1.75,0.2,0.4,1.796589,5.5e-05,1.7965038302631982,0.0,0.0,0.0
15000,1.75,0.2,0.6,1.794187,5.6e-05,1.794105492585853,0.0,0.0,0.0
15000,1.75,0.2,0.8,1.791803,5.7e-05,1.7917222073020553,0.0,0.0,0.0
15000,1.75,0.2,1.0,1.789443,5.8e-05,1.7893639914793071,0.0,0.0,0.0
15000,1.75,0.2,1.25,1.786533,6e-05,1.786463905630206,0.0,0.0,0.0
15000,1.75,0.2,1.5,1.783677,6.1e-05,1.7836039595676234,0.0,0.0,0.0
15000,1.75,0.5,0.0,1.795686,5.3e-05,1.7956807300415965,0.0,0.0,0.0
15000,1.75,0.5,0.05,1.795133,5.3e-05,1.7951237897925505,0.0,0.0,0.0
15000,1.75,0.5,0.1,1.794581,5.3e-05,1.7945768845028762,0.0,0.0,0.0
15000,1.75,0.5,0.15,1.794029,5.4e-05,1.794024961733572,0.0,0.0,0.0
15000,1.75,0.5,0.2,1.793478,5.4e-05,1.7934730568991415,0.0,0.0,0.0
15000,1.75,0.5,0.25,1.792927,5.4e-05,1.792921134124378,0.0,0.0,0.0
15000,1.75,0.5,0.3,1.792377,5.4e-05,1.7923742288291893,0.0,0.0,0.0
15000,1.75,0.5,0.4,1.79128,5.5e-05,1.7912804182389788,0.0,0.0,0.0
15000,1.75,0.5,0.6,1.789098,5.6e-05,1.789102849909354,0.0,0.0,0.0
15000,1.75,0.5,0.8,1.786936,5.7e-05,1.7869403339757828,0.0,0.0,0.0
15000,1.75,0.5,1.0,1.784798,5.8e-05,1.7848029053986405,0.0,0.0,0.0
15000,1.75,0.5,1.25,1.782167,5.9e-05,1.7821737459194529,0.0,0.0,0.0
15000,1.75,0.5,1.5,1.779588,6e-05,1.7796048139956184,0.0,0.0,0.0
15000,1.75,1.0,0.0,1.79028,5.6e-05,1.790352059155605,0.0,0.0,0.0
15000,1.75,1.0,0.05,1.789783,5.6e-05,1.789860346172502,0.0,0.0,0.0
15000,1.75,1.0,0.1,1.789287,5.7e-05,1.7893636157099913,0.0,0.0,0.0
15000,1.75,1.0,0.15,1.788792,5.7e-05,1.788866885247202,0.0,0.0,0.0
15000,1.75,1.0,0.2,1.788297,5.7e-05,1.7883701726685397,0.0,0.0,0.0
15000,1.75,1.0,0.25,1.787803,5.7e-05,1.7878834771598864,0.0,0.0,0.0
15000,1.75,1.0,0.3,1.78731,5.8e-05,1.7873867466923068,0.0,0.0,0.0
15000,1.75,1.0,0.4,1.786328,5.8e-05,1.7864083381956484,0.0,0.0,0.0
15000,1.75,1.0,0.6,1.784375,5.9e-05,1.784461574005834,0.0,0.0,0.0
15000,1.75,1.0,0.8,1.782444,6e-05,1.7825348796954366,0.0,0.0,0.0
15000,1.75,1.0,1.0,1.780539,6e-05,1.7806332727446426,0.0,0.0,0.0
15000,1.75,1.0,1.25,1.778199,6.1e-05,1.7782951450243452,0.0,0.0,0.0
15000,1.75,1.0,1.5,1.775913,6.2e-05,1.776017227014045,0.0,0.0,0.0
15000,1.75,2.0,0.0,1.785579,6.2e-05,1.7857259252727635,0.0,0.0,0.0
15000,1.75,2.0,0.05,1.785145,6.2e-05,1.7852994395263029,0.0,0.0,0.0
