teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,3.480164,0.000185,3.4807798362929048,0.0,0.0,0.0
15000,1.75,0.0,0.05,3.485717,0.000183,3.486339214825685,0.0,0.0,0.0
15000,1.75,0.0,0.1,3.491226,0.00018,3.4918635055192913,0.0,0.0,0.0
15000,1.75,0.0,0.15,3.496689,0.000177,3.49733256850734,0.0,0.0,0.0
15000,1.75,0.0,0.2,3.502105,0.000175,3.5027614912181115,0.0,0.0,0.0
15000,1.75,0.0,0.25,3.507471,0.000172,3.508135221090332,0.0,0.0,0.0
15000,1.75,0.0,0.3,3.512788,0.000169,3.5134688458235073,0.0,0.0,0.0
15000,1.75,0.0,0.4,3.523269,0.000163,3.523970446618897,0.0,0.0,0.0
15000,1.75,0.0,0.6,3.543588,0.000151,3.544336386387647,0.0,0.0,0.0
15000,1.75,0.0,0.8,3.563006,0.000139,3.5638041523449835,0.0,0.0,0.0
15000,1.75,0.0,1.0,3.581478,0.000127,3.5823236046934057,0.0,0.0,0.0
15000,1.75,0.0,1.25,3.60319,0.000111,3.6040942633938524,0.0,0.0,0.0
15000,1.75,0.0,1.5,3.623333,9.5e-05,3.6242943980623505,0.0,0.0,0.0
15000,1.75,0.1,0.0,3.351157,0.000142,3.3519327222999085,0.0,0.0,0.0
15000,1.75,0.1,0.05,3.354263,0.000142,3.355058497030223,0.0,0.0,0.0
15000,1.75,0.1,0.1,3.357268,0.000142,3.358083954893256,0.0,0.0,0.0
15000,1.75,0.1,0.15,3.360171,0.000142,3.3610040112577835,0.0,0.0,0.0
15000,1.75,0.1,0.2,3.362968,0.000142,3.3638186996877084,0.0,0.0,0.0
15000,1.75,0.1,0.25,3.365661,0.000143,3.366528020195621,0.0,0.0,0.0
15000,1.75,0.1,0.3,3.368246,0.000143,3.369131972794111,0.0,0.0,0.0
15000,1.75,0.1,0.4,3.37309,0.000144,3.3740137392956493,0.0,0.0,0.0
15000,1.75,0.1,0.6,3.381448,0.000149,3.382442545186113,0.0,0.0,0.0
15000,1.75,0.1,0.8,3.38799,0.000155,3.3890600280270875,0.0,0.0,0.0
15000,1.75,0.1,1.0,3.392685,0.000164,3.393825980871044,0.0,0.0,0.0
15000,1.75,0.1,1.25,3.395946,0.000177,3.3971818430534455,0.0,0.0,0.0
15000,1.75,0.1,1.5,3.396335,0.000193,3.397667623628017,0.0,0.0,0.0
15000,1.75,0.2,0.0,3.323455,0.000142,3.324225398655203,0.0,0.0,0.0
15000,1.75,0.2,0.05,3.32649,0.000142,3.327280962044756,0.0,0.0,0.0
15000,1.75,0.2,0.1,3.329428,0.000142,3.3302361417666515,0.0,0.0,0.0
15000,1.75,0.2,0.15,3.332265,0.000142,3.333090971075688,0.0,0.0,0.0
15000,1.75,0.2,0.2,3.335002,0.000142,3.335845449983898,0.0,0.0,0.0
15000,1.75,0.2,0.25,3.337636,0.000143,3.338499611888685,0.0,0.0,0.0
15000,1.75,0.2,0.3,3.340167,0.000143,3.341053390056852,0.0,0.0,0.0
15000,1.75,0.2,0.4,3.344913,0.000145,3.3458347743100347,0.0,0.0,0.0
15000,1.75,0.2,0.6,3.353116,0.000149,3.3541181095120742,0.0,0.0,0.0
15000,1.75,0.2,0.8,3.35956,0.000156,3.3606402636452497,0.0,0.0,0.0
15000,1.75,0.2,1.0,3.364213,0.000165,3.3653711324340025,0.0,0.0,0.0
15000,1.75,0.2,1.25,3.367499,0.000178,3.3687570724948643,0.0,0.0,0.0
15000,1.75,0.2,1.5,3.367998,0.000194,3.3693532794046686,0.0,0.0,0.0
15000,1.75,0.5,0.0,3.274476,0.00014,3.275208268737264,0.0,0.0,0.0
15000,1.75,0.5,0.05,3.277392,0.000141,3.2781434124073536,0.0,0.0,0.0
