teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.1,0.0,1.5645,0.000118,1.5640388219530186,0.0,0.0,0.0
15000,1.75,0.1,0.05,1.564054,0.000117,1.5635972680793664,0.0,0.0,0.0
15000,1.75,0.1,0.1,1.563602,0.000117,1.5631456792547533,0.0,0.0,0.0
15000,1.75,0.1,0.15,1.563145,0.000116,1.5626941060663013,0.0,0.0,0.0
15000,1.75,0.1,0.2,1.562683,0.000115,1.5622324822955742,0.0,0.0,0.0
15000,1.75,0.1,0.25,1.562215,0.000115,1.5617658410544077,0.0,0.0,0.0
15000,1.75,0.1,0.3,1.561741,0.000114,1.5612941823429143,0.0,0.0,0.0
15000,1.75,0.1,0.4,1.560777,0.000113,1.5603307950295362,0.0,0.0,0.0
15000,1.75,0.1,0.6,1.558777,0.00011,1.5583387932859591,0.0,0.0,0.0
15000,1.75,0.1,0.8,1.556678,0.000108,1.5562464421173359,0.0,0.0,0.0
15000,1.75,0.1,1.0,1.554474,0.000106,1.5540537570764932,0.0,0.0,0.0
15000,1.75,0.1,1.25,1.551563,0.000102,1.5511535766162996,0.0,0.0,0.0
15000,1.75,0.1,1.5,1.548472,9.9e-05,1.548072767217739,0.0,0.0,0.0
15000,1.75,0.2,0.0,1.565883,0.000115,1.5654135488482455,0.0,0.0,0.0
15000,1.75,0.2,0.05,1.565432,0.000115,1.5649619600191205,0.0,0.0,0.0
15000,1.75,0.2,0.1,1.564976,0.000114,1.5645103868442045,0.0,0.0,0.0
15000,1.75,0.2,0.15,1.564515,0.000114,1.564048763069244,0.0,0.0,0.0
15000,1.75,0.2,0.2,1.564048,0.000113,1.5635821218238999,0.0,0.0,0.0
15000,1.75,0.2,0.25,1.563575,0.000112,1.5631154805878584,0.0,0.0,0.0
15000,1.75,0.2,0.3,1.563097,0.000112,1.5626388044020265,0.0,0.0,0.0
15000,1.75,0.2,0.4,1.562123,0.00011,1.5616703996209946,0.0,0.0,0.0
15000,1.75,0.2,0.6,1.560102,0.000108,1.559658327986693,0.0,0.0,0.0
15000,1.75,0.2,0.8,1.557981,0.000106,1.5575409050293967,0.0,0.0,0.0
15000,1.75,0.2,1.0,1.555753,0.000103,1.555323117067545,0.0,0.0,0.0
15000,1.75,0.2,1.25,1.552812,0.0001,1.5523878143095993,0.0,0.0,0.0
15000,1.75,0.2,1.5,1.549687,9.7e-05,1.5492769001023308,0.0,0.0,0.0
15000,1.75,0.5,0.0,1.569217,0.000113,1.5687300402274318,0.0,0.0,0.0
15000,1.75,0.5,0.05,1.568755,0.000112,1.568268416424173,0.0,0.0,0.0
15000,1.75,0.5,0.1,1.568287,0.000112,1.5678017751506423,0.0,0.0,0.0
15000,1.75,0.5,0.15,1.567814,0.000111,1.5673301164068956,0.0,0.0,0.0
15000,1.75,0.5,0.2,1.567335,0.00011,1.5668534401933223,0.0,0.0,0.0
15000,1.75,0.5,0.25,1.56685,0.00011,1.5663717621738806,0.0,0.0,0.0
15000,1.75,0.5,0.3,1.56636,0.000109,1.5658800335366796,0.0,0.0,0.0
15000,1.75,0.5,0.4,1.56536,0.000108,1.5648865413333206,0.0,0.0,0.0
15000,1.75,0.5,0.6,1.563288,0.000106,1.5628242948606588,0.0,0.0,0.0
15000,1.75,0.5,0.8,1.561112,0.000103,1.5606516796255907,0.0,0.0,0.0
15000,1.75,0.5,1.0,1.558826,0.000101,1.5583786993626831,0.0,0.0,0.0
15000,1.75,0.5,1.25,1.555808,9.8e-05,1.5553731518715304,0.0,0.0,0.0
15000,1.75,0.5,1.5,1.552601,9.5e-05,1.5521769405106025,0.0,0.0,0.0
15000,1.75,1.0,0.0,1.573654,0.000111,1.5731504082660874,0.0,0.0,0.0
15000,1.75,1.0,0.05,1.573177,0.000111,1.5726787494689196,0.0,0.0,0.0
15000,1.75,1.0,0.1,1.572695,0.00011,1.5721970557224625,0.0,0.0,0.0
15000,1.75,1.0,0.15,1.572206,0.000109,1.5717153619855866,0.0,0.0,0.0
15000,1.75,1.0,0.2,1.571712,0.000109,1.5712186315329357,0.0,0.0,0.0
15000,1.75,1.0,0.25,1.571212,0.000108,1.5707218853730447,0.0,0.0,0.0
15000,1.75,1.0,0.3,1.570706,0.000108,1.570220121743773,0.0,0.0,0.0
15000,1.75,1.0,0.4,1.569675,0.000107,1.5691864896404808,0.0,0.0,0.0
15000,1.75,1.0,0.6,1.567537,0.000104,1.5670590158110773,0.0,0.0,0.0
15000,1.75,1.0,0.8,1.565291,0.000102,1.5648261907473053,0.0,0.0,0.0
15000,1.75,1.0,1.0,1.562934,0.0001,1.562472930705755,0.0,0.0,0.0
15000,1.75,1.0,1.25,1.559819,9.7e-05,1.5593670335036793,0.0,0.0,0.0
15000,1.75,1.0,1.5,1.55651,9.4e-05,1.5560704724455876,0.0,0.0,0.0
15000,1.75,2.0,0.0,1.579939,0.00011,1.579432292562855,0.0,0.0,0.0
15000,1.75,2.0,0.05,1.579444,0.00011,1.5789355463059263,0.0,0.0,0.0
15000,1.75,2.0,0.1,1.578943,0.000109,1.5784337825794499,0.0,0.0,0.0
15000,1.75,2.0,0.15,1.578436,0.000108,1.5779320188630004,0.0,0.0,0.0
15000,1.75,2.0,0.2,1.577923,0.000108,1.5774202201979854,0.0,0.0,0.0
