teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.1,0.0,2.059473,0.000326,2.062122106237294,0.0,0.0,0.0
15000,1.75,0.1,0.05,2.056016,0.000324,2.05864002807932,0.0,0.0,0.0
15000,1.75,0.1,0.1,2.052551,0.000321,2.0551579292302553,0.0,0.0,0.0
15000,1.75,0.1,0.15,2.049078,0.000319,2.0516557809755605,0.0,0.0,0.0
15000,1.75,0.1,0.2,2.045596,0.000316,2.048153632580545,0.0,0.0,0.0
15000,1.75,0.1,0.25,2.042105,0.000314,2.0446414286722123,0.0,0.0,0.0
15000,1.75,0.1,0.3,2.038605,0.000312,2.0411242276413897,0.0,0.0,0.0
15000,1.75,0.1,0.4,2.03158,0.000307,2.034054682571071,0.0,0.0,0.0
15000,1.75,0.1,0.6,2.01742,0.000297,2.0198052271487956,0.0,0.0,0.0
15000,1.75,0.1,0.8,2.003112,0.000287,2.0054102632649724,0.0,0.0,0.0
15000,1.75,0.1,1.0,1.988651,0.000277,1.9908647734243181,0.0,0.0,0.0
15000,1.75,0.1,1.25,1.970348,0.000264,1.972455853167853,0.0,0.0,0.0
15000,1.75,0.1,1.5,1.951784,0.000252,1.9537810042933175,0.0,0.0,0.0
15000,1.75,0.2,0.0,2.053881,0.000325,2.056487474708699,0.0,0.0,0.0
15000,1.75,0.2,0.05,2.050465,0.000322,2.053045536177315,0.0,0.0,0.0
15000,1.75,0.2,0.1,2.047041,0.00032,2.0496035770121046,0.0,0.0,0.0
15000,1.75,0.2,0.15,2.043608,0.000317,2.046146585850149,0.0,0.0,0.0
15000,1.75,0.2,0.2,2.040166,0.000315,2.042684577086737,0.0,0.0,0.0
15000,1.75,0.2,0.25,2.036716,0.000313,2.039212512865601,0.0,0.0,0.0
15000,1.75,0.2,0.3,2.033257,0.00031,2.035730434005635,0.0,0.0,0.0
15000,1.75,0.2,0.4,2.026312,0.000305,2.028741168262138,0.0,0.0,0.0
15000,1.75,0.2,0.6,2.012313,0.000295,2.0146623063852513,0.0,0.0,0.0
15000,1.75,0.2,0.8,1.998166,0.000286,2.0004279011434845,0.0,0.0,0.0
15000,1.75,0.2,1.0,1.983864,0.000276,1.9860429699688391,0.0,0.0,0.0
15000,1.75,0.2,1.25,1.965761,0.000263,1.9678347481135972,0.0,0.0,0.0
15000,1.75,0.2,1.5,1.947394,0.000251,1.9493656151404701,0.0,0.0,0.0
15000,1.75,0.5,0.0,2.044415,0.000321,2.046944260153504,0.0,0.0,0.0
15000,1.75,0.5,0.05,2.041073,0.000318,2.0435825804042986,0.0,0.0,0.0
15000,1.75,0.5,0.1,2.037721,0.000316,2.040205868600916,0.0,0.0,0.0
15000,1.75,0.5,0.15,2.034361,0.000314,2.0368291566624492,0.0,0.0,0.0
15000,1.75,0.5,0.2,2.030992,0.000311,2.0334373718645598,0.0,0.0,0.0
15000,1.75,0.5,0.25,2.027615,0.000309,2.03004058983589,0.0,0.0,0.0
15000,1.75,0.5,0.3,2.024228,0.000307,2.02663377274446,0.0,0.0,0.0
15000,1.75,0.5,0.4,2.017429,0.000302,2.0197950306364088,0.0,0.0,0.0
15000,1.75,0.5,0.6,2.00372,0.000292,2.0060021635793808,0.0,0.0,0.0
15000,1.75,0.5,0.8,1.989861,0.000282,1.9920587507411978,0.0,0.0,0.0
15000,1.75,0.5,1.0,1.975847,0.000272,1.977964832072483,0.0,0.0,0.0
15000,1.75,0.5,1.25,1.958101,0.00026,1.9601178868357323,0.0,0.0,0.0
15000,1.75,0.5,1.5,1.94009,0.000248,1.9420049932937882,0.0,0.0,0.0
15000,1.75,1.0,0.0,2.035243,0.000316,2.0377020933759478,0.0,0.0,0.0
