teff,logg,Z,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
15000,1.75,0.0,0.0,1.280369,0.000895,1.279783607942207,2.08333,0.0,0.0
15000,1.75,0.0,0.05,1.27918,0.000894,1.278594479101709,2.08333,0.0,0.0
15000,1.75,0.0,0.1,1.278058,0.000894,1.2774655720910615,2.08333,0.0,0.0
15000,1.75,0.0,0.15,1.277003,0.000893,1.2764119136143326,2.08333,0.0,0.0
15000,1.75,0.0,0.2,1.276015,0.000892,1.2754184641933484,2.08333,0.0,0.0
15000,1.75,0.0,0.25,1.275094,0.000891,1.2744952714156401,2.08333,0.0,0.0
15000,1.75,0.0,0.3,1.274241,0.00089,1.2736423097831862,2.08333,0.0,0.0
15000,1.75,0.0,0.4,1.272737,0.000888,1.2721320786725705,2.08333,0.0,0.0
15000,1.75,0.0,0.6,1.270539,0.000885,1.2699194339244748,2.08333,0.0,0.0
15000,1.75,0.0,0.8,1.269423,0.000881,1.2687905521350515,2.08333,0.0,0.0
15000,1.75,0.0,1.0,1.269384,0.000878,1.2687454334018955,1.66667,0.0,0.0
15000,1.75,0.0,1.25,1.270843,0.000873,1.270190514409758,1.25,0.0,0.0
15000,1.75,0.0,1.5,1.273957,0.000869,1.273291357677667,1.25,0.0,0.0
15000,1.75,0.1,0.0,2.122439,6.1e-05,2.122079369999118,0.0,0.0,0.0
15000,1.75,0.1,0.05,2.119888,6.1e-05,2.1195304672445427,0.0,0.0,0.0
15000,1.75,0.1,0.1,2.117329,6e-05,2.1169715084045064,0.0,0.0,0.0
15000,1.75,0.1,0.15,2.114762,5.9e-05,2.114407532183605,0.0,0.0,0.0
15000,1.75,0.1,0.2,2.112188,5.9e-05,2.1118385597008515,0.0,0.0,0.0
15000,1.75,0.1,0.25,2.109607,5.8e-05,2.109259531210624,0.0,0.0,0.0
15000,1.75,0.1,0.3,2.107018,5.7e-05,2.1066755064075755,0.0,0.0,0.0
15000,1.75,0.1,0.4,2.10182,5.6e-05,2.1014873449952556,0.0,0.0,0.0
15000,1.75,0.1,0.6,2.091346,5.4e-05,2.0910207505544967,0.0,0.0,0.0
15000,1.75,0.1,0.8,2.080774,5.1e-05,2.080463842691359,0.0,0.0,0.0
15000,1.75,0.1,1.0,2.070117,4.9e-05,2.0698216389039654,0.0,0.0,0.0
15000,1.75,0.1,1.25,2.056689,4.7e-05,2.056409766026066,0.0,0.0,0.0
15000,1.75,0.1,1.5,2.043164,4.4e-05,2.0429025628846453,0.0,0.0,0.0
15000,1.75,0.2,0.0,2.11475,6.1e-05,2.1144075956163495,0.0,0.0,0.0
