teff,logg,H,He,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
50000,5.0,0.0,1.0,0.0,1.15871,1.9e-05,1.1587575436317918,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.05,1.158875,1.9e-05,1.158923119129752,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.1,1.159026,1.9e-05,1.1590786597489449,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.15,1.159166,1.9e-05,1.1592141306108816,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.2,1.159294,1.9e-05,1.1593445840334071,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.25,1.15941,1.9e-05,1.1594549676986767,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.3,1.159514,1.9e-05,1.1595603339246463,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.4,1.159685,1.9e-05,1.1597309268619063,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.6,1.159886,1.9e-05,1.1599316244351898,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.8,1.159901,1.9e-05,1.1599466767531454,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.0,1.159738,1.8e-05,1.159781101255241,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.25,1.159297,1.7e-05,1.1593395665941073,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.5,1.158612,1.6e-05,1.158657194845178,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.0,1.158065,2e-05,1.1581253462761976,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.05,1.158248,2e-05,1.1583109915314136,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.1,1.158418,2e-05,1.158481584468562,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.15,1.158575,2e-05,1.1586371250878664,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.2,1.158718,2e-05,1.1587776133891592,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.25,1.158848,2e-05,1.1589080668116847,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.3,1.158965,2e-05,1.1590234679162543,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.4,1.15916,2e-05,1.1592191480502376,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.6,1.159396,2e-05,1.1594549676987325,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.8,1.159431,2e-05,1.1594900897740557,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.0,1.159274,1.9e-05,1.1593295317154513,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.25,1.158823,1.9e-05,1.1588779621757728,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.5,1.158114,1.8e-05,1.1581705032301763,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.0,1.157484,2.1e-05,1.1575533581924824,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.05,1.157677,2.1e-05,1.157744020887054,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.1,1.157856,2.1e-05,1.1579246487029142,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.15,1.158022,2.1e-05,1.1580902242008744,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.2,1.158174,2.1e-05,1.1582457648200672,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.25,1.158312,2.1e-05,1.1583762182426485,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.3,1.158437,2.1e-05,1.1585016542259297,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.4,1.158646,2.1e-05,1.1587123866778686,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.6,1.158904,2.1e-05,1.158968276083675,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.8,1.158956,2.1e-05,1.1590184504770098,0.0,0.0,0.0
50000,5.0,0.2,0.8,1.0,1.158812,2.1e-05,1.1588729447364172,0.0,0.0,0.0
50000,5.0,0.2,0.8,1.25,1.158373,2e-05,1.1584314100752833,0.0,0.0,0.0
50000,5.0,0.2,0.8,1.5,1.157671,1.9e-05,1.1577289685690981,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.0,1.156423,2.2e-05,1.1564946784937657,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.05,1.156622,2.2e-05,1.1566903586276376,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.1,1.156806,2.2e-05,1.1568760038827979,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.15,1.156977,2.2e-05,1.1570465968201133,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.2,1.157134,2.2e-05,1.1572021374393062,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.25,1.157277,2.2e-05,1.157342625740599,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.3,1.157407,2.2e-05,1.157473079163236,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.4,1.157626,2.2e-05,1.1576888290544192,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.6,1.157904,2.2e-05,1.1579698056568377,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.8,1.157976,2.2e-05,1.1580400498074839,0.0,0.0,0.0
50000,5.0,0.3,0.7,1.0,1.157854,2.2e-05,1.1579146138243144,0.0,0.0,0.0
50000,5.0,0.3,0.7,1.25,1.157445,2.2e-05,1.1575082012384477,0.0,0.0,0.0
50000,5.0,0.3,0.7,1.5,1.156777,2.1e-05,1.1568358643681744,0.0,0.0,0.0
50000,5.0,0.4,0.6,0.0,1.157749,2.3e-05,1.1578242999163564,0.0,0.0,0.0
50000,5.0,0.4,0.6,0.05,1.157949,2.3e-05,1.158019980050228,0.0,0.0,0.0
50000,5.0,0.4,0.6,0.1,1.158136,2.3e-05,1.158205625305444,0.0,0.0,0.0
50000,5.0,0.4,0.6,0.15,1.158309,2.3e-05,1.158381235682004,0.0,0.0,0.0
50000,5.0,0.4,0.6,0.2,1.158467,2.3e-05,1.1585417937406641,0.0,0.0,0.0
