teff,logg,H,He,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
50000,5.0,0.0,1.0,0.0,1.174426,7e-06,1.1744219892218049,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.05,1.174322,7e-06,1.1743166229958353,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.1,1.174219,7e-06,1.1742162742091657,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.15,1.174118,8e-06,1.1741109079831966,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.2,1.174019,8e-06,1.1740155766359943,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.25,1.173921,8e-06,1.1739152278493248,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.3,1.173826,8e-06,1.1738249139414223,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.4,1.17364,8e-06,1.1736392686862063,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.6,1.17329,8e-06,1.173288047933086,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.8,1.17297,9e-06,1.1729669318158775,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.0,1.172678,9e-06,1.172675920334692,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.25,1.172352,1e-05,1.172349786778239,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.5,1.17207,1e-05,1.172068810175765,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.0,1.172423,9e-06,1.1724200309288855,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.05,1.172324,9e-06,1.1723246995816272,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.1,1.172226,9e-06,1.1722243507950136,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.15,1.172129,9e-06,1.1721290194476444,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.2,1.172034,9e-06,1.172033688100442,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.25,1.171941,9e-06,1.1719433741924281,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.3,1.17185,9e-06,1.1718480428451703,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.4,1.171672,1e-05,1.17167243246861,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.6,1.171337,1e-05,1.1713312465940897,0.0,0.0,0.0
