teff,logg,H,He,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
50000,5.0,0.0,1.0,0.0,1.212452,2.3e-05,1.2124541793473076,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.05,1.212236,2.3e-05,1.2122384294560684,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.1,1.212018,2.3e-05,1.2120176621255292,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.15,1.211797,2.3e-05,1.211801912234346,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.2,1.211575,2.3e-05,1.2115761274645067,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.25,1.211349,2.3e-05,1.2113503426945005,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.3,1.211122,2.3e-05,1.211119540485361,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.4,1.210659,2.3e-05,1.2106629535062157,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.6,1.209708,2.3e-05,1.2097096400334686,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.8,1.208723,2.2e-05,1.2087262219246981,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.0,1.207705,2.2e-05,1.2077076817406047,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.25,1.20639,2.2e-05,1.2063931126360257,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.5,1.205032,2.2e-05,1.2050333865773561,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.0,1.207215,2.2e-05,1.2072159726861358,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.05,1.207047,2.2e-05,1.2070503971882873,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.1,1.206877,2.2e-05,1.2068798042510271,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.15,1.206705,2.2e-05,1.206704193874467,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.2,1.206533,2.2e-05,1.2065336009372625,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.25,1.206358,2.2e-05,1.2063579905607025,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.3,1.206182,2.2e-05,1.2061823801841423,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.4,1.205825,2.2e-05,1.205826141991666,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.6,1.205094,2.1e-05,1.2050986132887023,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.8,1.204339,2.1e-05,1.204340979949771,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.0,1.20356,2.1e-05,1.2035632768535285,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.25,1.202554,2.1e-05,1.2025597889874464,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.5,1.201512,2.1e-05,1.2015161616066856,0.0,0.0,0.0
