teff,logg,H,He,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
50000,5.0,0.0,1.0,0.0,1.199074,6.1e-05,1.1990525988953764,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.05,1.198068,6e-05,1.1980491110292946,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.1,1.197065,5.8e-05,1.1970456231631568,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.15,1.196063,5.7e-05,1.1960471527364307,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.2,1.195065,5.6e-05,1.1950436648702374,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.25,1.194069,5.4e-05,1.194050211882811,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.3,1.193076,5.3e-05,1.193056758895385,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.4,1.1911,5.1e-05,1.1910798877991886,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.6,1.187197,4.6e-05,1.1871813374393745,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.8,1.183373,4.2e-05,1.1833580486695072,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.0,1.179644,3.9e-05,1.1796300912468978,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.25,1.17514,3.5e-05,1.1751294481673455,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.5,1.170836,3.2e-05,1.1708244852218324,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.0,1.195406,5.9e-05,1.1953848507447018,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.05,1.1945,5.8e-05,1.1944817116652893,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.1,1.193595,5.7e-05,1.1935785725857653,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.15,1.192691,5.5e-05,1.1926754335062415,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.2,1.191787,5.4e-05,1.191772294426829,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.25,1.190886,5.3e-05,1.1908691553473052,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.3,1.189986,5.2e-05,1.1899710337070812,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.4,1.188192,5e-05,1.188174790426745,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.6,1.184634,4.5e-05,1.1846174259413957,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.8,1.181131,4.2e-05,1.1811202707280926,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.0,1.177698,3.8e-05,1.177683324786613,0.0,0.0,0.0
