teff,logg,H,He,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
50000,5.0,0.0,1.0,0.0,1.19517,2e-05,1.1951590659749183,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.05,1.194956,1.9e-05,1.194948333523035,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.1,1.194743,1.9e-05,1.1947325836318516,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.15,1.194532,1.9e-05,1.1945218511799682,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.2,1.194322,1.9e-05,1.194311118728085,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.25,1.194113,1.9e-05,1.1941003862761457,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.3,1.193906,1.8e-05,1.1938996887029183,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.4,1.193495,1.8e-05,1.1934832412384517,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.6,1.192691,1.7e-05,1.192685468384953,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.8,1.191913,1.6e-05,1.1919077652887102,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.0,1.191163,1.6e-05,1.1911551493891348,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.25,1.190267,1.5e-05,1.1902570277489666,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.5,1.189421,1.4e-05,1.1894140979414334,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.0,1.191887,2e-05,1.1918776606527428,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.05,1.191689,2e-05,1.1916819805187595,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.1,1.191492,1.9e-05,1.1914863003849436,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.15,1.191296,1.9e-05,1.1912906202511275,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.2,1.191102,1.9e-05,1.1910899226778444,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.25,1.190908,1.9e-05,1.1909042774226284,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.3,1.190716,1.9e-05,1.1907085972887008,0.0,0.0,0.0
