teff,logg,H,He,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
50000,5.0,0.0,1.0,0.0,0.961128,0.000545,0.967081326326361,0.83333,0.0,0.0
50000,5.0,0.0,1.0,0.05,0.960193,0.000546,0.9661581174895812,0.83333,0.0,0.0
50000,5.0,0.0,1.0,0.1,0.959263,0.000546,0.9652449435314017,0.83333,0.0,0.0
50000,5.0,0.0,1.0,0.15,0.958336,0.000546,0.964331769573222,0.83333,0.0,0.0
50000,5.0,0.0,1.0,0.2,0.957413,0.000546,0.9634185956150423,0.83333,0.0,0.0
50000,5.0,0.0,1.0,0.25,0.956495,0.000546,0.9625154565355183,0.83333,0.0,0.0
50000,5.0,0.0,1.0,0.3,0.95558,0.000546,0.9616073000167501,0.83333,0.0,0.0
50000,5.0,0.0,1.0,0.4,0.953764,0.000546,0.959816074175714,0.83333,0.0,0.0
50000,5.0,0.0,1.0,0.6,0.950184,0.000546,0.9562837968870319,1.25,0.0,0.0
50000,5.0,0.0,1.0,0.8,0.946677,0.000546,0.9528167463096405,1.25,0.0,0.0
50000,5.0,0.0,1.0,1.0,0.943247,0.000546,0.9494199398828399,1.25,0.0,0.0
50000,5.0,0.0,1.0,1.25,0.939072,0.000545,0.945285569874531,1.25,0.0,0.0
50000,5.0,0.0,1.0,1.5,0.935028,0.000543,0.9412666009707361,1.25,0.0,0.0
50000,5.0,0.1,0.9,0.0,0.974426,0.000507,0.9801216511464604,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.05,0.973563,0.000507,0.9792737038995156,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.1,0.972705,0.000507,0.9784257566526823,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.15,0.97185,0.000508,0.9775828268451489,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.2,0.970999,0.000508,0.9767499319163271,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.25,0.970152,0.000508,0.9759120195480938,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.3,0.969309,0.000508,0.9750791246192163,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.4,0.967634,0.000508,0.9734283870794728,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.6,0.964336,0.000508,0.9701720689539648,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.8,0.961108,0.000508,0.966980977539803,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.0,0.957952,0.000507,0.9638601302761205,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.25,0.954116,0.000506,0.9600569112636204,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.5,0.950405,0.000505,0.95637411079499,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.0,0.986035,0.000473,0.9915112384267606,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.05,0.985237,0.000473,0.9907184830125063,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.1,0.984442,0.000473,0.9899357624769635,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.15,0.98365,0.000473,0.9891630768200765,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.2,0.982863,0.000474,0.9883853737238337,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.25,0.982079,0.000474,0.9876126880669467,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.3,0.981298,0.000474,0.9868450198493598,0.0,0.0,0.0
