teff,logg,H,He,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
50000,5.0,0.0,1.0,0.0,1.253749,1.4e-05,1.2537125829623508,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.05,1.252078,1.4e-05,1.2520417756652955,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.1,1.250403,1.4e-05,1.2503709683681847,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.15,1.248727,1.5e-05,1.2486951436318294,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.2,1.247052,1.5e-05,1.2470243363347189,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.25,1.245378,1.5e-05,1.2453485115983078,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.3,1.243708,1.5e-05,1.2436827217406086,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.4,1.240386,1.5e-05,1.24036619434311,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.6,1.233855,1.5e-05,1.2338435232133267,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.8,1.227553,1.5e-05,1.2275466368536054,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.0,1.221558,1.5e-05,1.2215608317321585,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.25,1.214584,1.4e-05,1.2145966259414083,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.5,1.208253,1.3e-05,1.2082746523849084,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.0,1.255173,1.3e-05,1.255147570610855,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.05,1.253339,1.3e-05,1.2533111878158958,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.1,1.251509,1.3e-05,1.251484839899592,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.15,1.249682,1.3e-05,1.2496635094225883,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.2,1.247862,1.4e-05,1.247842178945529,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.25,1.246049,1.4e-05,1.2460359007865927,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.3,1.244245,1.4e-05,1.2442346400669564,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.4,1.240673,1.4e-05,1.2406622232635955,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.6,1.233711,1.4e-05,1.2337080523514454,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.8,1.227066,1.4e-05,1.2270749975564483,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.0,1.220809,1.4e-05,1.2208232681506503,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.25,1.21361,1.4e-05,1.2136332775899497,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.5,1.207146,1.3e-05,1.2071758331715683,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.0,1.254939,1.2e-05,1.2549167684016045,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.05,1.252999,1.3e-05,1.2529800368200312,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.1,1.251066,1.3e-05,1.2510483226778695,0.0,0.0,0.0
