teff,logg,H,He,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
50000,5.0,0.0,1.0,0.0,1.232175,1.2e-05,1.2321626810376716,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.05,1.232084,1.1e-05,1.2320723671297136,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.1,1.231998,1.1e-05,1.2319870706611113,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.15,1.231918,1e-05,1.2319067916317537,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.2,1.231843,1e-05,1.2318315300418627,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.25,1.231773,9e-06,1.2317612858912166,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.3,1.231709,9e-06,1.2316960591799815,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.4,1.231597,8e-06,1.2315856755146006,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.6,1.23144,6e-06,1.231425117456052,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.8,1.231373,5e-06,1.231359890744817,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.0,1.2314,4e-06,1.2313899953807843,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.25,1.231569,2e-06,1.231555570878633,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.5,1.231891,2e-06,1.231876686995786,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.0,1.226972,1.1e-05,1.226964613891179,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.05,1.226941,1.1e-05,1.226934509255267,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.1,1.226916,1e-05,1.2269094220585997,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.15,1.226897,1e-05,1.2268843348618765,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.2,1.226885,9e-06,1.2268793174226325,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.25,1.22688,9e-06,1.2268742999832765,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.3,1.226881,8e-06,1.2268692825439207,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.4,1.226904,7e-06,1.226894369740644,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.6,1.227031,6e-06,1.2270248231631136,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.8,1.227268,4e-06,1.227255625372364,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.0,1.227619,3e-06,1.2276068461255403,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.25,1.22822,2e-06,1.2282039214058114,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.5,1.229004,2e-06,1.2289866419414655,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.0,1.221906,1e-05,1.2218970001673228,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.05,1.221917,1e-05,1.2219120524853344,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.1,1.221936,9e-06,1.221927104803346,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.15,1.221962,9e-06,1.2219521920000134,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.2,1.221996,8e-06,1.2219873140752808,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.25,1.222037,8e-06,1.2220274535900155,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.3,1.222085,7e-06,1.222072610543883,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.4,1.222204,7e-06,1.2221980465271642,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.6,1.222534,5e-06,1.222524180083673,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.8,1.222987,4e-06,1.2229757496234068,0.0,0.0,0.0
50000,5.0,0.2,0.8,1.0,1.223566,2e-06,1.2235577725857223,0.0,0.0,0.0
50000,5.0,0.2,0.8,1.25,1.22447,2e-06,1.224455894225946,0.0,0.0,0.0
50000,5.0,0.2,0.8,1.5,1.225578,2e-06,1.2255597308786417,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.0,1.217035,9e-06,1.2170300840167503,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.05,1.217078,9e-06,1.2170702235313735,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.1,1.217129,8e-06,1.2171203979246525,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.15,1.217188,8e-06,1.2171806071966431,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.2,1.217255,7e-06,1.2172458339079337,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.25,1.217329,7e-06,1.2173210954979359,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.3,1.217412,6e-06,1.2174013745271821,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.4,1.217601,6e-06,1.2175870197824539,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.6,1.218076,4e-06,1.2180636765187995,0.0,0.0,0.0
50000,5.0,0.3,0.7,0.8,1.218684,3e-06,1.2186707866778381,0.0,0.0,0.0
50000,5.0,0.3,0.7,1.0,1.219425,2e-06,1.2194133676987018,0.0,0.0,0.0
50000,5.0,0.3,0.7,1.25,1.220544,2e-06,1.220532256669465,0.0,0.0,0.0
50000,5.0,0.3,0.7,1.5,1.221878,2e-06,1.2218618780920556,0.0,0.0,0.0
