teff,logg,H,He,ebv,BF_FIT,BF_ERR,BF_C,D1,D2,D5
50000,5.0,0.0,1.0,0.0,1.174647,0.000134,1.1746327216736883,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.05,1.174124,0.000135,1.1741058905438964,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.1,1.173601,0.000136,1.173584076853516,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.15,1.173078,0.000137,1.1730622631631353,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.2,1.172554,0.000138,1.1725404494727552,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.25,1.172031,0.000139,1.1720136183430745,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.3,1.171507,0.00014,1.1714918046526943,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.4,1.170459,0.000142,1.170443159832689,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.6,1.168364,0.000145,1.1683508876318671,0.0,0.0,0.0
50000,5.0,0.0,1.0,0.8,1.166271,0.000149,1.166258615430934,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.0,1.164182,0.000153,1.1641663432301121,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.25,1.16158,0.000157,1.1615622922175102,0.0,0.0,0.0
50000,5.0,0.0,1.0,1.5,1.158991,0.000161,1.158973293523031,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.0,1.172082,0.000121,1.1720587752970535,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.05,1.171606,0.000122,1.171582118560652,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.1,1.171131,0.000122,1.1711104792636622,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.15,1.170655,0.000123,1.170633822527205,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.2,1.170179,0.000124,1.1701521483514479,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.25,1.169702,0.000125,1.1696805090543465,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.3,1.169226,0.000126,1.1692038523180561,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.4,1.168273,0.000128,1.1682505388451976,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.6,1.166367,0.000131,1.166348929338892,0.0,0.0,0.0
50000,5.0,0.1,0.9,0.8,1.164461,0.000135,1.1644423023932862,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.0,1.162559,0.000138,1.1625406928870918,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.25,1.160189,0.000142,1.1601674440836844,0.0,0.0,0.0
50000,5.0,0.1,0.9,1.5,1.15783,0.000146,1.1578092475982888,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.0,1.17049,0.000108,1.1704582121506446,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.05,1.170062,0.000109,1.1700317298074667,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.1,1.169634,0.00011,1.1696002300251558,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.15,1.169205,0.000111,1.1691737476819775,0.0,0.0,0.0
50000,5.0,0.2,0.8,0.2,1.168776,0.000111,1.1687472653389108,0.0,0.0,0.0
